dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98697738,0.98793694,0.98782961,0.98900000,0.00000000,0.00000000,0.00000000,0.82694047,0.82319134,0.82498762,0.98367829
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.90102471,0.98793694,0.86885801,0.98900000,0.84529363,0.27400000,0.40578533,0.89384357,0.86885801,0.85317378,0.88422114
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.98013857,0.98183218,0.98060615,0.98257961,0.00000000,0.00000000,0.00000000,0.82461712,0.81717179,0.82080861,0.97485956
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.75161860,0.98183218,0.81875512,0.98257961,0.25315789,0.00950000,0.01824825,0.70372130,0.81875512,0.72300317,0.73699277
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.98106236,0.98645112,0.98143575,0.98613268,0.00000000,0.00000000,0.00000000,0.82372942,0.81786313,0.82071522,0.97602487
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.86050618,0.98645112,0.89602980,0.98613268,0.92848227,0.46900000,0.59587067,0.87273404,0.89602980,0.86028240,0.84284776
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98183218,0.98306390,0.98218575,0.98363268,0.00000000,0.00000000,0.00000000,0.82287173,0.81848813,0.82058662,0.97696717
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.78669806,0.98306390,0.84398813,0.98363268,0.79930580,0.15300000,0.23717978,0.84326525,0.84398813,0.77593828,0.78394332
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.99030023,0.99030023,0.99025768,0.99025768,0.00000000,0.00000000,0.00000000,0.82666864,0.82521473,0.82588523,0.98767772
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.80647440,0.99030023,0.86013140,0.99025768,0.90508328,0.20950000,0.31998309,0.84692193,0.86013140,0.79099115,0.79961471
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.98027778,0.98083333,0.97862500,0.97925000,0.00000000,0.00000000,0.00000000,0.82079963,0.81552083,0.81806748,0.97519438
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.86217679,0.98083333,0.83211276,0.97925000,0.68965165,0.09955157,0.17214458,0.85284642,0.83211276,0.79990001,0.84247229
