dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.86237149,0.98875942,0.86189665,0.98915922,0.00000000,0.00000000,0.00000000,0.83333333,0.71824721,0.77112017,0.84458622
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.87896323,0.98875942,0.88491387,0.98915922,0.50013766,1.00000000,0.66645187,0.91668961,0.88491387,0.88219549,0.86397558
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.86512702,0.97998460,0.86830237,0.98049651,0.00000000,0.00000000,0.00000000,0.83268100,0.72358531,0.77383123,0.84628939
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.88334314,0.97998460,0.88066865,0.98049651,0.68479080,0.94250000,0.79228972,0.92659543,0.88066865,0.89540004,0.86255027
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.86851424,0.98337182,0.87172277,0.98446229,0.00000000,0.00000000,0.00000000,0.83182194,0.72643564,0.77498269,0.84956097
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.89264273,0.98337182,0.88826897,0.98446229,0.69685814,0.97100000,0.81053454,0.93918430,0.88826897,0.90505929,0.87428710
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.87190146,0.98137028,0.87313617,0.98164804,0.00000000,0.00000000,0.00000000,0.83099403,0.72761348,0.77509853,0.85288788
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.88051795,0.98137028,0.87903014,0.98164804,0.68851014,0.90850000,0.78230310,0.91778275,0.87903014,0.88978963,0.85827120
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.85958430,0.99076212,0.86073115,0.99041690,0.00000000,0.00000000,0.00000000,0.83245019,0.71727595,0.76990351,0.84020336
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.89146557,0.99076212,0.88310929,0.99041690,0.68682449,0.99500000,0.81263073,0.94477195,0.88310929,0.90432218,0.87375250
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.87013889,0.98541667,0.87400000,0.98475000,0.00000000,0.00000000,0.00000000,0.83160070,0.72833333,0.77620539,0.85211396
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.88755262,0.98541667,0.89500000,0.98475000,0.54735013,1.00000000,0.70707820,0.92282573,0.89500000,0.89405175,0.87267616
