dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.88211103,0.98971899,0.88019204,0.98964036,0.00000000,0.00000000,0.00000000,0.83333333,0.73349337,0.78015048,0.86470584
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.89632309,0.98971899,0.90016003,0.98964036,0.53763441,1.00000000,0.69930070,0.92293907,0.90016003,0.89670060,0.88216003
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.86429061,0.98903358,0.86000349,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.71666958,0.77039854,0.84614980
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.88065099,0.98903358,0.88333624,0.99000000,0.50251256,1.00000000,0.66889632,0.91708543,0.88333624,0.88188126,0.86547634
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.88005483,0.99108979,0.88028631,0.99138268,0.00000000,0.00000000,0.00000000,0.83333333,0.73357193,0.78018380,0.86265565
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.89451477,0.99108979,0.90023859,0.99138268,0.53333333,1.00000000,0.69565217,0.92222222,0.90023859,0.89612583,0.88029806
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.87662783,0.98766278,0.87617668,0.98875000,0.00000000,0.00000000,0.00000000,0.83333333,0.73014723,0.77820747,0.85906751
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.89150090,0.98766278,0.89681390,0.98875000,0.52631579,1.00000000,0.68965517,0.92105263,0.89681390,0.89314999,0.87707940
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.87388622,0.98903358,0.87269204,0.98950768,0.00000000,0.00000000,0.00000000,0.83333333,0.72724337,0.77636693,0.85627354
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.88908981,0.98903358,0.89391003,0.98950768,0.52083333,1.00000000,0.68493151,0.92013889,0.89391003,0.89052218,0.87456409
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.77521170,0.97459584,0.74047835,0.97589036,0.00000000,0.00000000,0.00000000,0.83333333,0.61706529,0.70133383,0.75634007
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.82813420,0.97459584,0.78373196,0.97589036,0.57803468,1.00000000,0.73260073,0.92967245,0.78373196,0.82343395,0.80463295
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.84064665,0.97228637,0.82170740,0.97513268,0.00000000,0.00000000,0.00000000,0.83333333,0.68475617,0.74938582,0.82019571
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.87816363,0.97228637,0.85142284,0.97513268,0.65897858,1.00000000,0.79443893,0.94316310,0.85142284,0.88179231,0.85900603
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.83833718,0.98768283,0.80674581,0.98812500,0.00000000,0.00000000,0.00000000,0.83333333,0.67228818,0.73816452,0.81766120
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.87639788,0.98768283,0.83895484,0.98812500,0.65573770,1.00000000,0.79207921,0.94262295,0.83895484,0.87017772,0.85706063
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.81216320,0.98691301,0.78992668,0.98450768,0.00000000,0.00000000,0.00000000,0.83333333,0.65827223,0.73027082,0.79220484
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.85638611,0.98691301,0.82493890,0.98450768,0.62111801,1.00000000,0.76628352,0.93685300,0.82493890,0.85798474,0.83532230
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.81293303,0.98537336,0.78612081,0.98651536,0.00000000,0.00000000,0.00000000,0.83333333,0.65510068,0.72830486,0.79268388
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.85697469,0.98537336,0.82176734,0.98651536,0.62208398,1.00000000,0.76701822,0.93701400,0.82176734,0.85614123,0.83584784
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.75596613,0.98383372,0.72557263,0.98401536,0.00000000,0.00000000,0.00000000,0.83333333,0.60464385,0.69316956,0.73886131
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.81165391,0.98383372,0.77006052,0.98401536,0.55602241,0.99250000,0.71274686,0.91924698,0.77006052,0.81064720,0.78646737
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.79907621,0.97305620,0.77934008,0.97700768,0.00000000,0.00000000,0.00000000,0.83333333,0.64945007,0.72588939,0.77969883
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.84638022,0.97305620,0.81611674,0.97700768,0.60514372,1.00000000,0.75400566,0.93419062,0.81611674,0.85155700,0.82453653
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.80292533,0.98845266,0.77481494,0.98875000,0.00000000,0.00000000,0.00000000,0.83213429,0.64567912,0.72253691,0.78264289
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.84873455,0.98845266,0.81192912,0.98875000,0.61009174,0.99750000,0.75711575,0.93317275,0.81192912,0.84846589,0.82651758
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.79830639,0.98383372,0.76865922,0.98388268,0.00000000,0.00000000,0.00000000,0.83333333,0.64054935,0.71813846,0.77849460
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.84579164,0.98383372,0.80721601,0.98388268,0.60422961,1.00000000,0.75329567,0.93403827,0.80721601,0.84368774,0.82372900
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.80215550,0.98383372,0.77365922,0.98464036,0.00000000,0.00000000,0.00000000,0.83333333,0.64471601,0.72152130,0.78216768
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.84873455,0.98383372,0.81138268,0.98464036,0.60882801,1.00000000,0.75685904,0.93480467,0.81138268,0.84766447,0.82688041
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.76443418,0.98306390,0.73307263,0.98375000,0.00000000,0.00000000,0.00000000,0.83333333,0.61089385,0.69724339,0.74663464
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.81989406,0.98306390,0.77756052,0.98375000,0.56657224,1.00000000,0.72332731,0.92776204,0.77756052,0.81779794,0.79599833
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.79060816,0.97228637,0.78229399,0.97500000,0.00000000,0.00000000,0.00000000,0.83333333,0.65191166,0.72941933,0.77221689
