dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97258396,0.97875257,0.97253841,0.97816341,0.00000000,0.00000000,0.00000000,0.82401432,0.81044867,0.81712237,0.96576925
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93490054,0.97875257,0.92044867,0.97816341,0.85161290,0.66000000,0.74366197,0.92700638,0.92044867,0.92114080,0.92163740
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96093215,0.98217958,0.96289804,0.98227304,0.00000000,0.00000000,0.00000000,0.82539771,0.80241504,0.81358063,0.95193878
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.94394213,0.98217958,0.93908170,0.98227304,0.78468900,0.82000000,0.80195599,0.93289293,0.93908170,0.93534362,0.93236697
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.97258396,0.98286498,0.97253841,0.98191341,0.00000000,0.00000000,0.00000000,0.83072917,0.81044867,0.82042426,0.96608274
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.94996986,0.98286498,0.94128201,0.98191341,0.81770833,0.78500000,0.80102041,0.94326588,0.94128201,0.94202955,0.93944967
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.97121316,0.98217958,0.97128841,0.98128841,0.00000000,0.00000000,0.00000000,0.82340403,0.80940701,0.81617273,0.96421243
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.94092827,0.98217958,0.92940701,0.98128841,0.84705882,0.72000000,0.77837838,0.93186649,0.92940701,0.92922246,0.92875776
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.97326936,0.98629198,0.97414804,0.98602304,0.00000000,0.00000000,0.00000000,0.82876853,0.81179004,0.82006312,0.96689490
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.92827004,0.98629198,0.91179004,0.98602304,0.79470199,0.60000000,0.68376068,0.91983562,0.91179004,0.91234852,0.91403659
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95919938,0.97690531,0.96017109,0.97602304,0.00000000,0.00000000,0.00000000,0.81745111,0.80014257,0.80842147,0.94913318
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.89935256,0.97690531,0.91764257,0.97602304,0.88679245,0.70500000,0.78551532,0.88476265,0.91764257,0.89279636,0.88097398
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96381832,0.97151655,0.96566341,0.97339036,0.00000000,0.00000000,0.00000000,0.82296882,0.80471951,0.81363649,0.95473072
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.78457916,0.97151655,0.83846951,0.97339036,0.71681416,0.20250000,0.31578947,0.78185298,0.83846951,0.77340129,0.75966815
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.96381832,0.98383372,0.96714036,0.98339036,0.00000000,0.00000000,0.00000000,0.82209101,0.80595030,0.81377498,0.95487680
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.84402590,0.98383372,0.88178364,0.98339036,0.84259259,0.45500000,0.59090909,0.84546642,0.88178364,0.84052289,0.82261028
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.95842956,0.97228637,0.95490573,0.96615573,0.00000000,0.00000000,0.00000000,0.81654568,0.79575477,0.80598734,0.94794542
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.90406121,0.97228637,0.91700477,0.96615573,0.89263804,0.72750000,0.80165289,0.88694174,0.91700477,0.89635247,0.88560725
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.94996151,0.96843726,0.94704609,0.96204609,0.00000000,0.00000000,0.00000000,0.81059505,0.78920507,0.79967204,0.93747407
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.77045321,0.96843726,0.82045507,0.96204609,0.65789474,0.18750000,0.29182879,0.77877050,0.82045507,0.76495220,0.74442581
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.96458814,0.97844496,0.96664804,0.97789804,0.00000000,0.00000000,0.00000000,0.82365714,0.80554004,0.81439534,0.95584037
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.88816951,0.97844496,0.91220670,0.97789804,0.87972509,0.64000000,0.74095514,0.88315353,0.91220670,0.88803843,0.86850790
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.96227868,0.97074673,0.96464036,0.97151536,0.00000000,0.00000000,0.00000000,0.80980157,0.80386697,0.80646023,0.95266517
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.83990583,0.97074673,0.87761697,0.97151536,0.88500000,0.44250000,0.59000000,0.83438790,0.87761697,0.82746981,0.81950223
