dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.90006854,0.98793694,0.89568087,0.98900000,0.00000000,0.00000000,0.00000000,0.83333333,0.74640072,0.78723264,0.88378341
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.91187462,0.98793694,0.91273405,0.98900000,0.57847353,0.99800000,0.73225183,0.92952336,0.91273405,0.90917074,0.89888148
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.84695920,0.98183218,0.81741620,0.98257961,0.00000000,0.00000000,0.00000000,0.83254045,0.68118017,0.74408869,0.82645926
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.88298999,0.98183218,0.84784683,0.98257961,0.66950411,1.00000000,0.80180385,0.94412447,0.84784683,0.87772267,0.86434679
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.81555042,0.98645112,0.78862849,0.98613268,0.00000000,0.00000000,0.00000000,0.83333333,0.65719041,0.72982549,0.79526234
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.85897587,0.98645112,0.82385708,0.98613268,0.62575240,1.00000000,0.76969675,0.93762540,0.82385708,0.85810828,0.83801988
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.78937644,0.98306390,0.76440503,0.98363268,0.00000000,0.00000000,0.00000000,0.83278929,0.63700419,0.71618054,0.77024364
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.83872866,0.98306390,0.80350419,0.98363268,0.59445885,0.99900000,0.74522803,0.93093984,0.80350419,0.84021030,0.81610783
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.83156274,0.99030023,0.80382891,0.99025768,0.00000000,0.00000000,0.00000000,0.83333333,0.66985743,0.73733148,0.81107490
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.87086521,0.99030023,0.83627409,0.99025768,0.64626818,0.99850000,0.78461289,0.94067569,0.83627409,0.86794606,0.85092928
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.82208333,0.98083333,0.79412500,0.97925000,0.00000000,0.00000000,0.00000000,0.83333333,0.66177083,0.73204105,0.80300951
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.84521948,0.98083333,0.82754064,0.97925000,0.46412696,0.99461883,0.63286317,0.90999817,0.82754064,0.83720992,0.82774107
