dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.89033585,0.98629198,0.88719972,0.98750000,0.00000000,0.00000000,0.00000000,0.83333333,0.73933310,0.78338444,0.87335414
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.90295359,0.98629198,0.90516643,0.98750000,0.55431755,0.99500000,0.71198569,0.92516031,0.90516643,0.90178909,0.88910355
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.89307745,0.98560658,0.88773045,0.98687500,0.00000000,0.00000000,0.00000000,0.83333333,0.73977537,0.78346432,0.87623125
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.90536468,0.98560658,0.90560871,0.98687500,0.56056338,0.99500000,0.71711712,0.92620869,0.90560871,0.90272409,0.89169023
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.90541467,0.99108979,0.90144204,0.99187500,0.00000000,0.00000000,0.00000000,0.83333333,0.75120170,0.78998873,0.88949874
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.91681736,0.99108979,0.91786837,0.99187500,0.59171598,1.00000000,0.74349442,0.93195266,0.91786837,0.91390447,0.90429452
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.90061686,0.98766278,0.89706704,0.98875000,0.00000000,0.00000000,0.00000000,0.83333333,0.74755587,0.78790234,0.88436806
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.91259795,0.98766278,0.91422253,0.98875000,0.57971014,1.00000000,0.73394495,0.92995169,0.91422253,0.91022650,0.89972900
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.91089788,0.98903358,0.90496508,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.75413757,0.79142338,0.89546483
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.92163954,0.98903358,0.92080424,0.99000000,0.60606061,1.00000000,0.75471698,0.93434343,0.92080424,0.91720955,0.90959011
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.81832179,0.97690531,0.78043994,0.97714036,0.00000000,0.00000000,0.00000000,0.83333333,0.65036662,0.72234267,0.79764974
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.86109476,0.97690531,0.81703329,0.97714036,0.62893082,1.00000000,0.77220077,0.93815514,0.81703329,0.85104279,0.84027628
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.86528099,0.97690531,0.83723813,0.98062500,0.00000000,0.00000000,0.00000000,0.83333333,0.69769844,0.75562124,0.84520520
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.89699823,0.97690531,0.86436511,0.98062500,0.69565217,1.00000000,0.82051282,0.94927536,0.86436511,0.89237338,0.87988749
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.85065435,0.98306390,0.82362081,0.98312500,0.00000000,0.00000000,0.00000000,0.83333333,0.68635068,0.74888842,0.83012894
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.88581519,0.98306390,0.85301734,0.98312500,0.67340067,1.00000000,0.80482897,0.94556678,0.85301734,0.88302659,0.86742044
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.84295612,0.98383372,0.81469972,0.98200768,0.00000000,0.00000000,0.00000000,0.83333333,0.67891643,0.74252759,0.82251794
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.87992937,0.98383372,0.84558310,0.98200768,0.66225166,1.00000000,0.79681275,0.94370861,0.84558310,0.87532972,0.86104669
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.85758276,0.98845266,0.83108240,0.99000000,0.00000000,0.00000000,0.00000000,0.82936891,0.69256867,0.75106354,0.83679447
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.89111242,0.98845266,0.85923534,0.99000000,0.68728522,1.00000000,0.81466395,0.94391645,0.85923534,0.88684086,0.87310303
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.79291763,0.97921478,0.76454958,0.97964036,0.00000000,0.00000000,0.00000000,0.83333333,0.63712465,0.71681378,0.77325773
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.84167157,0.97921478,0.80379132,0.97964036,0.59790732,1.00000000,0.74836296,0.93298455,0.80379132,0.84154094,0.81921016
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.82602002,0.99153195,0.80049581,0.99250000,0.00000000,0.00000000,0.00000000,0.83333333,0.66707984,0.73679940,0.80548547
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.86698058,0.99153195,0.83374651,0.99250000,0.63897764,1.00000000,0.77972710,0.93982961,0.83374651,0.86675391,0.84672026
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.81678214,0.98999230,0.78816690,0.98937500,0.00000000,0.00000000,0.00000000,0.83333333,0.65680575,0.72994125,0.79624849
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.85991760,0.98999230,0.82347242,0.98937500,0.62695925,1.00000000,0.77071291,0.93782654,0.82347242,0.85839341,0.83895112
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.81678214,0.98691301,0.79318436,0.98562500,0.00000000,0.00000000,0.00000000,0.83333333,0.66098696,0.73187002,0.79662930
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.85991760,0.98691301,0.82765363,0.98562500,0.62695925,1.00000000,0.77071291,0.93782654,0.82765363,0.86032217,0.83912944
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.82525019,0.98460354,0.79674581,0.98352304,0.00000000,0.00000000,0.00000000,0.83333333,0.66395484,0.73370297,0.80469071
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.86639200,0.98460354,0.83062151,0.98352304,0.63795853,1.00000000,0.77896787,0.93965976,0.83062151,0.86353095,0.84608842
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.77444188,0.98229407,0.74487081,0.98102304,0.00000000,0.00000000,0.00000000,0.83333333,0.62072568,0.70284403,0.75607840
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.82636845,0.98229407,0.78655901,0.98102304,0.57597685,0.99500000,0.72960587,0.92469984,0.78655901,0.82357044,0.80247675
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.80754426,0.97690531,0.78559008,0.98062500,0.00000000,0.00000000,0.00000000,0.83272283,0.65465840,0.72865086,0.78742724
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.85285462,0.97690531,0.82132507,0.98062500,0.61633282,1.00000000,0.76263108,0.93544497,0.82132507,0.85575604,0.83133413
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.80831409,0.98460354,0.78517458,0.98450768,0.00000000,0.00000000,0.00000000,0.83333333,0.65431215,0.72974647,0.78831599
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.85344320,0.98460354,0.82097882,0.98450768,0.61633282,1.00000000,0.76263108,0.93605547,0.82097882,0.85685165,0.83204915
