dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98834818,0.98971899,0.98839036,0.98964036,0.00000000,0.00000000,0.00000000,0.82797383,0.82365864,0.82577737,0.98537641
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.88185654,0.98971899,0.84115864,0.98964036,0.70000000,0.10500000,0.18260870,0.86438269,0.84115864,0.81335763,0.86286150
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98560658,0.98697738,0.98638268,0.98812500,0.00000000,0.00000000,0.00000000,0.82625397,0.82198557,0.82407015,0.98193064
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.91380350,0.98697738,0.88698557,0.98812500,0.89655172,0.39000000,0.54355401,0.90637208,0.88698557,0.87727868,0.89866309
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99040439,0.99108979,0.99075768,0.99138268,0.00000000,0.00000000,0.00000000,0.82827563,0.82563140,0.82692224,0.98793413
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.92405063,0.99108979,0.89896473,0.99138268,0.94623656,0.44000000,0.60068259,0.93214187,0.89896473,0.89864502,0.91069681
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98971899,0.99040439,0.99013268,0.99125000,0.00000000,0.00000000,0.00000000,0.82737934,0.82511057,0.82616564,0.98711451
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.92284509,0.99040439,0.89761057,0.99125000,0.91578947,0.43500000,0.58983051,0.92215488,0.89761057,0.89393833,0.90915737
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98903358,0.98903358,0.98950768,0.98950768,0.00000000,0.00000000,0.00000000,0.82787588,0.82458973,0.82617331,0.98623919
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.91199518,0.98903358,0.88292307,0.98950768,0.90909091,0.35000000,0.50541516,0.91509192,0.88292307,0.87655090,0.89678339
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97767513,0.98152425,0.97901536,0.98214036,0.00000000,0.00000000,0.00000000,0.82344723,0.81584614,0.81958301,0.97173949
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.75220718,0.98152425,0.81917947,0.98214036,0.36363636,0.02000000,0.03791469,0.69929204,0.81917947,0.70853572,0.73821665
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97382602,0.97382602,0.97700768,0.97700768,0.00000000,0.00000000,0.00000000,0.82052225,0.81417307,0.81707726,0.96704844
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74514420,0.97382602,0.81458973,0.97700768,0.06250000,0.00250000,0.00480769,0.66996663,0.81458973,0.71410804,0.73174557
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98691301,0.98845266,0.98750000,0.98875000,0.00000000,0.00000000,0.00000000,0.82576244,0.82291667,0.82431272,0.98337566
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75515009,0.98845266,0.82333333,0.98875000,0.12500000,0.00250000,0.00490196,0.65933133,0.82333333,0.70385761,0.74435713
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.98537336,0.98845266,0.98388268,0.98638268,0.00000000,0.00000000,0.00000000,0.82608406,0.81990223,0.82296305,0.98139984
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.79223072,0.98845266,0.84740223,0.98638268,0.89189189,0.16500000,0.27848101,0.81948108,0.84740223,0.77853180,0.77550158
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.98460354,0.98614319,0.98526536,0.98651536,0.00000000,0.00000000,0.00000000,0.82268901,0.82105447,0.82180880,0.98045030
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.75515009,0.98614319,0.82272114,0.98651536,0.36363636,0.01000000,0.01946472,0.69631991,0.82272114,0.70349020,0.74350135
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.98229407,0.98537336,0.98276536,0.98526536,0.00000000,0.00000000,0.00000000,0.82707603,0.81897114,0.82298158,0.97761139
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.91171277,0.98537336,0.93272114,0.98526536,0.94791667,0.68250000,0.79360465,0.90780281,0.93272114,0.90955192,0.89732236
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.97536567,0.97767513,0.97937500,0.98125000,0.00000000,0.00000000,0.00000000,0.82004158,0.81614583,0.81785196,0.96899534
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.85638611,0.97767513,0.89447917,0.98125000,0.92156863,0.47000000,0.62251656,0.87145952,0.89447917,0.86507388,0.83545264
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.98691301,0.98845266,0.98750000,0.98875000,0.00000000,0.00000000,0.00000000,0.82743975,0.82291667,0.82513809,0.98341489
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.93643320,0.98845266,0.95166667,0.98875000,0.96865204,0.77250000,0.85952712,0.93453089,0.95166667,0.93978809,0.92443551
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.98460354,0.98537336,0.98437500,0.98500000,0.00000000,0.00000000,0.00000000,0.82405045,0.82031250,0.82214872,0.98038507
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.90759270,0.98537336,0.92989583,0.98500000,0.98501873,0.65750000,0.78860570,0.90669576,0.92989583,0.91025431,0.89218361
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.97998460,0.98383372,0.97964036,0.98388268,0.00000000,0.00000000,0.00000000,0.82597050,0.81636697,0.82112884,0.97468437
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.83755150,0.98383372,0.87886697,0.98388268,0.90361446,0.37500000,0.53003534,0.84111730,0.87886697,0.83447733,0.81604580
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.98152425,0.98229407,0.98125000,0.98187500,0.00000000,0.00000000,0.00000000,0.82314307,0.81770833,0.82034113,0.97652235
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.79164214,0.98229407,0.84687500,0.98187500,0.90909091,0.17500000,0.29350105,0.86119149,0.84687500,0.78554604,0.78732810
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.97536567,0.97536567,0.97875000,0.97875000,0.00000000,0.00000000,0.00000000,0.82063719,0.81562500,0.81785067,0.96897114
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.84696881,0.97536567,0.88729167,0.97875000,0.93478261,0.43000000,0.58904110,0.87898818,0.88729167,0.84767583,0.83381393
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.98845266,0.98922248,0.98875000,0.98937500,0.00000000,0.00000000,0.00000000,0.82473382,0.82395833,0.82431920,0.98530600
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.80694526,0.98922248,0.86020833,0.98937500,0.96666667,0.21750000,0.35510204,0.87762391,0.86020833,0.80263630,0.80335283
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.98306390,0.98614319,0.98263268,0.98625000,0.00000000,0.00000000,0.00000000,0.82318866,0.81886057,0.82095630,0.97846340
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.78457916,0.98614319,0.84219390,0.98625000,0.91803279,0.14000000,0.24295011,0.86020063,0.84219390,0.77554507,0.78186347
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.98075443,0.98306390,0.98164804,0.98513268,0.00000000,0.00000000,0.00000000,0.81968669,0.81804004,0.81873242,0.97559725
