dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.91925977,0.98930775,0.91820251,0.99025000,0.00000000,0.00000000,0.00000000,0.83333333,0.76516876,0.79761822,0.90490031
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.92863171,0.98930775,0.93133543,0.99025000,0.63045277,0.99700000,0.77188073,0.93789712,0.93133543,0.92602769,0.91739358
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.92255581,0.98414165,0.92604679,0.98478422,0.00000000,0.00000000,0.00000000,0.83139949,0.77170566,0.80021012,0.90764306
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.93172454,0.98414165,0.93195566,0.98478422,0.79631154,0.96150000,0.87062252,0.95038581,0.93195566,0.93807859,0.91834954
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.92286374,0.98583526,0.92392249,0.98653422,0.00000000,0.00000000,0.00000000,0.82962691,0.76993541,0.79836252,0.90767601
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92148323,0.98583526,0.92276874,0.98653422,0.79136224,0.91700000,0.84923468,0.93418794,0.92276874,0.92501777,0.90545354
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.92686682,0.98398768,0.92775209,0.98490922,0.00000000,0.00000000,0.00000000,0.83092830,0.77312675,0.80072182,0.91229802
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.81447911,0.98398768,0.84804341,0.98490922,0.61361204,0.44950000,0.50458217,0.84124055,0.84804341,0.82072685,0.79085160
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.92917629,0.99230177,0.93287640,0.99232961,0.00000000,0.00000000,0.00000000,0.83269767,0.77739700,0.80389234,0.91516387
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.93678634,0.99230177,0.93764700,0.99232961,0.80829725,0.96150000,0.87796911,0.95312795,0.93764700,0.94302610,0.92418718
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.91736111,0.98486111,0.91937500,0.98462500,0.00000000,0.00000000,0.00000000,0.83040278,0.76614583,0.79657222,0.90256091
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.92303067,0.98486111,0.92608604,0.98462500,0.65141207,0.95964126,0.77426670,0.93067617,0.92608604,0.92130058,0.91031267
