dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.91843729,0.98697738,0.91577863,0.98812500,0.00000000,0.00000000,0.00000000,0.83333333,0.76314886,0.79653881,0.90383033
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.92827004,0.98697738,0.92981553,0.98812500,0.62695925,1.00000000,0.77071291,0.93782654,0.92981553,0.92499097,0.91696021
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.90678547,0.98903358,0.90613827,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.75511522,0.79212797,0.89114725
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.91802291,0.98903358,0.92178189,0.99000000,0.59523810,1.00000000,0.74626866,0.93253968,0.92178189,0.91650608,0.90572590
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.91295408,0.99040439,0.91225559,0.99125000,0.00000000,0.00000000,0.00000000,0.83333333,0.76021299,0.79481525,0.89793414
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.92344786,0.99040439,0.92687966,0.99125000,0.61162080,1.00000000,0.75901328,0.93527013,0.92687966,0.92131746,0.91173075
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.94037012,0.98971899,0.93971718,0.99062500,0.00000000,0.00000000,0.00000000,0.83333333,0.78309765,0.80737615,0.92848730
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.94695600,0.98971899,0.94893098,0.99062500,0.69580420,0.99500000,0.81893004,0.94830864,0.94893098,0.94340084,0.93781516
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.91775188,0.99040439,0.91712291,0.99125000,0.00000000,0.00000000,0.00000000,0.83333333,0.76426909,0.79723291,0.90310252
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.92646172,0.99040439,0.92926909,0.99125000,0.62264151,0.99000000,0.76447876,0.93554060,0.92926909,0.92392308,0.91473586
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.91993841,0.98383372,0.92803073,0.98562500,0.00000000,0.00000000,0.00000000,0.83224401,0.77335894,0.80143287,0.90491413
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.93702178,0.98383372,0.93877561,0.98562500,0.79400000,0.99250000,0.88222222,0.96139316,0.93877561,0.94693313,0.92529899
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.93533487,0.97382602,0.93685754,0.97750000,0.00000000,0.00000000,0.00000000,0.83119658,0.78071462,0.80501116,0.92194200
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.94643908,0.97382602,0.94446462,0.97750000,0.82736842,0.98250000,0.89828571,0.96202562,0.94446462,0.95120492,0.93580308
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.92532717,0.98383372,0.93106145,0.98401536,0.00000000,0.00000000,0.00000000,0.83012821,0.77588454,0.80193405,0.91062094
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.92937022,0.98383372,0.93296788,0.98401536,0.80042463,0.94250000,0.86567164,0.94252887,0.93296788,0.93526273,0.91504047
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.90377213,0.98768283,0.90068436,0.98539804,0.00000000,0.00000000,0.00000000,0.83219178,0.75057030,0.78918148,0.88654976
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.92407298,0.98768283,0.91557030,0.98539804,0.76153846,0.99000000,0.86086957,0.95470085,0.91557030,0.93062165,0.91007582
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.92840647,0.99153195,0.93359986,0.99138268,0.00000000,0.00000000,0.00000000,0.83123690,0.77799988,0.80349102,0.91418848
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.92171866,0.99153195,0.92799988,0.99138268,0.79822616,0.90000000,0.84606345,0.93128054,0.92799988,0.92637054,0.90552933
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.92917629,0.98614319,0.92873254,0.98687500,0.00000000,0.00000000,0.00000000,0.83333333,0.77394378,0.80252730,0.91496404
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.93290171,0.98614319,0.93144378,0.98687500,0.80425532,0.94500000,0.86896552,0.94686555,0.93144378,0.93726761,0.91905869
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.91762895,0.97613549,0.92041899,0.97950768,0.00000000,0.00000000,0.00000000,0.82429719,0.76701583,0.79397480,0.90143490
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.92054149,0.97613549,0.92201583,0.97950768,0.79148936,0.93000000,0.85517241,0.93346129,0.92201583,0.92380611,0.90443972
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.91531948,0.99076212,0.91729399,0.98865573,0.00000000,0.00000000,0.00000000,0.82812500,0.76441166,0.79457520,0.89915146
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.92407298,0.99076212,0.92316166,0.98865573,0.78395062,0.95250000,0.86004515,0.94164540,0.92316166,0.92886677,0.90899173
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.92840647,0.98691301,0.92653631,0.98700768,0.00000000,0.00000000,0.00000000,0.83116883,0.77211359,0.80039804,0.91389942
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.92701589,0.98691301,0.92586359,0.98700768,0.80217391,0.92250000,0.85813953,0.93729926,0.92586359,0.92892239,0.91182480
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.92378753,0.98922248,0.92663059,0.99062500,0.00000000,0.00000000,0.00000000,0.83121019,0.77219216,0.80033725,0.90893025
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.90288405,0.98922248,0.91135882,0.99062500,0.77494200,0.83500000,0.80385078,0.91166821,0.91135882,0.90622597,0.88295276
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.92840647,0.98845266,0.92913059,0.98937500,0.00000000,0.00000000,0.00000000,0.83333333,0.77427549,0.80265032,0.91413389
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.87580930,0.98845266,0.89177549,0.98937500,0.75200000,0.70500000,0.72774194,0.88609594,0.89177549,0.87933081,0.85198347
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.91685912,0.97305620,0.91952863,0.97575768,0.00000000,0.00000000,0.00000000,0.83121019,0.76627386,0.79717172,0.90112439
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.85108888,0.97305620,0.87252386,0.97575768,0.70637119,0.63750000,0.67017083,0.86993604,0.87252386,0.85771314,0.82398509
