dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.91363948,0.98697738,0.91583450,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.76319541,0.79642240,0.89878281
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.92344786,0.98697738,0.92902875,0.98763268,0.61230769,0.99500000,0.75809524,0.93483456,0.92902875,0.92251183,0.91166815
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.90472927,0.99040439,0.90426327,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.75355272,0.79129813,0.88890813
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.91621459,0.99040439,0.92021939,0.99075768,0.58997050,1.00000000,0.74211503,0.93166175,0.92021939,0.91498396,0.90373923
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.92666210,0.99040439,0.92524791,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.77103992,0.80069008,0.91310066
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.93550332,0.99040439,0.93770659,0.99075768,0.65146580,1.00000000,0.78895464,0.94191097,0.93770659,0.93218252,0.92510279
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.92049349,0.98971899,0.92257682,0.99062500,0.00000000,0.00000000,0.00000000,0.83333333,0.76881401,0.79962400,0.90624967
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93007836,0.98971899,0.93548068,0.99062500,0.63291139,1.00000000,0.77519380,0.93881857,0.93548068,0.92882296,0.91906067
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.90678547,0.99040439,0.90613827,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.75511522,0.79218565,0.89111663
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.91742013,0.99040439,0.92094856,0.99075768,0.59402985,0.99500000,0.74392523,0.93179006,0.92094856,0.91591338,0.90490668
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.91377983,0.98229407,0.91519204,0.98375000,0.00000000,0.00000000,0.00000000,0.83227176,0.76266003,0.79555187,0.89778606
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.92701589,0.98229407,0.92432670,0.98375000,0.77755511,0.97000000,0.86318131,0.95010534,0.92432670,0.93343228,0.91294539
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.91993841,0.97151655,0.92019204,0.97477304,0.00000000,0.00000000,0.00000000,0.82916667,0.76682670,0.79619562,0.90440917
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.93525603,0.97151655,0.93099337,0.97477304,0.79757085,0.98500000,0.88143177,0.95622165,0.93099337,0.94011011,0.92283915
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.91762895,0.98768283,0.91992668,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.76660556,0.79828395,0.90214206
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.93113596,0.98768283,0.92910556,0.98763268,0.78470825,0.97500000,0.86956522,0.95413800,0.92910556,0.93816288,0.91787857
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.90531178,0.97151655,0.90604399,0.97026536,0.00000000,0.00000000,0.00000000,0.83114035,0.75503666,0.79107906,0.88831683
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.89758682,0.97151655,0.90045333,0.97026536,0.74255319,0.87250000,0.80229885,0.91357824,0.90045333,0.90228017,0.87661252
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.90916089,0.98691301,0.90674581,0.98714036,0.00000000,0.00000000,0.00000000,0.83225806,0.75562151,0.79131118,0.89269868
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.92407298,0.98691301,0.91770484,0.98714036,0.76877470,0.97250000,0.85871965,0.94941426,0.91770484,0.92893237,0.90964001
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.90531178,0.98691301,0.90403631,0.98687500,0.00000000,0.00000000,0.00000000,0.83333333,0.75336359,0.79125040,0.88842924
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.91642142,0.98691301,0.91211359,0.98687500,0.75595238,0.95250000,0.84292035,0.94013348,0.91211359,0.92243932,0.90009363
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.92994611,0.97536567,0.93064595,0.97839036,0.00000000,0.00000000,0.00000000,0.82515337,0.77553829,0.79918617,0.91532790
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.93878752,0.97536567,0.93678829,0.97839036,0.82340426,0.96750000,0.88965517,0.95068101,0.93678829,0.94127315,0.92639736
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.92686682,0.98845266,0.93418645,0.98776536,0.00000000,0.00000000,0.00000000,0.82921969,0.77848871,0.80273182,0.91240110
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.92407298,0.98845266,0.93098871,0.98776536,0.80087527,0.91500000,0.85414236,0.93389191,0.93098871,0.92938825,0.90850957
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.90916089,0.98691301,0.91149791,0.98477304,0.00000000,0.00000000,0.00000000,0.83222222,0.75958159,0.79418446,0.89267377
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.91406710,0.98691301,0.91458159,0.98477304,0.76073620,0.93000000,0.83689539,0.93296914,0.91458159,0.92039477,0.89684632
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.91454965,0.98152425,0.91380936,0.98289804,0.00000000,0.00000000,0.00000000,0.82401656,0.76150780,0.79077402,0.89802582
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.89582107,0.98152425,0.90067446,0.98289804,0.76605505,0.83500000,0.79904306,0.90594310,0.90067446,0.89702940,0.87458816
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.94072363,0.98999230,0.94034218,0.99062500,0.00000000,0.00000000,0.00000000,0.83333333,0.78361848,0.80770719,0.92815117
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.93172454,0.98999230,0.93403515,0.99062500,0.82420091,0.90250000,0.86157518,0.93648963,0.93403515,0.93326906,0.91724133
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.91608930,0.97613549,0.91854399,0.97964036,0.00000000,0.00000000,0.00000000,0.83227176,0.76545333,0.79719476,0.90034245
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.89994114,0.97613549,0.90670333,0.97964036,0.75838926,0.84750000,0.80047226,0.91233093,0.90670333,0.90413509,0.87938685
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.91224018,0.98999230,0.91748254,0.98950768,0.00000000,0.00000000,0.00000000,0.83225108,0.76456878,0.79672719,0.89626809
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.90582696,0.98999230,0.91206878,0.98950768,0.75802998,0.88500000,0.81660900,0.92050500,0.91206878,0.91207497,0.88662791
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.90377213,0.98768283,0.90824022,0.98464036,0.00000000,0.00000000,0.00000000,0.83114035,0.75686685,0.79209231,0.88681456
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.84755739,0.98768283,0.86770019,0.98464036,0.68380463,0.66500000,0.67427123,0.86804669,0.86770019,0.85632206,0.81855474
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.92532717,0.98152425,0.92627095,0.98227304,0.00000000,0.00000000,0.00000000,0.82809224,0.77189246,0.79867535,0.91034564
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.84638022,0.98152425,0.87022579,0.98227304,0.71951220,0.59000000,0.64835165,0.86604873,0.87022579,0.85209461,0.82038208
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.90685142,0.99615089,0.90411313,0.99625000,0.00000000,0.00000000,0.00000000,0.83333333,0.75342761,0.79091346,0.89010260
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.92701589,0.99615089,0.91884427,0.99625000,0.76640927,0.99250000,0.86492375,0.95784240,0.91884427,0.93352082,0.91364126
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.91147036,0.99230177,0.91492668,0.99375000,0.00000000,0.00000000,0.00000000,0.83227848,0.76243890,0.79531376,0.89540678
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.92113008,0.99230177,0.92118890,0.99375000,0.76969697,0.95250000,0.85139665,0.94278377,0.92118890,0.92793476,0.90576318
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.91685912,0.99153195,0.92077863,0.99125000,0.00000000,0.00000000,0.00000000,0.83020833,0.76731553,0.79715182,0.90110644
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.92583873,0.99153195,0.92648219,0.99125000,0.78439425,0.95500000,0.86133033,0.94440279,0.92648219,0.93199755,0.91118956
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.89530408,0.98922248,0.89523045,0.98901536,0.00000000,0.00000000,0.00000000,0.83333333,0.74602537,0.78688002,0.87766169
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,45,0.91583284,0.98922248,0.90977537,0.98901536,0.74291115,0.98250000,0.84607104,0.94981433,0.90977537,0.92432837,0.90053241
BoT_IoT,RFF_LIM_NFST,scan,known_only,46,0.94303310,0.99076212,0.94238827,0.98977304,0.00000000,0.00000000,0.00000000,0.83122363,0.78532356,0.80742318,0.93072596
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,46,0.94408476,0.99076212,0.94324022,0.98977304,0.84035477,0.94750000,0.89071680,0.95197719,0.94324022,0.94574630,0.93239627
BoT_IoT,RFF_LIM_NFST,theft,known_only,42,0.89583333,0.98263889,0.89937500,0.98125000,0.00000000,0.00000000,0.00000000,0.83222222,0.74947917,0.78823019,0.87921403
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,42,0.90980156,0.98263889,0.91614583,0.98125000,0.59946237,1.00000000,0.74957983,0.93213262,0.91614583,0.91316016,0.89669071
BoT_IoT,RFF_LIM_NFST,theft,known_only,43,0.91180556,0.98333333,0.91812500,0.98312500,0.00000000,0.00000000,0.00000000,0.82617587,0.76510417,0.79385873,0.89605170
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,43,0.92062538,0.98333333,0.92803391,0.98312500,0.64497041,0.97757848,0.77718360,0.92892364,0.92803391,0.92093521,0.90771355
BoT_IoT,RFF_LIM_NFST,theft,known_only,44,0.93194444,0.99236111,0.93375000,0.99000000,0.00000000,0.00000000,0.00000000,0.83224401,0.77812500,0.80418606,0.91870872
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,44,0.94107035,0.99236111,0.94479167,0.99000000,0.69687500,1.00000000,0.82136280,0.94838984,0.94479167,0.94107986,0.93116395
BoT_IoT,RFF_LIM_NFST,theft,known_only,45,0.90347222,0.97638889,0.90500000,0.97687500,0.00000000,0.00000000,0.00000000,0.82891832,0.75416667,0.78960166,0.88695667
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,45,0.91641612,0.97638889,0.92083333,0.97687500,0.62290503,1.00000000,0.76764200,0.93273583,0.92083333,0.91754199,0.90359535
BoT_IoT,RFF_LIM_NFST,theft,known_only,46,0.90972222,0.98194444,0.90937500,0.98125000,0.00000000,0.00000000,0.00000000,0.83333333,0.75781250,0.79371649,0.89402620
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,46,0.92182802,0.98194444,0.92447917,0.98125000,0.63172805,1.00000000,0.77430556,0.93862134,0.92447917,0.92276742,0.90971276
