dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.87676491,0.98313914,0.87502165,0.98265573,0.00000000,0.00000000,0.00000000,0.83253167,0.72918471,0.77722677,0.85899843
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.89101869,0.98313914,0.89501804,0.98265573,0.52750599,0.99500000,0.68942517,0.91987080,0.89501804,0.89187257,0.87624623
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.86928406,0.97290223,0.87213547,0.97117458,0.00000000,0.00000000,0.00000000,0.82596387,0.72677956,0.77260085,0.84951986
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.86180106,0.97290223,0.86636290,0.97117458,0.66849591,0.83750000,0.74158740,0.89710637,0.86636290,0.87202455,0.83569080
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.86558891,0.97413395,0.86694623,0.97275419,0.00000000,0.00000000,0.00000000,0.82735135,0.72245519,0.77078689,0.84580290
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.85544438,0.97413395,0.85953852,0.97275419,0.65639711,0.82250000,0.72734167,0.89133656,0.85953852,0.86611760,0.82790871
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.87036182,0.97351809,0.87201816,0.97232612,0.00000000,0.00000000,0.00000000,0.82250602,0.72668180,0.77085284,0.85015962
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.82801648,0.97351809,0.84176513,0.97232612,0.63092886,0.69050000,0.65744021,0.86141320,0.84176513,0.83871725,0.79542775
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.87359507,0.97736721,0.87299162,0.97351955,0.00000000,0.00000000,0.00000000,0.82904709,0.72749302,0.77460093,0.85427738
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.88216598,0.97736721,0.87915968,0.97351955,0.69505761,0.91000000,0.78738451,0.91437683,0.87915968,0.88988940,0.85965086
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.85875000,0.96708333,0.86150000,0.96350000,0.00000000,0.00000000,0.00000000,0.81976787,0.71791667,0.76472852,0.83899359
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.84570054,0.96708333,0.84482250,0.96350000,0.46853151,0.76143498,0.57788774,0.86206430,0.84482250,0.84201686,0.82001716
