dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.87799863,0.97875257,0.87201117,0.97816341,0.00000000,0.00000000,0.00000000,0.83222591,0.72667598,0.77535397,0.86010732
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.89210368,0.97875257,0.89250931,0.97816341,0.53066667,0.99500000,0.69217391,0.92012215,0.89250931,0.89045826,0.87730561
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.86703221,0.98217958,0.86496508,0.98227304,0.00000000,0.00000000,0.00000000,0.83216884,0.72080424,0.77226748,0.84881727
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.88185654,0.98217958,0.88580424,0.98227304,0.50769231,0.99000000,0.67118644,0.91560349,0.88580424,0.88361526,0.86627200
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.88279644,0.98423578,0.87983240,0.98316341,0.00000000,0.00000000,0.00000000,0.83276256,0.73319367,0.77967201,0.86526956
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.89692586,0.98423578,0.89986034,0.98316341,0.54054054,1.00000000,0.70175439,0.92285265,0.89986034,0.89663107,0.88270372
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.87525703,0.98423578,0.87788059,0.98365573,0.00000000,0.00000000,0.00000000,0.83275663,0.73156716,0.77876357,0.85762550
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.88969259,0.98423578,0.89740049,0.98365573,0.52368421,0.99500000,0.68620690,0.91946461,0.89740049,0.89287297,0.87496589
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.88074023,0.98629198,0.88041899,0.98602304,0.00000000,0.00000000,0.00000000,0.83274441,0.73368250,0.78007681,0.86317248
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.89451477,0.98629198,0.89951583,0.98602304,0.53494624,0.99500000,0.69580420,0.92131109,0.89951583,0.89578528,0.87998392
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.86605081,0.97613549,0.87068436,0.97651536,0.00000000,0.00000000,0.00000000,0.82365591,0.72557030,0.77104077,0.84588984
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.89170100,0.97613549,0.88807030,0.97651536,0.70270270,0.97500000,0.81675393,0.93125853,0.88807030,0.90241265,0.87259874
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.88221709,0.96920708,0.88362081,0.97039804,0.00000000,0.00000000,0.00000000,0.82848709,0.73635068,0.77906269,0.86318301
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.88228370,0.96920708,0.88343401,0.97039804,0.70459082,0.88250000,0.78357381,0.90832048,0.88343401,0.88889836,0.85896045
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.86989992,0.98229407,0.87536313,0.98263268,0.00000000,0.00000000,0.00000000,0.82911392,0.72946927,0.77536316,0.85061752
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.80812242,0.98229407,0.83071927,0.98263268,0.59558824,0.60750000,0.60148515,0.84586122,0.83071927,0.82196655,0.77221858
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.88067744,0.97228637,0.87952863,0.96553073,0.00000000,0.00000000,0.00000000,0.83095238,0.73294053,0.77884889,0.86173670
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.90052972,0.97228637,0.89377386,0.96553073,0.71614100,0.96500000,0.82215122,0.93576550,0.89377386,0.90924655,0.88221500
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.84757506,0.96458814,0.85148045,0.96079609,0.00000000,0.00000000,0.00000000,0.81761006,0.70956704,0.75868876,0.82617223
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.82636845,0.96458814,0.83581704,0.96079609,0.62345679,0.75750000,0.68397291,0.86432613,0.83581704,0.83759864,0.79246121
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.86605081,0.97767513,0.86966131,0.97977304,0.00000000,0.00000000,0.00000000,0.83216783,0.72471776,0.77425961,0.84709695
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.87757504,0.97767513,0.87721776,0.97977304,0.67903525,0.91500000,0.77955272,0.91947867,0.87721776,0.89202654,0.85424066
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.86989992,0.96843726,0.87621508,0.96964036,0.00000000,0.00000000,0.00000000,0.82407407,0.73017924,0.77337368,0.85005560
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.86521483,0.96843726,0.87184590,0.96964036,0.68000000,0.85000000,0.75555556,0.89486486,0.87184590,0.87442237,0.83880384
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.86143187,0.98229407,0.86701117,0.98200768,0.00000000,0.00000000,0.00000000,0.83119658,0.72250931,0.77226036,0.84215820
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.86756916,0.98229407,0.87042598,0.98200768,0.66604128,0.88750000,0.76098607,0.90536841,0.87042598,0.87884171,0.84242537
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.85604311,0.97382602,0.85657472,0.97017109,0.00000000,0.00000000,0.00000000,0.82420091,0.71381227,0.76481148,0.83545194
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.86698058,0.97382602,0.86422893,0.97017109,0.66851852,0.90250000,0.76808511,0.90241074,0.86422893,0.87583220,0.84164742
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.87451886,0.96843726,0.86526885,0.96217877,0.00000000,0.00000000,0.00000000,0.82511737,0.72105738,0.76922932,0.85425179
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.79988228,0.96843726,0.81397405,0.96217877,0.58839050,0.55750000,0.57252888,0.83456012,0.81397405,0.80946519,0.76242625
