dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98821110,0.98821110,0.98826536,0.98826536,0.00000000,0.00000000,0.00000000,0.92256070,0.92237709,0.92243130,0.98515291
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.87920434,0.98821110,0.83755447,0.98826536,0.94545455,0.08400000,0.14753556,0.89091829,0.83755447,0.79996933,0.86044115
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97736721,0.97767513,0.97772765,0.97810265,0.00000000,0.00000000,0.00000000,0.84809717,0.84761522,0.84768987,0.97131330
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.75432607,0.97767513,0.81977304,0.97810265,0.68144144,0.03000000,0.05640957,0.75943841,0.81977304,0.71630252,0.74115955
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.97952271,0.97983064,0.97905726,0.97955726,0.00000000,0.00000000,0.00000000,0.81602548,0.81588105,0.81578298,0.97401861
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.80447322,0.97983064,0.85521439,0.97955726,0.87854217,0.23600000,0.36478897,0.81969881,0.85521439,0.78949736,0.78658025
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98013857,0.98075443,0.98060265,0.98110265,0.00000000,0.00000000,0.00000000,0.84758691,0.85001106,0.84858291,0.97479297
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.75797528,0.98075443,0.82325221,0.98110265,0.63935185,0.03650000,0.06855204,0.75663308,0.82325221,0.72315332,0.74451725
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98675905,0.98706697,0.98595112,0.98645112,0.00000000,0.00000000,0.00000000,0.91841848,0.92034439,0.91928003,0.98315543
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.80494408,0.98706697,0.85737593,0.98645112,0.94384615,0.21450000,0.27572506,0.85431775,0.85737593,0.78668134,0.79675741
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.97902778,0.97902778,0.97862500,0.97862500,0.00000000,0.00000000,0.00000000,0.87811038,0.88104167,0.87940646,0.97354937
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.87071557,0.97902778,0.84407091,0.97862500,0.39587629,0.17130045,0.18403991,0.79113196,0.84407091,0.79095310,0.85432230
