dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98903358,0.98903358,0.98901536,0.98901536,0.00000000,0.00000000,0.00000000,0.98812035,0.98901536,0.98853163,0.98618436
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.87341772,0.98903358,0.82917947,0.98901536,1.00000000,0.03000000,0.05825243,0.89051887,0.82917947,0.77991313,0.85425249
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98834818,0.98834818,0.98789804,0.98789804,0.00000000,0.00000000,0.00000000,0.98790866,0.98789804,0.98787714,0.98531369
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.87402049,0.98834818,0.82991504,0.98789804,1.00000000,0.04000000,0.07692308,0.89829863,0.82991504,0.78717572,0.85479032
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98766278,0.98766278,0.98776536,0.98776536,0.00000000,0.00000000,0.00000000,0.82476718,0.82313780,0.82392152,0.98446717
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87402049,0.98766278,0.83063780,0.98776536,0.75000000,0.04500000,0.08490566,0.85437750,0.83063780,0.78717341,0.85447312
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98834818,0.98834818,0.98888268,0.98888268,0.00000000,0.00000000,0.00000000,0.82467741,0.82406890,0.82431173,0.98534568
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.89511754,0.98834818,0.85990223,0.98888268,0.97727273,0.21500000,0.35245902,0.90710820,0.85990223,0.84059355,0.87794245
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98766278,0.98766278,0.98776536,0.98776536,0.00000000,0.00000000,0.00000000,0.98732988,0.98776536,0.98751446,0.98445365
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.87944545,0.98766278,0.83813780,0.98776536,1.00000000,0.09000000,0.16513761,0.90428827,0.83813780,0.80499086,0.86074738
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97767513,0.97767513,0.97740573,0.97740573,0.00000000,0.00000000,0.00000000,0.81442947,0.81450477,0.81440533,0.97156372
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.74985285,0.97767513,0.81617144,0.97740573,0.66666667,0.01000000,0.01970443,0.77450662,0.81617144,0.71368333,0.74506835
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96997691,0.96997691,0.97276536,0.97276536,0.00000000,0.00000000,0.00000000,0.81673966,0.81063780,0.81339029,0.96222561
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.75338434,0.96997691,0.81897114,0.97276536,0.54054054,0.05000000,0.09153318,0.73778890,0.81897114,0.72639552,0.73327964
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98537336,0.98537336,0.98526536,0.98526536,0.00000000,0.00000000,0.00000000,0.98092689,0.98526536,0.98299181,0.98138631
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75985874,0.98537336,0.82563780,0.98526536,1.00000000,0.02750000,0.05352798,0.79923310,0.82563780,0.70961551,0.74809439
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.97382602,0.97459584,0.97352304,0.97477304,0.00000000,0.00000000,0.00000000,0.80944972,0.81126920,0.81021135,0.96675291
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.74690995,0.97459584,0.81293587,0.97477304,0.50000000,0.01000000,0.01960784,0.70757225,0.81293587,0.69339913,0.73301005
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.97998460,0.98075443,0.97967877,0.98030377,0.00000000,0.00000000,0.00000000,0.81894013,0.81639898,0.81745058,0.97463794
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.76162448,0.98075443,0.82514898,0.98030377,0.70000000,0.05250000,0.09767442,0.77809116,0.82514898,0.73841908,0.74634533
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.97844496,0.97921478,0.97753841,0.97878841,0.00000000,0.00000000,0.00000000,0.81204929,0.81461534,0.81316529,0.97259550
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.81753973,0.97921478,0.86378201,0.97878841,0.98333333,0.29500000,0.45384615,0.83709087,0.86378201,0.80567324,0.79883532
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.97382602,0.97382602,0.97539804,0.97539804,0.00000000,0.00000000,0.00000000,0.81553678,0.81283170,0.81399290,0.96692275
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.75338434,0.97382602,0.81908170,0.97539804,0.53571429,0.03750000,0.07009346,0.72937812,0.81908170,0.72049088,0.73255233
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.98460354,0.98460354,0.98464036,0.98464036,0.00000000,0.00000000,0.00000000,0.81999032,0.82053364,0.82019587,0.98043865
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.83107710,0.98460354,0.87595030,0.98464036,0.96376812,0.33250000,0.49442379,0.85204774,0.87595030,0.82703027,0.81279069
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.98152425,0.98229407,0.98053073,0.98178073,0.00000000,0.00000000,0.00000000,0.82099672,0.81710894,0.81901939,0.97650363
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.79635079,0.98229407,0.84960894,0.98178073,0.91764706,0.19500000,0.32164948,0.82813917,0.84960894,0.78057927,0.78034434
