dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98821110,0.98821110,0.98826536,0.98826536,0.00000000,0.00000000,0.00000000,0.98795091,0.98826536,0.98806536,0.98515105
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.87088608,0.98821110,0.82605447,0.98826536,1.00000000,0.01500000,0.02946101,0.89289290,0.82605447,0.77631654,0.85136019
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97752117,0.97767513,0.97797765,0.97810265,0.00000000,0.00000000,0.00000000,0.87890799,0.88040375,0.87946615,0.97147888
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.74926427,0.97767513,0.81631471,0.97810265,0.54666667,0.00800000,0.01556031,0.73372735,0.81631471,0.70719516,0.73707389
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.97967667,0.97983064,0.97930726,0.97955726,0.00000000,0.00000000,0.00000000,0.84678589,0.84871567,0.84754849,0.97419751
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.77386698,0.97983064,0.83367272,0.97955726,0.86447579,0.10550000,0.18173620,0.79835479,0.83367272,0.74651880,0.75763887
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98075443,0.98075443,0.98110265,0.98110265,0.00000000,0.00000000,0.00000000,0.94429385,0.94831413,0.94605699,0.97555336
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.75067687,0.98075443,0.81816888,0.98110265,0.73333333,0.00350000,0.00696272,0.76871080,0.81816888,0.71037590,0.73861627
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98706697,0.98706697,0.98645112,0.98645112,0.00000000,0.00000000,0.00000000,0.98379664,0.98645112,0.98499569,0.98354971
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.75632725,0.98706697,0.82320926,0.98645112,0.60000000,0.00700000,0.01364550,0.76649706,0.82320926,0.72279928,0.74877444
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.97902778,0.97902778,0.97862500,0.97862500,0.00000000,0.00000000,0.00000000,0.90950203,0.91347917,0.91129769,0.97354712
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.86746843,0.97902778,0.84003503,0.97862500,0.19878788,0.14708520,0.16907216,0.75500072,0.84003503,0.78673086,0.85057685
