dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98903358,0.98903358,0.98901536,0.98901536,0.00000000,0.00000000,0.00000000,0.98812035,0.98901536,0.98853163,0.98618436
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.87160940,0.98903358,0.82667947,0.98901536,1.00000000,0.01500000,0.02955665,0.88929216,0.82667947,0.77444319,0.85227525
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98834818,0.98834818,0.98789804,0.98789804,0.00000000,0.00000000,0.00000000,0.98790866,0.98789804,0.98787714,0.98531369
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.86980108,0.98834818,0.82408170,0.98789804,1.00000000,0.00500000,0.00995025,0.89552312,0.82408170,0.77443773,0.85018693
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98766278,0.98766278,0.98776536,0.98776536,0.00000000,0.00000000,0.00000000,0.98737585,0.98776536,0.98753386,0.98445598
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.86980108,0.98766278,0.82480447,0.98776536,1.00000000,0.01000000,0.01980198,0.89042158,0.82480447,0.77307855,0.85013860
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98834818,0.98834818,0.98888268,0.98888268,0.00000000,0.00000000,0.00000000,0.98901981,0.98888268,0.98886971,0.98534757
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.87160940,0.98834818,0.82740223,0.98888268,1.00000000,0.02000000,0.03921569,0.89357538,0.82740223,0.77873877,0.85207632
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98766278,0.98766278,0.98776536,0.98776536,0.00000000,0.00000000,0.00000000,0.98732988,0.98776536,0.98751446,0.98445365
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.87160940,0.98766278,0.82730447,0.98776536,1.00000000,0.02500000,0.04878049,0.89565228,0.82730447,0.78088449,0.85212387
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97767513,0.97767513,0.97740573,0.97740573,0.00000000,0.00000000,0.00000000,0.97610380,0.97740573,0.97667495,0.97155266
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.74985285,0.97767513,0.81617144,0.97740573,1.00000000,0.01000000,0.01980198,0.82917720,0.81617144,0.71322321,0.74536022
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96997691,0.96997691,0.97276536,0.97276536,0.00000000,0.00000000,0.00000000,0.81344713,0.81063780,0.81171895,0.96214892
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74161271,0.96997691,0.81063780,0.97276536,0.00000000,0.00000000,0.00000000,0.64128452,0.81063780,0.70648538,0.72315302
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98537336,0.98537336,0.98526536,0.98526536,0.00000000,0.00000000,0.00000000,0.98092689,0.98526536,0.98299181,0.98138631
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75397293,0.98537336,0.82147114,0.98526536,1.00000000,0.00250000,0.00498753,0.79572433,0.82147114,0.69884284,0.74268254
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.97459584,0.97459584,0.97477304,0.97477304,0.00000000,0.00000000,0.00000000,0.80848697,0.81231087,0.81022964,0.96771053
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.74514420,0.97459584,0.81231087,0.97477304,0.00000000,0.00000000,0.00000000,0.62276807,0.81231087,0.68929762,0.73215807
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.97998460,0.98075443,0.97967877,0.98030377,0.00000000,0.00000000,0.00000000,0.81557518,0.81639898,0.81571541,0.97459599
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.75573867,0.98075443,0.82098231,0.98030377,0.73333333,0.02750000,0.05301205,0.77968265,0.82098231,0.72812677,0.74201557
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.97921478,0.97921478,0.97878841,0.97878841,0.00000000,0.00000000,0.00000000,0.97348788,0.97878841,0.97586406,0.97358429
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.76986463,0.97921478,0.83065701,0.97878841,1.00000000,0.09000000,0.16513761,0.80265366,0.83065701,0.73519669,0.75226562
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.97382602,0.97382602,0.97539804,0.97539804,0.00000000,0.00000000,0.00000000,0.81178931,0.81283170,0.81208830,0.96685889
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.74867569,0.97382602,0.81574837,0.97539804,0.46666667,0.01750000,0.03373494,0.71308157,0.81574837,0.71115069,0.72901356
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.98460354,0.98460354,0.98464036,0.98464036,0.00000000,0.00000000,0.00000000,0.81903499,0.82053364,0.81970193,0.98043680
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.80400235,0.98460354,0.85678364,0.98464036,0.95604396,0.21750000,0.35437882,0.83234820,0.85678364,0.79278998,0.78539103
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.98152425,0.98229407,0.98053073,0.98178073,0.00000000,0.00000000,0.00000000,0.81806300,0.81710894,0.81754670,0.97647506
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.78811065,0.98229407,0.84377561,0.98178073,0.95522388,0.16000000,0.27408994,0.82813607,0.84377561,0.76866905,0.77293847
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.97921478,0.97921478,0.97717877,0.97717877,0.00000000,0.00000000,0.00000000,0.81155427,0.81431564,0.81254147,0.97363253
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.75868158,0.97921478,0.82139898,0.97717877,0.94444444,0.04250000,0.08133971,0.81555447,0.82139898,0.72478757,0.74858570
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.98152425,0.98152425,0.98178073,0.98178073,0.00000000,0.00000000,0.00000000,0.97956649,0.98178073,0.98062879,0.97646231
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.75161860,0.98152425,0.81898394,0.98178073,1.00000000,0.00500000,0.00995025,0.79850735,0.81898394,0.70246110,0.73877525
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.97767513,0.97767513,0.98026536,0.98026536,0.00000000,0.00000000,0.00000000,0.97265194,0.98026536,0.97590612,0.97175326
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.74749853,0.97767513,0.81688780,0.98026536,0.00000000,0.00000000,0.00000000,0.64298025,0.81688780,0.70750356,0.73265643
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.98460354,0.98460354,0.98526536,0.98526536,0.00000000,0.00000000,0.00000000,0.98004870,0.98526536,0.98249565,0.98044668
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.75397293,0.98460354,0.82188780,0.98526536,1.00000000,0.00500000,0.00995025,0.80010687,0.82188780,0.71483957,0.73597864
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.98460354,0.98460354,0.98365573,0.98365573,0.00000000,0.00000000,0.00000000,0.81958263,0.81971311,0.81962629,0.98037145
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.75397293,0.98460354,0.82054644,0.98365573,0.66666667,0.00500000,0.00992556,0.79456480,0.82054644,0.72385318,0.75263451
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.97536567,0.97536567,0.97454609,0.97454609,0.00000000,0.00000000,0.00000000,0.96961947,0.97454609,0.97162809,0.96873309
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.74632137,0.97536567,0.81253841,0.97454609,1.00000000,0.00250000,0.00498753,0.80739473,0.81253841,0.70322207,0.73303651
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.99076212,0.99076212,0.98928073,0.98928073,0.00000000,0.00000000,0.00000000,0.98839969,0.98928073,0.98875970,0.98823829
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.75750441,0.99076212,0.82440061,0.98928073,0.00000000,0.00000000,0.00000000,0.68970490,0.82440061,0.72659361,0.75991449
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.98845266,0.98845266,0.98839036,0.98839036,0.00000000,0.00000000,0.00000000,0.98618742,0.98839036,0.98724314,0.98529879
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.75632725,0.98845266,0.82407530,0.98839036,1.00000000,0.00250000,0.00498753,0.85727492,0.82407530,0.74079790,0.75029324
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.98691301,0.98691301,0.98651536,0.98651536,0.00000000,0.00000000,0.00000000,0.98269334,0.98651536,0.98448639,0.98335814
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.75515009,0.98691301,0.82251280,0.98651536,1.00000000,0.00250000,0.00498753,0.81528598,0.82251280,0.71244871,0.74375000
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.98152425,0.98152425,0.98142109,0.98142109,0.00000000,0.00000000,0.00000000,0.97795348,0.98142109,0.97939313,0.97653215
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,45,0.75044144,0.98152425,0.81785091,0.98142109,0.00000000,0.00000000,0.00000000,0.66158275,0.81785091,0.71303019,0.74090726
BoT_IoT,RFF_LIM_NFST,scan,known_only,46,0.98768283,0.98768283,0.98664804,0.98664804,0.00000000,0.00000000,0.00000000,0.98374927,0.98664804,0.98509607,0.98432119
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,46,0.76221307,0.98768283,0.82720670,0.98664804,1.00000000,0.03000000,0.05825243,0.80863677,0.82720670,0.72112600,0.74900724
BoT_IoT,RFF_LIM_NFST,theft,known_only,42,0.97777778,0.97777778,0.97625000,0.97625000,0.00000000,0.00000000,0.00000000,0.81180782,0.81354167,0.81257942,0.97194420
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,42,0.84666266,0.97777778,0.81354167,0.97625000,0.00000000,0.00000000,0.00000000,0.70502963,0.81354167,0.74552297,0.82820593
BoT_IoT,RFF_LIM_NFST,theft,known_only,43,0.97986111,0.97986111,0.98125000,0.98125000,0.00000000,0.00000000,0.00000000,0.97580793,0.98125000,0.97829952,0.97459820
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,43,0.84846663,0.97986111,0.81770833,0.98125000,0.00000000,0.00000000,0.00000000,0.70608230,0.81770833,0.74710111,0.83094862
BoT_IoT,RFF_LIM_NFST,theft,known_only,44,0.98472222,0.98472222,0.98437500,0.98437500,0.00000000,0.00000000,0.00000000,0.97856781,0.98437500,0.98122492,0.98074391
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,44,0.85267589,0.98472222,0.82031250,0.98437500,0.00000000,0.00000000,0.00000000,0.71304090,0.82031250,0.76003098,0.83296663
BoT_IoT,RFF_LIM_NFST,theft,known_only,45,0.97777778,0.97777778,0.97812500,0.97812500,0.00000000,0.00000000,0.00000000,0.81128616,0.81510417,0.81295846,0.97200507
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,45,0.94527962,0.97777778,0.93767517,0.97812500,0.99393939,0.73542601,0.84536082,0.94635176,0.93767517,0.93827139,0.93441929
BoT_IoT,RFF_LIM_NFST,theft,known_only,46,0.97500000,0.97500000,0.97312500,0.97312500,0.00000000,0.00000000,0.00000000,0.97004045,0.97312500,0.97142614,0.96844420
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,46,0.84425737,0.97500000,0.81093750,0.97312500,0.00000000,0.00000000,0.00000000,0.70449899,0.81093750,0.74272786,0.82634378
