dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.87045922,0.98492118,0.87055168,0.98526536,0.00000000,0.00000000,0.00000000,0.83333333,0.72545973,0.77491735,0.85299147
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.88607595,0.98492118,0.89212640,0.98526536,0.51413882,1.00000000,0.67911715,0.91902314,0.89212640,0.88810354,0.87157206
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.85263879,0.98560658,0.85282472,0.98687500,0.00000000,0.00000000,0.00000000,0.83333333,0.71068727,0.76699334,0.83452769
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.86980108,0.98560658,0.87652060,0.98687500,0.48067633,0.99500000,0.64820847,0.91282416,0.87652060,0.87477023,0.85405481
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.87045922,0.98971899,0.86612081,0.99013268,0.00000000,0.00000000,0.00000000,0.83333333,0.72176734,0.77330324,0.85251401
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.88607595,0.98971899,0.88843401,0.99013268,0.51413882,1.00000000,0.67911715,0.91902314,0.88843401,0.88648943,0.87121829
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.88759424,0.98834818,0.88863827,0.98937500,0.00000000,0.00000000,0.00000000,0.83333333,0.74053189,0.78394785,0.87069127
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.89993972,0.98834818,0.90553189,0.98937500,0.54696133,0.99000000,0.70462633,0.92289978,0.90553189,0.90066317,0.88587430
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.90472927,0.98903358,0.90377095,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.75314246,0.79112159,0.88886162
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.91561181,0.98903358,0.91897579,0.99000000,0.58875740,0.99500000,0.73977695,0.93042437,0.91897579,0.91395502,0.90291370
