dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.96093215,0.98629198,0.96191341,0.98651536,0.00000000,0.00000000,0.00000000,0.83143939,0.80159451,0.81608239,0.95236652
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.96323086,0.98629198,0.96492784,0.98651536,0.78087649,0.98000000,0.86917960,0.95945201,0.96492784,0.95990670,0.95628889
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96435915,0.99108979,0.96553073,0.99138268,0.00000000,0.00000000,0.00000000,0.83184348,0.80460894,0.81791396,0.95637915
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.96021700,0.99108979,0.95960894,0.99138268,0.78813559,0.93000000,0.85321101,0.95312037,0.95960894,0.95513667,0.95227457
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.96504455,0.99246059,0.96763268,0.99312500,0.00000000,0.00000000,0.00000000,0.83240223,0.80636057,0.81896838,0.95731926
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.96323086,0.99246059,0.96469390,0.99312500,0.79166667,0.95000000,0.86363636,0.95557760,0.96469390,0.95840409,0.95611754
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96984236,0.99040439,0.97102304,0.99125000,0.00000000,0.00000000,0.00000000,0.82783883,0.80918587,0.81816380,0.96289020
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.96383363,0.99040439,0.96251920,0.99125000,0.82882883,0.92000000,0.87203791,0.95394994,0.96251920,0.95724000,0.95657641
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.95476354,0.99040439,0.95727304,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.79772754,0.81498377,0.94522419
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.95901145,0.99040439,0.96272754,0.99075768,0.75000000,0.99000000,0.85344828,0.95686595,0.96272754,0.95650094,0.95160041
