dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98779986,0.98875942,0.98789036,0.98915922,0.00000000,0.00000000,0.00000000,0.82791040,0.82324197,0.82552893,0.98469041
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.91078963,0.98875942,0.88140864,0.98915922,0.87539501,0.34900000,0.49208629,0.90659339,0.88140864,0.87213448,0.89524012
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97782910,0.97998460,0.97779958,0.98049651,0.00000000,0.00000000,0.00000000,0.82367958,0.81483298,0.81916273,0.97200341
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.76280165,0.97998460,0.82558298,0.98049651,0.55685239,0.06450000,0.11476225,0.74861207,0.82558298,0.73084950,0.74811483
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.97967667,0.98337182,0.98031844,0.98446229,0.00000000,0.00000000,0.00000000,0.82425234,0.81693203,0.82048681,0.97435877
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.89358446,0.98337182,0.91926536,0.98446229,0.93826890,0.61400000,0.73827610,0.89356251,0.91926536,0.89373581,0.87716463
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.97890685,0.98137028,0.97872765,0.98164804,0.00000000,0.00000000,0.00000000,0.82135326,0.81560638,0.81842423,0.97326204
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.81683343,0.98137028,0.86402304,0.98164804,0.89605933,0.29050000,0.42580670,0.83812335,0.86402304,0.80326831,0.80186837
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98876059,0.99076212,0.98770112,0.99041690,0.00000000,0.00000000,0.00000000,0.82566955,0.82308426,0.82431344,0.98573025
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.83343143,0.99076212,0.87791760,0.99041690,0.91569755,0.32900000,0.41162735,0.86283849,0.87791760,0.81688009,0.82593344
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.98125000,0.98541667,0.98050000,0.98475000,0.00000000,0.00000000,0.00000000,0.82276416,0.81708333,0.81977717,0.97647398
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.87841251,0.98541667,0.85280830,0.98475000,0.73666451,0.21434978,0.32007244,0.86575099,0.85280830,0.82933724,0.85960285
