dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98423578,0.98697738,0.98365573,0.98763268,0.00000000,0.00000000,0.00000000,0.82739707,0.81971311,0.82351002,0.98025107
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.90958409,0.98697738,0.88054644,0.98763268,0.83908046,0.36500000,0.50871080,0.90125388,0.88054644,0.87375201,0.89324641
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98766278,0.98766278,0.98776536,0.98776536,0.00000000,0.00000000,0.00000000,0.82712088,0.82313780,0.82507614,0.98449467
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.91440627,0.98766278,0.88647114,0.98776536,0.92682927,0.38000000,0.53900709,0.91508132,0.88647114,0.88014835,0.89927197
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99040439,0.99040439,0.99075768,0.99075768,0.00000000,0.00000000,0.00000000,0.82824206,0.82563140,0.82692154,0.98792244
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.92465341,0.99040439,0.89979807,0.99075768,0.94680851,0.44500000,0.60544218,0.93374922,0.89979807,0.90021842,0.91140691
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98697738,0.98766278,0.98714036,0.98776536,0.00000000,0.00000000,0.00000000,0.82738414,0.82261697,0.82491596,0.98368137
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.88547318,0.98766278,0.84678364,0.98776536,0.76315789,0.14500000,0.24369748,0.86862816,0.84678364,0.81998355,0.86667463
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98971899,0.99108979,0.99013268,0.99187500,0.00000000,0.00000000,0.00000000,0.82940786,0.82511057,0.82722097,0.98710248
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.91983122,0.99108979,0.89344390,0.99187500,0.90109890,0.41000000,0.56357388,0.91425438,0.89344390,0.88657006,0.90560066
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97844496,0.98152425,0.97803073,0.98151536,0.00000000,0.00000000,0.00000000,0.82253901,0.81502561,0.81873563,0.97270223
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.76574456,0.98152425,0.82752561,0.98151536,0.68181818,0.07500000,0.13513514,0.76208732,0.82752561,0.72883111,0.75199909
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97305620,0.97305620,0.97714036,0.97714036,0.00000000,0.00000000,0.00000000,0.82222137,0.81428364,0.81796182,0.96619531
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.75161860,0.97305620,0.81970030,0.97714036,0.39393939,0.03250000,0.06004619,0.71213927,0.81970030,0.70951587,0.73850382
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98229407,0.98383372,0.98276536,0.98401536,0.00000000,0.00000000,0.00000000,0.82522045,0.81897114,0.82205899,0.97758245
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.77987051,0.98383372,0.83938780,0.98401536,0.79032258,0.12250000,0.21212121,0.78411295,0.83938780,0.75451749,0.76126657
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.97767513,0.98075443,0.97589036,0.98026536,0.00000000,0.00000000,0.00000000,0.82238415,0.81324197,0.81778344,0.97171860
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.75161860,0.98075443,0.81615864,0.98026536,0.31818182,0.01750000,0.03317536,0.71400002,0.81615864,0.72214883,0.73566224
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.97767513,0.98075443,0.97517109,0.97954609,0.00000000,0.00000000,0.00000000,0.82603293,0.81264257,0.81927375,0.97181845
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.76515597,0.98075443,0.82514257,0.97954609,0.60000000,0.07500000,0.13333333,0.77072081,0.82514257,0.73923418,0.75314242
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.98075443,0.98691301,0.98151536,0.98750000,0.00000000,0.00000000,0.00000000,0.82612799,0.81792947,0.82198746,0.97567654
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.89640965,0.98691301,0.92167947,0.98750000,0.93962264,0.62250000,0.74887218,0.91742842,0.92167947,0.91106877,0.87965531
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.96920708,0.97228637,0.97276536,0.97589036,0.00000000,0.00000000,0.00000000,0.81842008,0.81063780,0.81424777,0.96136569
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.88699235,0.97228637,0.91397114,0.97589036,0.91512915,0.62000000,0.73919523,0.88206679,0.91397114,0.88241216,0.86987769
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.98383372,0.98537336,0.98401536,0.98526536,0.00000000,0.00000000,0.00000000,0.82585641,0.82001280,0.82289845,0.97952507
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.93349029,0.98537336,0.94834614,0.98526536,0.96250000,0.77000000,0.85555556,0.93315350,0.94834614,0.93690989,0.92120470
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.98306390,0.98691301,0.98102304,0.98714036,0.00000000,0.00000000,0.00000000,0.82661951,0.81751920,0.82202575,0.97856299
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.89170100,0.98691301,0.91668587,0.98714036,0.94444444,0.59500000,0.73006135,0.88169144,0.91668587,0.88730773,0.87445144
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.98152425,0.98537336,0.98227304,0.98651536,0.00000000,0.00000000,0.00000000,0.82423772,0.81856087,0.82127464,0.97666358
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.85932902,0.98537336,0.89564420,0.98651536,0.92964824,0.46250000,0.61769616,0.85347241,0.89564420,0.85098053,0.84063402
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.97844496,0.97998460,0.97753841,0.97977304,0.00000000,0.00000000,0.00000000,0.82197252,0.81461534,0.81826014,0.97264721
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.79635079,0.97998460,0.84878201,0.97977304,0.87234043,0.20500000,0.33198381,0.80161211,0.84878201,0.76858015,0.77960716
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.96689761,0.96766744,0.96816341,0.96878841,0.00000000,0.00000000,0.00000000,0.81287051,0.80680284,0.80972576,0.95810532
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.77928193,0.96766744,0.83513617,0.96878841,0.81927711,0.17000000,0.28157350,0.80237954,0.83513617,0.75911827,0.76459969
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.98537336,0.98614319,0.98526536,0.98589036,0.00000000,0.00000000,0.00000000,0.82366947,0.82105447,0.82233209,0.98139800
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.85520895,0.98614319,0.89313780,0.98589036,0.97191011,0.43250000,0.59861592,0.87430547,0.89313780,0.85133591,0.84022728
