dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98313914,0.98313914,0.98265573,0.98265573,0.00000000,0.00000000,0.00000000,0.95094068,0.95005028,0.95040581,0.97877576
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.86485835,0.98313914,0.81921311,0.98265573,0.13333333,0.00200000,0.00394089,0.74663974,0.81921311,0.76867986,0.84423633
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97274827,0.97290223,0.97104958,0.97117458,0.00000000,0.00000000,0.00000000,0.87203775,0.87451292,0.87306465,0.96536022
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.75032372,0.97290223,0.81387465,0.97117458,0.19310345,0.02800000,0.04890830,0.66441537,0.81387465,0.70744874,0.73418537
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.97413395,0.97413395,0.97275419,0.97275419,0.00000000,0.00000000,0.00000000,0.96812581,0.97275419,0.97018258,0.96712222
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.74773396,0.97413395,0.81271182,0.97275419,0.80000000,0.01250000,0.02438031,0.76365170,0.81271182,0.70253667,0.73244098
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.97351809,0.97351809,0.97232612,0.97232612,0.00000000,0.00000000,0.00000000,0.93722521,0.94029958,0.93856492,0.96631510
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.74432019,0.97351809,0.81027176,0.97232612,0.00000000,0.00000000,0.00000000,0.63583377,0.81027176,0.69933532,0.73047007
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.97736721,0.97736721,0.97351955,0.97351955,0.00000000,0.00000000,0.00000000,0.97484633,0.97351955,0.97408924,0.97115829
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.74808711,0.97736721,0.81184963,0.97351955,0.20000000,0.00350000,0.00687961,0.68163972,0.81184963,0.71170932,0.73364698
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.96708333,0.96708333,0.96350000,0.96350000,0.00000000,0.00000000,0.00000000,0.92660412,0.93110417,0.92846872,0.95850420
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.83740229,0.96708333,0.80291667,0.96350000,0.00000000,0.00000000,0.00000000,0.70317624,0.80291667,0.74458910,0.81563261
