dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98862234,0.98889650,0.98942807,0.98967807,0.00000000,0.00000000,0.00000000,0.85891074,0.85748615,0.85813134,0.98571260
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.89451477,0.98889650,0.85919006,0.98967807,0.72791681,0.20800000,0.31756341,0.87219682,0.85919006,0.83812559,0.87735880
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.98352579,0.98460354,0.98398115,0.98507961,0.00000000,0.00000000,0.00000000,0.82562537,0.81998429,0.82272154,0.97914174
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.75338434,0.98460354,0.82098429,0.98507961,0.30153846,0.00600000,0.01172715,0.71137290,0.82098429,0.72353990,0.74061926
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.98552733,0.98737490,0.98617807,0.98767807,0.00000000,0.00000000,0.00000000,0.82588500,0.82181506,0.82379240,0.98166412
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.82884049,0.98737490,0.87514839,0.98767807,0.93606172,0.32000000,0.45233675,0.84959374,0.87514839,0.82224837,0.81072341
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98367975,0.98414165,0.98460615,0.98498115,0.00000000,0.00000000,0.00000000,0.82219324,0.82050512,0.82125603,0.97929503
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.75585639,0.98414165,0.82317179,0.98498115,0.62809524,0.01600000,0.03096995,0.81014174,0.82317179,0.73600389,0.76064328
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.99122402,0.99137798,0.99123115,0.99148115,0.00000000,0.00000000,0.00000000,0.86077228,0.85911813,0.85990643,0.98884328
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.77068864,0.99137798,0.83510929,0.99148115,0.80350877,0.05450000,0.09883645,0.81377565,0.83510929,0.74189495,0.76809271
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.98416667,0.98444444,0.98350000,0.98400000,0.00000000,0.00000000,0.00000000,0.82369671,0.81958333,0.82157283,0.98005888
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.85652435,0.98444444,0.82496450,0.98400000,0.37103730,0.03228700,0.05911113,0.79432753,0.82496450,0.78019718,0.83682978
