dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98629198,0.98629198,0.98700768,0.98700768,0.00000000,0.00000000,0.00000000,0.82746836,0.82250640,0.82491937,0.98282543
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.90777577,0.98629198,0.87833973,0.98700768,0.85897436,0.33500000,0.48201439,0.91008684,0.87833973,0.87297947,0.89180364
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98834818,0.98834818,0.98888268,0.98888268,0.00000000,0.00000000,0.00000000,0.98618560,0.98888268,0.98742864,0.98534684
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.90174804,0.98834818,0.86906890,0.98888268,1.00000000,0.27000000,0.42519685,0.92011403,0.86906890,0.85748904,0.88555631
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99040439,0.99040439,0.99125000,0.99125000,0.00000000,0.00000000,0.00000000,0.82825362,0.82604167,0.82712589,0.98792762
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87100663,0.99040439,0.82604167,0.99125000,0.00000000,0.00000000,0.00000000,0.73667487,0.82604167,0.77806423,0.85144910
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98903358,0.99040439,0.99000000,0.99125000,0.00000000,0.00000000,0.00000000,0.82689273,0.82500000,0.82584408,0.98626250
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.90657022,0.99040439,0.87583333,0.99125000,0.88405797,0.30500000,0.45353160,0.90263463,0.87583333,0.86357396,0.89056137
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98903358,0.98903358,0.99000000,0.99000000,0.00000000,0.00000000,0.00000000,0.82575340,0.82500000,0.82533870,0.98620063
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.88547318,0.98903358,0.84666667,0.99000000,0.89655172,0.13000000,0.22707424,0.89147373,0.84666667,0.81852122,0.86742357
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.98306390,0.98383372,0.98375000,0.98500000,0.00000000,0.00000000,0.00000000,0.82652051,0.81979167,0.82311664,0.97852276
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.75161860,0.98383372,0.81979167,0.98500000,0.00000000,0.00000000,0.00000000,0.67982668,0.81979167,0.73319753,0.74030559
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97382602,0.97382602,0.97750000,0.97750000,0.00000000,0.00000000,0.00000000,0.82349128,0.81458333,0.81879444,0.96711598
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74455562,0.97382602,0.81458333,0.97750000,0.00000000,0.00000000,0.00000000,0.66918466,0.81458333,0.71598924,0.73499672
