dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98217958,0.98286498,0.98128841,0.98240573,0.00000000,0.00000000,0.00000000,0.82064845,0.81774034,0.81911621,0.97757610
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.86738999,0.98286498,0.82274034,0.98240573,0.66666667,0.03000000,0.05741627,0.84040420,0.82274034,0.77939124,0.84704270
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98903358,0.98903358,0.98950768,0.98950768,0.00000000,0.00000000,0.00000000,0.82474956,0.82458973,0.82463373,0.98619227
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.86980108,0.98903358,0.82458973,0.98950768,0.00000000,0.00000000,0.00000000,0.72314879,0.82458973,0.76999751,0.85025675
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98697738,0.98697738,0.98615573,0.98615573,0.00000000,0.00000000,0.00000000,0.98830242,0.98615573,0.98714252,0.98360541
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.86799277,0.98697738,0.82179644,0.98615573,0.00000000,0.00000000,0.00000000,0.73005058,0.82179644,0.77258857,0.84811157
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98697738,0.98697738,0.98763268,0.98763268,0.00000000,0.00000000,0.00000000,0.98588504,0.98763268,0.98663849,0.98363616
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.86859554,0.98697738,0.82386057,0.98763268,1.00000000,0.00500000,0.00995025,0.88768102,0.82386057,0.76928172,0.84898883
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98971899,0.98971899,0.98964036,0.98964036,0.00000000,0.00000000,0.00000000,0.98784676,0.98964036,0.98867522,0.98706295
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.87040386,0.98971899,0.82470030,0.98964036,0.00000000,0.00000000,0.00000000,0.72014618,0.82470030,0.76780286,0.85122376
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97536567,0.97536567,0.97602304,0.97602304,0.00000000,0.00000000,0.00000000,0.97171513,0.97602304,0.97367252,0.96865225
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.74749853,0.97536567,0.81460254,0.97602304,1.00000000,0.00750000,0.01488834,0.79427914,0.81460254,0.69443297,0.73566859
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97151655,0.97151655,0.97464036,0.97464036,0.00000000,0.00000000,0.00000000,0.96804454,0.97464036,0.97086244,0.96395828
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74278988,0.97151655,0.81220030,0.97464036,0.00000000,0.00000000,0.00000000,0.62333592,0.81220030,0.69330444,0.72753548
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98229407,0.98229407,0.98276536,0.98276536,0.00000000,0.00000000,0.00000000,0.81606499,0.81897114,0.81743971,0.97747914
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75279576,0.98229407,0.82022114,0.98276536,0.75000000,0.00750000,0.01485149,0.79050973,0.82022114,0.73056338,0.73726262
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.97767513,0.97921478,0.97352304,0.97526536,0.00000000,0.00000000,0.00000000,0.81375736,0.81126920,0.81249952,0.97154224
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.74749853,0.97921478,0.81126920,0.97526536,0.00000000,0.00000000,0.00000000,0.63432519,0.81126920,0.70374025,0.73070292
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.98152425,0.98152425,0.98066341,0.98066341,0.00000000,0.00000000,0.00000000,0.97593917,0.98066341,0.97796241,0.97654283
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.77869335,0.98152425,0.83721951,0.98066341,1.00000000,0.12000000,0.21428571,0.84874434,0.83721951,0.76825131,0.76558063
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.97690531,0.97690531,0.97553073,0.97553073,0.00000000,0.00000000,0.00000000,0.81310972,0.81294227,0.81293749,0.97062660
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.80753384,0.97690531,0.85585894,0.97553073,0.96261682,0.25750000,0.40631164,0.83899357,0.85585894,0.80584433,0.78570109
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.96997691,0.96997691,0.97151536,0.97151536,0.00000000,0.00000000,0.00000000,0.80287341,0.80959614,0.80560641,0.96202854
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.74161271,0.96997691,0.80959614,0.97151536,0.00000000,0.00000000,0.00000000,0.64120001,0.80959614,0.70422137,0.72463409
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.98768283,0.98768283,0.98825768,0.98825768,0.00000000,0.00000000,0.00000000,0.82318474,0.82354807,0.82331007,0.98434107
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.75515009,0.98768283,0.82354807,0.98825768,0.00000000,0.00000000,0.00000000,0.64148188,0.82354807,0.71483056,0.73834421
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.97998460,0.97998460,0.97776536,0.97776536,0.00000000,0.00000000,0.00000000,0.81666064,0.81480447,0.81569610,0.97450068
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.74926427,0.97998460,0.81480447,0.97776536,0.00000000,0.00000000,0.00000000,0.64198127,0.81480447,0.71035729,0.73258533
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.97921478,0.97921478,0.97878841,0.97878841,0.00000000,0.00000000,0.00000000,0.81154610,0.81565701,0.81324646,0.97363256
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.75927016,0.97921478,0.82315701,0.97878841,0.94736842,0.04500000,0.08591885,0.81464184,0.82315701,0.73842814,0.74020314
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.98614319,0.98614319,0.98625000,0.98625000,0.00000000,0.00000000,0.00000000,0.98591587,0.98625000,0.98605901,0.98233640
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.75397293,0.98614319,0.82187500,0.98625000,0.00000000,0.00000000,0.00000000,0.64245623,0.82187500,0.71397721,0.73812194
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.97305620,0.97382602,0.97553073,0.97615573,0.00000000,0.00000000,0.00000000,0.80969484,0.81294227,0.81095254,0.96592689
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.74396704,0.97382602,0.81294227,0.97615573,0.00000000,0.00000000,0.00000000,0.61294674,0.81294227,0.69346848,0.72474090
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.98537336,0.98537336,0.98526536,0.98526536,0.00000000,0.00000000,0.00000000,0.98110482,0.98526536,0.98308169,0.98140205
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.75397293,0.98537336,0.82147114,0.98526536,1.00000000,0.00250000,0.00498753,0.84100911,0.82147114,0.71993503,0.74902835
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.97767513,0.97767513,0.97490573,0.97490573,0.00000000,0.00000000,0.00000000,0.97325359,0.97490573,0.97402780,0.97155017
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.74867569,0.97767513,0.81325477,0.97490573,1.00000000,0.00500000,0.00995025,0.81929686,0.81325477,0.70821835,0.74048472
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.97844496,0.97844496,0.97816341,0.97816341,0.00000000,0.00000000,0.00000000,0.97524722,0.97816341,0.97652709,0.97256054
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.74808711,0.97844496,0.81513617,0.97816341,0.00000000,0.00000000,0.00000000,0.63291791,0.81513617,0.70294392,0.73251354
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.98306390,0.98306390,0.98079609,0.98079609,0.00000000,0.00000000,0.00000000,0.97897467,0.98079609,0.97968378,0.97844679
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.75220718,0.98306390,0.81774674,0.98079609,1.00000000,0.00250000,0.00498753,0.84409564,0.81774674,0.73306201,0.74055167
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.98306390,0.98306390,0.98289804,0.98289804,0.00000000,0.00000000,0.00000000,0.97722230,0.98289804,0.97974402,0.97850257
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.75161860,0.98306390,0.81908170,0.98289804,0.00000000,0.00000000,0.00000000,0.66471843,0.81908170,0.71867201,0.74065892
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.98999230,0.98999230,0.99187500,0.99187500,0.00000000,0.00000000,0.00000000,0.98894701,0.99187500,0.99034822,0.98726110
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.76221307,0.98999230,0.83031250,0.99187500,1.00000000,0.02250000,0.04400978,0.86796983,0.83031250,0.75567234,0.75592285
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.97767513,0.97767513,0.97589036,0.97589036,0.00000000,0.00000000,0.00000000,0.97398542,0.97589036,0.97481956,0.97158026
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,45,0.74808711,0.97767513,0.81365864,0.97589036,1.00000000,0.00250000,0.00498753,0.81227225,0.81365864,0.71686827,0.72994349
BoT_IoT,RFF_LIM_NFST,scan,known_only,46,0.98383372,0.98383372,0.98142109,0.98142109,0.00000000,0.00000000,0.00000000,0.98003121,0.98142109,0.98063145,0.97940325
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,46,0.75279576,0.98383372,0.81826757,0.98142109,1.00000000,0.00250000,0.00498753,0.81042117,0.81826757,0.71166466,0.73710248
BoT_IoT,RFF_LIM_NFST,theft,known_only,42,0.97847222,0.97847222,0.97687500,0.97687500,0.00000000,0.00000000,0.00000000,0.97178167,0.97687500,0.97408303,0.97285503
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,42,0.85087192,0.97847222,0.81854680,0.97687500,1.00000000,0.02690583,0.05240175,0.87805280,0.81854680,0.75593328,0.83435146
BoT_IoT,RFF_LIM_NFST,theft,known_only,43,0.98194444,0.98194444,0.98312500,0.98312500,0.00000000,0.00000000,0.00000000,0.81371888,0.81927083,0.81617170,0.97727566
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,43,0.85027060,0.98194444,0.81927083,0.98312500,0.00000000,0.00000000,0.00000000,0.70960483,0.81927083,0.74976996,0.83299589
BoT_IoT,RFF_LIM_NFST,theft,known_only,44,0.98541667,0.98541667,0.98437500,0.98437500,0.00000000,0.00000000,0.00000000,0.98209724,0.98437500,0.98320190,0.98155803
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,44,0.85327721,0.98541667,0.82031250,0.98437500,0.00000000,0.00000000,0.00000000,0.71078352,0.82031250,0.75843542,0.83365908
BoT_IoT,RFF_LIM_NFST,theft,known_only,45,0.97083333,0.97083333,0.97000000,0.97000000,0.00000000,0.00000000,0.00000000,0.96462482,0.97000000,0.96696882,0.96324462
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,45,0.84064943,0.97083333,0.80833333,0.97000000,0.00000000,0.00000000,0.00000000,0.70467840,0.80833333,0.74030768,0.82290997
BoT_IoT,RFF_LIM_NFST,theft,known_only,46,0.97638889,0.97638889,0.97437500,0.97437500,0.00000000,0.00000000,0.00000000,0.97168466,0.97437500,0.97294280,0.97016502
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,46,0.86951293,0.97638889,0.84187453,0.97437500,1.00000000,0.17937220,0.30418251,0.88425629,0.84187453,0.80684388,0.85099913
