dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98711446,0.98711446,0.98706844,0.98706844,0.00000000,0.00000000,0.00000000,0.98684491,0.98706844,0.98687390,0.98378511
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.86823388,0.98711446,0.82272370,0.98706844,0.20000000,0.00100000,0.00199005,0.75730945,0.82272370,0.76953873,0.84856350
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97782910,0.97798306,0.97764804,0.97787151,0.00000000,0.00000000,0.00000000,0.90892248,0.91241760,0.91044835,0.97182861
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.74761624,0.97798306,0.81470670,0.97787151,0.00000000,0.00000000,0.00000000,0.64345990,0.81470670,0.70757344,0.73371403
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.97875289,0.97875289,0.97837151,0.97837151,0.00000000,0.00000000,0.00000000,0.90984623,0.91291189,0.91108988,0.97302239
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.75161860,0.97875289,0.81764292,0.97837151,0.37857143,0.01400000,0.02634215,0.70914881,0.81764292,0.71887829,0.73381752
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98029253,0.98029253,0.98014804,0.98014804,0.00000000,0.00000000,0.00000000,0.97719932,0.98014804,0.97851105,0.97494833
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.74949971,0.98029253,0.81679004,0.98014804,0.00000000,0.00000000,0.00000000,0.64274644,0.81679004,0.70706409,0.73687812
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98352579,0.98352579,0.98257612,0.98257612,0.00000000,0.00000000,0.00000000,0.97983212,0.98257612,0.98104541,0.97903880
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.75220718,0.98352579,0.81898010,0.98257612,0.20000000,0.00100000,0.00199005,0.69900721,0.81898010,0.72508472,0.73965356
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.97861111,0.97861111,0.97775000,0.97775000,0.00000000,0.00000000,0.00000000,0.97312134,0.97775000,0.97520683,0.97302087
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.84774504,0.97861111,0.81524010,0.97775000,0.20000000,0.00269058,0.00530973,0.74110779,0.81524010,0.74939687,0.82953776
