dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.92159013,0.98204249,0.92042598,0.98185265,0.00000000,0.00000000,0.00000000,0.83126443,0.76702165,0.79777135,0.90708762
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.92682339,0.98204249,0.92785498,0.98185265,0.63518894,0.96500000,0.76576745,0.93249365,0.92785498,0.92324468,0.91440765
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.90484988,0.97059276,0.88846369,0.96861034,0.00000000,0.00000000,0.00000000,0.83121711,0.74038641,0.78133901,0.88744411
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.91453796,0.97059276,0.89805307,0.96861034,0.75737037,0.94600000,0.84064333,0.93763920,0.89805307,0.91297956,0.89750779
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.89838337,0.97105466,0.88301327,0.96888687,0.00000000,0.00000000,0.00000000,0.83040814,0.73584439,0.77882702,0.88034597
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.90982931,0.97105466,0.89367772,0.96888687,0.74527271,0.94700000,0.83392326,0.93499298,0.89367772,0.90984740,0.89192666
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.87975366,0.96843726,0.86339595,0.96747765,0.00000000,0.00000000,0.00000000,0.83011429,0.71949662,0.76909826,0.86029567
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.89146557,0.96843726,0.87441329,0.96747765,0.70817722,0.92950000,0.80367134,0.92042362,0.87441329,0.89167335,0.87014032
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.88652810,0.97613549,0.86435056,0.97284916,0.00000000,0.00000000,0.00000000,0.83177131,0.72029213,0.76893953,0.86769183
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.90311948,0.97613549,0.87979213,0.97284916,0.72447865,0.95700000,0.82325579,0.94130457,0.87979213,0.90128483,0.88513950
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.88138889,0.96375000,0.86112500,0.95950000,0.00000000,0.00000000,0.00000000,0.82894008,0.71760417,0.76701952,0.86274257
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.88129886,0.96375000,0.86439041,0.95950000,0.53930655,0.88071749,0.66855682,0.90014887,0.86439041,0.87046591,0.86129979
