dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.92940370,0.98012337,0.92627095,0.97941341,0.00000000,0.00000000,0.00000000,0.83223684,0.77189246,0.80081836,0.91583883
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93429777,0.98012337,0.93355912,0.97941341,0.65762712,0.97000000,0.78383838,0.93855873,0.93355912,0.92990447,0.92288645
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.90678547,0.98012337,0.90712291,0.98089036,0.00000000,0.00000000,0.00000000,0.83105730,0.75593575,0.79168332,0.89068261
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.91681736,0.98012337,0.92093575,0.98089036,0.60000000,0.99000000,0.74716981,0.92993287,0.92093575,0.91569523,0.90381777
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.92323509,0.98492118,0.92015363,0.98428073,0.00000000,0.00000000,0.00000000,0.83062683,0.76679469,0.79736367,0.90874556
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.92344786,0.98492118,0.92096136,0.98428073,0.63139932,0.92500000,0.75050710,0.92407618,0.92096136,0.91703419,0.90969382
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.92254969,0.97738177,0.92297486,0.97740573,0.00000000,0.00000000,0.00000000,0.83021726,0.76914572,0.79848839,0.90808474
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.92947559,0.97738177,0.93247905,0.97740573,0.64262295,0.98000000,0.77623762,0.93466302,0.93247905,0.92662710,0.91763557
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.92597670,0.98766278,0.92560754,0.98727304,0.00000000,0.00000000,0.00000000,0.83218391,0.77133962,0.80050299,0.91208638
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.93007836,0.98766278,0.93133962,0.98727304,0.64429530,0.96000000,0.77108434,0.93523745,0.93133962,0.92696239,0.91800462
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.90685142,0.96920708,0.89024791,0.96829609,0.00000000,0.00000000,0.00000000,0.82999627,0.74187325,0.78211235,0.88943828
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.91759859,0.96920708,0.90062325,0.96829609,0.76352705,0.95250000,0.84760845,0.93629858,0.90062325,0.91479947,0.90101291
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.90300231,0.96689761,0.88975559,0.96740573,0.00000000,0.00000000,0.00000000,0.83164928,0.74146299,0.78293550,0.88523473
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.92348440,0.96689761,0.90646299,0.96740573,0.76300578,0.99000000,0.86180631,0.95430222,0.90646299,0.92479126,0.90918852
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.91916859,0.97844496,0.90886522,0.97950768,0.00000000,0.00000000,0.00000000,0.83207071,0.75738769,0.79249207,0.90340212
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.90641554,0.97844496,0.90155435,0.97950768,0.76888889,0.86500000,0.81411765,0.91645837,0.90155435,0.90792164,0.88601091
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.90300231,0.97074673,0.88395950,0.96329609,0.00000000,0.00000000,0.00000000,0.83333333,0.73663291,0.77913272,0.88573691
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.92348440,0.97074673,0.90163291,0.96329609,0.75862069,0.99000000,0.85900217,0.95669076,0.90163291,0.92085656,0.90947380
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.89222479,0.96766744,0.86949022,0.96454609,0.00000000,0.00000000,0.00000000,0.82903594,0.72457519,0.77002243,0.87340850
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.90170689,0.96766744,0.87999185,0.96454609,0.73280943,0.93250000,0.82068207,0.92444606,0.87999185,0.89652887,0.88185283
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.90762125,0.97459584,0.89538059,0.97503841,0.00000000,0.00000000,0.00000000,0.83130081,0.74615049,0.78564260,0.89044933
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.90759270,0.97459584,0.89740049,0.97503841,0.75467775,0.90750000,0.82406356,0.93695875,0.89740049,0.91335160,0.88814503
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.90377213,0.96458814,0.89202863,0.96553073,0.00000000,0.00000000,0.00000000,0.82847487,0.74335719,0.78313506,0.88600969
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.91877575,0.96458814,0.90460719,0.96553073,0.76181102,0.96750000,0.85242291,0.94074893,0.90460719,0.91893895,0.90290432
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.90531178,0.98152425,0.89265363,0.98151536,0.00000000,0.00000000,0.00000000,0.83074935,0.74387803,0.78435310,0.88786683
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.92348440,0.98152425,0.90762803,0.98151536,0.76459144,0.98250000,0.85995624,0.95241904,0.90762803,0.92506888,0.90892863
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.88991532,0.97074673,0.87123254,0.96503841,0.00000000,0.00000000,0.00000000,0.83030303,0.72602712,0.77222254,0.87125817
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.90818128,0.97074673,0.88727712,0.96503841,0.73295455,0.96750000,0.83405172,0.93516722,0.88727712,0.90510631,0.89080363
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.88529638,0.96381832,0.86377095,0.95731145,0.00000000,0.00000000,0.00000000,0.83121264,0.71980912,0.76878177,0.86614581
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.89111242,0.96381832,0.87147579,0.95731145,0.71232877,0.91000000,0.79912184,0.90967094,0.87147579,0.88677127,0.86885169
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.89376443,0.97690531,0.87528631,0.97901536,0.00000000,0.00000000,0.00000000,0.83189655,0.72940526,0.77568107,0.87534672
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.89287816,0.97690531,0.87773859,0.97901536,0.72210953,0.89000000,0.79731243,0.90599205,0.87773859,0.88927801,0.87047346
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.86528099,0.96227868,0.85685754,0.96378841,0.00000000,0.00000000,0.00000000,0.83053221,0.71404795,0.76688335,0.84545998
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.87463214,0.96227868,0.86488128,0.96378841,0.67663551,0.90500000,0.77433155,0.90499410,0.86488128,0.88001846,0.85000557
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.88452656,0.97921478,0.86858240,0.98075768,0.00000000,0.00000000,0.00000000,0.83196721,0.72381867,0.77315039,0.86545508
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.89994114,0.97921478,0.88215200,0.98075768,0.71833648,0.95000000,0.81808396,0.93866901,0.88215200,0.90367622,0.88062186
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.87528868,0.96612779,0.85810754,0.96503841,0.00000000,0.00000000,0.00000000,0.82668171,0.71508962,0.76469636,0.85524940
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.89582107,0.96612779,0.87550628,0.96503841,0.71033210,0.96250000,0.81740977,0.92890567,0.87550628,0.89421602,0.87640854
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.87990762,0.95765974,0.85814595,0.94878841,0.00000000,0.00000000,0.00000000,0.82949375,0.71512162,0.76508011,0.85996717
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.89405533,0.95765974,0.87178829,0.94878841,0.71347249,0.94000000,0.81121899,0.92355730,0.87178829,0.89117803,0.87319216
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.90146266,0.98075443,0.87774791,0.97655377,0.00000000,0.00000000,0.00000000,0.83065840,0.73145659,0.77458032,0.88358800
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.87875221,0.98075443,0.86562325,0.97655377,0.72035794,0.80500000,0.76033058,0.90568868,0.86562325,0.88059325,0.85235416
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.89376443,0.98075443,0.87488827,0.97990573,0.00000000,0.00000000,0.00000000,0.83333333,0.72907356,0.77554048,0.87557380
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.91759859,0.98075443,0.89490689,0.97990573,0.74253731,0.99500000,0.85042735,0.95416558,0.89490689,0.91627651,0.90288185
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.88991532,0.97536567,0.87180168,0.97392109,0.00000000,0.00000000,0.00000000,0.83276836,0.72650140,0.77444504,0.87117656
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.91583284,0.97536567,0.89316806,0.97392109,0.73800738,1.00000000,0.84925690,0.95576959,0.89316806,0.91598785,0.90099322
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.86297152,0.97228637,0.83956704,0.96793645,0.00000000,0.00000000,0.00000000,0.83276644,0.69963920,0.75702767,0.84279417
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,45,0.89464391,0.97228637,0.86588920,0.96793645,0.69270833,0.99750000,0.81762295,0.94714256,0.86588920,0.89283662,0.87708903
BoT_IoT,RFF_LIM_NFST,scan,known_only,46,0.88452656,0.97151655,0.85774791,0.96592877,0.00000000,0.00000000,0.00000000,0.82933001,0.71478992,0.76310413,0.86532661
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,46,0.90876986,0.97151655,0.87937325,0.96592877,0.72878229,0.98750000,0.83864119,0.94375643,0.87937325,0.90072992,0.89237923
BoT_IoT,RFF_LIM_NFST,theft,known_only,42,0.89097222,0.96666667,0.87125000,0.96687500,0.00000000,0.00000000,0.00000000,0.83184524,0.72604167,0.77331655,0.87328500
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,42,0.89957907,0.96666667,0.88523449,0.96687500,0.57723577,0.95515695,0.71959459,0.91665131,0.88523449,0.88906000,0.88361506
BoT_IoT,RFF_LIM_NFST,theft,known_only,43,0.89583333,0.97569444,0.87750000,0.97375000,0.00000000,0.00000000,0.00000000,0.83333333,0.73125000,0.77707808,0.87864243
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,43,0.89657246,0.97569444,0.88147422,0.97375000,0.57264957,0.90134529,0.70034843,0.90541329,0.88147422,0.88480815,0.87877649
BoT_IoT,RFF_LIM_NFST,theft,known_only,44,0.88263889,0.97500000,0.86312500,0.97062500,0.00000000,0.00000000,0.00000000,0.83221415,0.71927083,0.76923193,0.86440043
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,44,0.89055923,0.97500000,0.87622151,0.97062500,0.55702918,0.94170404,0.70000000,0.90876708,0.87622151,0.88006630,0.87333437
BoT_IoT,RFF_LIM_NFST,theft,known_only,45,0.88055556,0.95347222,0.86125000,0.94687500,0.00000000,0.00000000,0.00000000,0.82834927,0.71770833,0.76730146,0.86186266
