dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.86360521,0.98697738,0.85937849,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.71614874,0.76961917,0.84568225
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.88004822,0.98697738,0.88281541,0.98763268,0.50125313,1.00000000,0.66777963,0.91687552,0.88281541,0.88091578,0.86502787
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.84098698,0.99040439,0.83973813,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.69978177,0.76035772,0.82288587
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.86015672,0.99040439,0.86644844,0.99075768,0.46296296,1.00000000,0.63291139,0.91049383,0.86644844,0.86584295,0.84430435
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.86566141,0.99040439,0.86716131,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.72263443,0.77382484,0.84786713
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.88185654,0.99040439,0.88930109,0.99075768,0.50505051,1.00000000,0.67114094,0.91750842,0.88930109,0.88568166,0.86696048
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.88416724,0.98903358,0.88748254,0.98950768,0.00000000,0.00000000,0.00000000,0.83333333,0.73956878,0.78343000,0.86714096
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.89813140,0.98903358,0.90623545,0.98950768,0.54200542,1.00000000,0.70298770,0.92366757,0.90623545,0.90059462,0.88428675
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.86291981,0.99040439,0.86219972,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.71849977,0.77164269,0.84486406
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.87944545,0.99040439,0.88516643,0.99075768,0.50000000,1.00000000,0.66666667,0.91666667,0.88516643,0.88275381,0.86428041
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.85681293,0.98152425,0.85566690,0.98250000,0.00000000,0.00000000,0.00000000,0.83333333,0.71305575,0.76811120,0.83726078
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.88993526,0.98152425,0.87930575,0.98250000,0.68205128,0.99750000,0.81015228,0.94586699,0.87930575,0.90261870,0.87213097
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.86451116,0.97151655,0.86655726,0.97477304,0.00000000,0.00000000,0.00000000,0.83014862,0.72213105,0.77108529,0.84514557
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.89523249,0.97151655,0.88796439,0.97477304,0.69702277,0.99500000,0.81977343,0.94426270,0.88796439,0.90669893,0.87792541
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.87913780,0.98768283,0.88523045,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.73769204,0.78194663,0.86082111
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.90347263,0.98768283,0.90144204,0.98763268,0.71454545,0.98250000,0.82736842,0.94531042,0.90144204,0.91627462,0.88672068
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.84911470,0.97228637,0.84911313,0.97151536,0.00000000,0.00000000,0.00000000,0.83333333,0.70759427,0.76524907,0.82948943
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.88287228,0.97228637,0.87301094,0.97151536,0.66947723,0.99250000,0.79959718,0.94139175,0.87301094,0.89697592,0.86402692
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.87374904,0.98614319,0.87526885,0.98651536,0.00000000,0.00000000,0.00000000,0.83224401,0.72939071,0.77666587,0.85488549
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.90288405,0.98614319,0.89564071,0.98651536,0.70996441,0.99750000,0.82952183,0.94949623,0.89564071,0.91440399,0.88664669
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.84834488,0.98614319,0.84526885,0.98562500,0.00000000,0.00000000,0.00000000,0.83333333,0.70439071,0.76294712,0.82874627
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.88169511,0.98614319,0.86939071,0.98562500,0.66779089,0.99000000,0.79758308,0.93990368,0.86939071,0.89383431,0.86262545
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.89453426,0.97613549,0.89719972,0.97901536,0.00000000,0.00000000,0.00000000,0.82704403,0.74766643,0.78484087,0.87630060
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.91818717,0.97613549,0.91349977,0.97901536,0.75236295,0.99500000,0.85683531,0.95044558,0.91349977,0.92665065,0.90349736
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.86682063,0.98845266,0.87420740,0.98776536,0.00000000,0.00000000,0.00000000,0.83012821,0.72850617,0.77538789,0.84767306
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.89758682,0.98845266,0.89475617,0.98776536,0.70123023,0.99750000,0.82352941,0.94595875,0.89475617,0.91213366,0.88071427
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.86066205,0.98691301,0.86309008,0.98477304,0.00000000,0.00000000,0.00000000,0.83218391,0.71924174,0.77144919,0.84124470
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.89052384,0.98691301,0.88382507,0.98477304,0.68695652,0.98750000,0.81025641,0.94115942,0.88382507,0.90395358,0.87224212
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.87682833,0.98152425,0.87401885,0.98289804,0.00000000,0.00000000,0.00000000,0.82997763,0.72834905,0.77517076,0.85765650
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.86698058,0.98152425,0.86751571,0.98289804,0.68024440,0.83500000,0.74971942,0.89321903,0.86751571,0.87240447,0.84025213
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.86451116,0.98999230,0.85790154,0.99062500,0.00000000,0.00000000,0.00000000,0.83333333,0.71491795,0.76926485,0.84489771
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.89287816,0.98999230,0.87908461,0.99062500,0.69122807,0.98500000,0.81237113,0.94154500,0.87908461,0.90161529,0.87457849
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.87913780,0.97613549,0.88174581,0.97964036,0.00000000,0.00000000,0.00000000,0.83225108,0.73478818,0.77992602,0.86050343
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.88640377,0.97613549,0.88645484,0.97964036,0.70000000,0.91000000,0.79130435,0.91754386,0.88645484,0.89510398,0.86451575
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.88221709,0.98999230,0.88644204,0.98950768,0.00000000,0.00000000,0.00000000,0.83223684,0.73870170,0.78225702,0.86387919
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.88758093,0.98999230,0.88953503,0.98950768,0.70428016,0.90500000,0.79212254,0.91650283,0.88953503,0.89676218,0.86577183
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.85835258,0.98768283,0.85276885,0.98526536,0.00000000,0.00000000,0.00000000,0.83211679,0.71064071,0.76636558,0.83844536
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.87816363,0.98768283,0.86772405,0.98526536,0.67321429,0.94250000,0.78541667,0.92053571,0.86772405,0.88629754,0.85592212
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.88067744,0.98229407,0.87973813,0.98339036,0.00000000,0.00000000,0.00000000,0.83000000,0.73311511,0.77813327,0.86170659
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.83990583,0.98229407,0.85103177,0.98339036,0.65057471,0.70750000,0.67784431,0.86685609,0.85103177,0.84779691,0.80821408
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.85835258,0.99615089,0.85151885,0.99625000,0.00000000,0.00000000,0.00000000,0.83333333,0.70959905,0.76626220,0.83852303
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.89170100,0.99615089,0.87626571,0.99625000,0.68493151,1.00000000,0.81300813,0.94748858,0.87626571,0.90176355,0.87408933
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.85835258,0.99230177,0.86451117,0.99375000,0.00000000,0.00000000,0.00000000,0.83225806,0.72042598,0.77125823,0.83935751
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.88993526,0.99230177,0.88584264,0.99375000,0.68448276,0.99250000,0.81020408,0.94319438,0.88584264,0.90475485,0.87214472
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.88067744,0.99230177,0.88769204,0.99187500,0.00000000,0.00000000,0.00000000,0.83226496,0.73974337,0.78280696,0.86233679
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.90229547,0.99230177,0.90182670,0.99187500,0.71639042,0.97250000,0.82502651,0.94075569,0.90182670,0.91481130,0.88491145
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.83602771,0.98922248,0.83665154,0.98901536,0.00000000,0.00000000,0.00000000,0.83333333,0.69720961,0.75882439,0.81654155
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,45,0.87227781,0.98922248,0.86220961,0.98901536,0.65024631,0.99000000,0.78493558,0.93707809,0.86220961,0.88760021,0.85230438
BoT_IoT,RFF_LIM_NFST,scan,known_only,46,0.87143957,0.98999230,0.87684008,0.98852304,0.00000000,0.00000000,0.00000000,0.83224401,0.73070007,0.77775034,0.85257705
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,46,0.89640965,0.98999230,0.89361674,0.98852304,0.70197487,0.97750000,0.81713689,0.94004108,0.89361674,0.90941538,0.87844483
BoT_IoT,RFF_LIM_NFST,theft,known_only,42,0.85625000,0.98263889,0.86375000,0.98125000,0.00000000,0.00000000,0.00000000,0.83222222,0.71979167,0.77134238,0.83810949
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,42,0.87552616,0.98263889,0.88645833,0.98125000,0.51981352,1.00000000,0.68404908,0.91885781,0.88645833,0.88535056,0.86012111
BoT_IoT,RFF_LIM_NFST,theft,known_only,43,0.85000000,0.98333333,0.85687500,0.98312500,0.00000000,0.00000000,0.00000000,0.83220721,0.71406250,0.76811892,0.83173965
