dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.91514736,0.98684030,0.91346788,0.98671997,0.00000000,0.00000000,0.00000000,0.83312102,0.76122323,0.79534209,0.90027113
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.92525618,0.98684030,0.92772323,0.98671997,0.61922632,0.99900000,0.76423483,0.93622026,0.92772323,0.92266289,0.91364593
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.91208622,0.97829099,0.91294134,0.97774651,0.00000000,0.00000000,0.00000000,0.82978877,0.76078445,0.79345648,0.89577257
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.91889347,0.97829099,0.91761778,0.97774651,0.77306269,0.94100000,0.84805855,0.93950243,0.91761778,0.92437856,0.90298629
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.90561971,0.97875289,0.90736592,0.97824651,0.00000000,0.00000000,0.00000000,0.82644719,0.75613827,0.78909703,0.88838010
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.89676280,0.97875289,0.90080493,0.97824651,0.74892854,0.86800000,0.80123262,0.91740499,0.90080493,0.90265688,0.87685382
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.91208622,0.98029253,0.91381285,0.98012151,0.00000000,0.00000000,0.00000000,0.82777250,0.76151071,0.79279717,0.89566393
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.87474985,0.98029253,0.88709404,0.98012151,0.73366432,0.75350000,0.73958011,0.89225033,0.88709404,0.88013916,0.85103449
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.91254811,0.98352579,0.91287360,0.98249651,0.00000000,0.00000000,0.00000000,0.82857661,0.76072800,0.79271530,0.89629723
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.90794585,0.98352579,0.90956134,0.98249651,0.76698302,0.89300000,0.82186082,0.92836568,0.90956134,0.91292643,0.89032941
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.90666667,0.97888889,0.90937500,0.97762500,0.00000000,0.00000000,0.00000000,0.82734877,0.75781250,0.79056312,0.89042431
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.87997595,0.97888889,0.87574972,0.97762500,0.53316060,0.70762332,0.60285799,0.87785220,0.87574972,0.86711132,0.85914875
