dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.92734750,0.98217958,0.92439595,0.98128841,0.00000000,0.00000000,0.00000000,0.83227176,0.77032996,0.79986098,0.91361235
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93550332,0.98217958,0.93616329,0.98128841,0.65676568,0.99500000,0.79125249,0.94120698,0.93616329,0.93147806,0.92482712
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.90404387,0.98766278,0.90019204,0.98825768,0.00000000,0.00000000,0.00000000,0.83333333,0.75016003,0.78920925,0.88812896
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.91561181,0.98766278,0.91682670,0.98825768,0.58823529,1.00000000,0.74074074,0.93137255,0.91682670,0.91266604,0.90306579
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.90747087,0.98766278,0.90577863,0.98678073,0.00000000,0.00000000,0.00000000,0.83333333,0.75481553,0.79205616,0.89180026
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.91862568,0.98766278,0.92148219,0.98678073,0.59701493,1.00000000,0.74766355,0.93283582,0.92148219,0.91666675,0.90631912
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.92117889,0.98697738,0.92320182,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.76933485,0.79985415,0.90703649
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93068113,0.98697738,0.93600151,0.98763268,0.63492063,1.00000000,0.77669903,0.93915344,0.93600151,0.92930399,0.91975133
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.91569568,0.98971899,0.91377095,0.98964036,0.00000000,0.00000000,0.00000000,0.83333333,0.76147579,0.79572989,0.90077761
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.92585895,0.98971899,0.92814246,0.98964036,0.61919505,1.00000000,0.76481836,0.93653251,0.92814246,0.92319962,0.91426628
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.89761355,0.97690531,0.89456704,0.97727304,0.00000000,0.00000000,0.00000000,0.83049467,0.74547253,0.78544033,0.87971292
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.91995291,0.97690531,0.91088920,0.97727304,0.75332068,0.99250000,0.85652643,0.95273838,0.91088920,0.92667180,0.90542820
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.92147806,0.97151655,0.91983240,0.97276536,0.00000000,0.00000000,0.00000000,0.82613169,0.76652700,0.79459684,0.90575849
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.90876986,0.97151655,0.91111034,0.97276536,0.78506787,0.86750000,0.82422803,0.91766635,0.91111034,0.90929047,0.88992468
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.92763664,0.98229407,0.93382682,0.98276536,0.00000000,0.00000000,0.00000000,0.83227176,0.77818901,0.80416472,0.91339788
