dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98711446,0.98711446,0.98706844,0.98706844,0.00000000,0.00000000,0.00000000,0.98684491,0.98706844,0.98687390,0.98378511
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.86811332,0.98711446,0.82255703,0.98706844,0.00000000,0.00000000,0.00000000,0.72385943,0.82255703,0.76913453,0.84843393
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97798306,0.97798306,0.97787151,0.97787151,0.00000000,0.00000000,0.00000000,0.97395736,0.97787151,0.97568941,0.97202229
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.74773396,0.97798306,0.81489292,0.97787151,0.00000000,0.00000000,0.00000000,0.64346986,0.81489292,0.70762835,0.73394462
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.97875289,0.97875289,0.97837151,0.97837151,0.00000000,0.00000000,0.00000000,0.94188733,0.94542959,0.94336468,0.97301923
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.74855798,0.97875289,0.81547626,0.97837151,0.20000000,0.00100000,0.00199005,0.67767130,0.81547626,0.71371137,0.73098079
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98029253,0.98029253,0.98014804,0.98014804,0.00000000,0.00000000,0.00000000,0.97719932,0.98014804,0.97851105,0.97494833
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.74949971,0.98029253,0.81679004,0.98014804,0.00000000,0.00000000,0.00000000,0.64274644,0.81679004,0.70706409,0.73687812
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98352579,0.98352579,0.98257612,0.98257612,0.00000000,0.00000000,0.00000000,0.97983212,0.98257612,0.98104541,0.97903880
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.75197175,0.98352579,0.81881343,0.98257612,0.00000000,0.00000000,0.00000000,0.66548335,0.81881343,0.72465425,0.73941315
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.97861111,0.97861111,0.97775000,0.97775000,0.00000000,0.00000000,0.00000000,0.97312134,0.97775000,0.97520683,0.97302087
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.84738425,0.97861111,0.81479167,0.97775000,0.00000000,0.00000000,0.00000000,0.70761034,0.81479167,0.74840200,0.82916470
