dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97189856,0.98286498,0.97240573,0.98240573,0.00000000,0.00000000,0.00000000,0.82687692,0.81033811,0.81839044,0.96515263
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.95539482,0.98286498,0.94950477,0.98240573,0.84771574,0.83500000,0.84130982,0.94468973,0.94950477,0.94644554,0.94619608
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96367375,0.98903358,0.96589036,0.98950768,0.00000000,0.00000000,0.00000000,0.83333333,0.80490864,0.81880132,0.95564948
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.96383363,0.98903358,0.96574197,0.98950768,0.78455285,0.96500000,0.86547085,0.95808477,0.96574197,0.96003968,0.95688188
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.95887594,0.98697738,0.96053073,0.98615573,0.00000000,0.00000000,0.00000000,0.83280255,0.80044227,0.81620804,0.94994494
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.95298373,0.98697738,0.95210894,0.98615573,0.75518672,0.91000000,0.82539683,0.94447437,0.95210894,0.94664247,0.94370794
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.95956134,0.98697738,0.96263268,0.98763268,0.00000000,0.00000000,0.00000000,0.82825877,0.80219390,0.81467999,0.95067396
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93550332,0.98697738,0.92886057,0.98763268,0.74146341,0.76000000,0.75061728,0.91880893,0.92886057,0.92164211,0.92266166
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96024674,0.98971899,0.96178073,0.98964036,0.00000000,0.00000000,0.00000000,0.82780847,0.80148394,0.81426288,0.95138337
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.94635322,0.98971899,0.94231727,0.98964036,0.76470588,0.84500000,0.80285036,0.93257841,0.94231727,0.93600167,0.93557535
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95535027,0.97536567,0.95816341,0.97602304,0.00000000,0.00000000,0.00000000,0.82460871,0.79846951,0.81118167,0.94486481
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.86933490,0.97536567,0.89680284,0.97602304,0.82807018,0.59000000,0.68905109,0.85908008,0.89680284,0.86351448,0.84773718
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96381832,0.97151655,0.96592877,0.97464036,0.00000000,0.00000000,0.00000000,0.82066277,0.80494064,0.81225952,0.95500088
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.84579164,0.97151655,0.88202398,0.97464036,0.84474886,0.46250000,0.59773829,0.86401229,0.88202398,0.84614599,0.82760840
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.95919938,0.98229407,0.96401536,0.98276536,0.00000000,0.00000000,0.00000000,0.82075503,0.80334614,0.81166715,0.94940033
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.94585050,0.98229407,0.95376280,0.98276536,0.90024938,0.90250000,0.90137328,0.93854796,0.95376280,0.94440500,0.93440179
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.94996151,0.97921478,0.95102304,0.97526536,0.00000000,0.00000000,0.00000000,0.81905371,0.79251920,0.80543265,0.93813359
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.84343732,0.97921478,0.87543587,0.97526536,0.79919679,0.49750000,0.61325116,0.84918441,0.87543587,0.84245494,0.82105588
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.94149346,0.98152425,0.94704609,0.98066341,0.00000000,0.00000000,0.00000000,0.81955497,0.78920507,0.80354514,0.92850080
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.87698646,0.98152425,0.90045507,0.98066341,0.81155015,0.66750000,0.73251029,0.88101648,0.90045507,0.88360477,0.85327284
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.95381062,0.97690531,0.95628841,0.97553073,0.00000000,0.00000000,0.00000000,0.82221835,0.79690701,0.80914457,0.94298535
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.94114185,0.97690531,0.94690701,0.97553073,0.88019560,0.90000000,0.88998764,0.93952385,0.94690701,0.94148603,0.92859396
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.95612009,0.96997691,0.96026536,0.97151536,0.00000000,0.00000000,0.00000000,0.80572549,0.80022114,0.80204996,0.94518545
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.84755739,0.96997691,0.88272114,0.97151536,0.88789238,0.49500000,0.63563403,0.86360334,0.88272114,0.84824505,0.82812811
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.95612009,0.98768283,0.96200768,0.98825768,0.00000000,0.00000000,0.00000000,0.82826145,0.80167307,0.81452550,0.94610092
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.88934667,0.98768283,0.91375640,0.98825768,0.83800623,0.67250000,0.74618585,0.89440234,0.91375640,0.89143439,0.87078197
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.94380293,0.97998460,0.94691341,0.97776536,0.00000000,0.00000000,0.00000000,0.82905983,0.78909451,0.80835095,0.93169390
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.87404356,0.97998460,0.89701117,0.97776536,0.78963415,0.64750000,0.71153846,0.88200254,0.89701117,0.87739435,0.85197058
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.95765974,0.97921478,0.95390363,0.97878841,0.00000000,0.00000000,0.00000000,0.81459303,0.79491969,0.80375771,0.94717476
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.93231313,0.97921478,0.93658636,0.97878841,0.90909091,0.85000000,0.87855297,0.93037873,0.93658636,0.93044286,0.91821664
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.97228637,0.98614319,0.97450768,0.98625000,0.00000000,0.00000000,0.00000000,0.82624039,0.81208973,0.81902548,0.96527245
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.86403767,0.98614319,0.89750640,0.98625000,0.88362069,0.51250000,0.64873418,0.86856532,0.89750640,0.86324722,0.84475820
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.96227868,0.97382602,0.96678073,0.97615573,0.00000000,0.00000000,0.00000000,0.81702025,0.80565061,0.81091137,0.95289307
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.82872278,0.97382602,0.87148394,0.97615573,0.84042553,0.39500000,0.53741497,0.82086536,0.87148394,0.81752890,0.80634514
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.96073903,0.98537336,0.96526536,0.98526536,0.00000000,0.00000000,0.00000000,0.82067377,0.80438780,0.81210431,0.95129452
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.81165391,0.98537336,0.85897114,0.98526536,0.77514793,0.32750000,0.46045694,0.85082461,0.85897114,0.81562185,0.79692268
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.95612009,0.97767513,0.95481145,0.97490573,0.00000000,0.00000000,0.00000000,0.82201646,0.79567621,0.80851848,0.94561339
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.80459094,0.97767513,0.84775954,0.97490573,0.73099415,0.31250000,0.43782837,0.84327587,0.84775954,0.80858607,0.78770505
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.97074673,0.97844496,0.97191341,0.97816341,0.00000000,0.00000000,0.00000000,0.82001244,0.80992784,0.81471238,0.96328121
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.85815185,0.97844496,0.89201117,0.97816341,0.89140271,0.49250000,0.63446055,0.86791288,0.89201117,0.85393425,0.84160015
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.95688992,0.98306390,0.95117668,0.98079609,0.00000000,0.00000000,0.00000000,0.81998203,0.79264723,0.80533847,0.94645258
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.94702766,0.98306390,0.94514723,0.98079609,0.89705882,0.91500000,0.90594059,0.94467585,0.94514723,0.94254417,0.93573296
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.97074673,0.98306390,0.97289804,0.98289804,0.00000000,0.00000000,0.00000000,0.81785683,0.81074837,0.81394454,0.96329518
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.83578576,0.98306390,0.87699837,0.98289804,0.87845304,0.39750000,0.54733219,0.85534951,0.87699837,0.83515448,0.81674447
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.97921478,0.98999230,0.98187500,0.99187500,0.00000000,0.00000000,0.00000000,0.82921811,0.81822917,0.82361756,0.97393206
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.96998234,0.98999230,0.97489583,0.99187500,0.94235589,0.94000000,0.94117647,0.96514240,0.97489583,0.96911198,0.96355512
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.94072363,0.97767513,0.93505936,0.97589036,0.00000000,0.00000000,0.00000000,0.82700422,0.77921613,0.80197719,0.92771908
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,45,0.92760447,0.97767513,0.92671613,0.97589036,0.83294118,0.88500000,0.85818182,0.92975416,0.92671613,0.92499597,0.91230784
BoT_IoT,RFF_LIM_NFST,scan,known_only,46,0.97690531,0.98383372,0.97530377,0.98142109,0.00000000,0.00000000,0.00000000,0.82276575,0.81275314,0.81757253,0.97090063
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,46,0.84402590,0.98383372,0.88150314,0.98142109,0.89673913,0.41250000,0.56506849,0.86329122,0.88150314,0.84185016,0.82632678
BoT_IoT,RFF_LIM_NFST,theft,known_only,42,0.95208333,0.97847222,0.95062500,0.97687500,0.00000000,0.00000000,0.00000000,0.82692308,0.79218750,0.80907871,0.94155470
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,42,0.95610343,0.97847222,0.95586463,0.97687500,0.77659574,0.98206278,0.86732673,0.95234929,0.95586463,0.95165531,0.94784764
BoT_IoT,RFF_LIM_NFST,theft,known_only,43,0.94513889,0.98194444,0.95000000,0.98312500,0.00000000,0.00000000,0.00000000,0.81841727,0.79166667,0.80412658,0.93316345
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,43,0.86710764,0.98194444,0.85220478,0.98312500,0.56250000,0.36322870,0.44141689,0.84287733,0.85220478,0.83028758,0.84574539
BoT_IoT,RFF_LIM_NFST,theft,known_only,44,0.95277778,0.98541667,0.95500000,0.98437500,0.00000000,0.00000000,0.00000000,0.82520325,0.79583333,0.81000150,0.94236216
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,44,0.92723993,0.98541667,0.92288864,0.98437500,0.73913043,0.76233184,0.75055188,0.90966616,0.92288864,0.91263789,0.91300475
BoT_IoT,RFF_LIM_NFST,theft,known_only,45,0.95277778,0.97083333,0.95375000,0.97000000,0.00000000,0.00000000,0.00000000,0.81711115,0.79479167,0.80538724,0.94197976
