dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98821110,0.98821110,0.98826536,0.98826536,0.00000000,0.00000000,0.00000000,0.98795091,0.98826536,0.98806536,0.98515105
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.86907776,0.98821110,0.82355447,0.98826536,0.00000000,0.00000000,0.00000000,0.72463933,0.82355447,0.77049540,0.84939212
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97767513,0.97767513,0.97810265,0.97810265,0.00000000,0.00000000,0.00000000,0.94140612,0.94567714,0.94328727,0.97165763
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.74796939,0.97767513,0.81541888,0.97810265,0.20000000,0.00200000,0.00396040,0.67399471,0.81541888,0.70402182,0.73649277
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.97983064,0.97983064,0.97955726,0.97955726,0.00000000,0.00000000,0.00000000,0.91065376,0.91422265,0.91220851,0.97438316
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.75644497,0.97983064,0.82146439,0.97955726,0.57692308,0.03100000,0.05745357,0.73808954,0.82146439,0.71801227,0.74121469
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98075443,0.98075443,0.98110265,0.98110265,0.00000000,0.00000000,0.00000000,0.94429385,0.94831413,0.94605699,0.97555336
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.74997057,0.98075443,0.81766888,0.98110265,0.20000000,0.00050000,0.00099751,0.67956977,0.81766888,0.70917995,0.73799992
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98706697,0.98706697,0.98645112,0.98645112,0.00000000,0.00000000,0.00000000,0.98379664,0.98645112,0.98499569,0.98354971
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.75479694,0.98706697,0.82212593,0.98645112,0.20000000,0.00050000,0.00099751,0.69915040,0.82212593,0.72018260,0.74738814
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.97902778,0.97902778,0.97862500,0.97862500,0.00000000,0.00000000,0.00000000,0.97418116,0.97862500,0.97619634,0.97354511
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.86217679,0.97902778,0.83345805,0.97862500,0.20000000,0.10762332,0.13994169,0.75102597,0.83345805,0.77967187,0.84448159
