dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.97039068,0.98204249,0.97122765,0.98185265,0.00000000,0.00000000,0.00000000,0.82342452,0.80935638,0.81617337,0.96323226
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.92863171,0.98204249,0.91335638,0.98185265,0.82270467,0.62400000,0.70374028,0.91640819,0.91335638,0.91020275,0.91446835
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.95750577,0.97059276,0.95743994,0.96861034,0.00000000,0.00000000,0.00000000,0.81224589,0.79786662,0.80461865,0.94686019
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.82601530,0.97059276,0.86436662,0.96861034,0.80811593,0.39900000,0.50462940,0.83376096,0.86436662,0.81734199,0.80699868
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.95411855,0.97105466,0.95355377,0.96888687,0.00000000,0.00000000,0.00000000,0.80849139,0.79462814,0.80103372,0.94270893
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.82589759,0.97105466,0.86287814,0.96888687,0.83121397,0.40950000,0.53709330,0.83312781,0.86287814,0.81725152,0.80511088
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.95565820,0.96843726,0.95675419,0.96747765,0.00000000,0.00000000,0.00000000,0.80949199,0.79729516,0.80295794,0.94450889
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.79152443,0.96843726,0.84037849,0.96747765,0.71008496,0.25850000,0.36047747,0.79489630,0.84037849,0.77631527,0.77201617
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.96120092,0.97613549,0.96008031,0.97284916,0.00000000,0.00000000,0.00000000,0.81635910,0.80006692,0.80795338,0.95134743
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.85650383,0.97613549,0.88615026,0.97284916,0.86010072,0.51650000,0.62800249,0.86280529,0.88615026,0.85447927,0.83677607
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.94763889,0.96375000,0.94462500,0.95950000,0.00000000,0.00000000,0.00000000,0.80275544,0.78718750,0.79435160,0.93508612
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.88983764,0.96375000,0.87328615,0.95950000,0.75053563,0.51659193,0.59109683,0.87083876,0.87328615,0.85968221,0.86973212
