dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98492118,0.98492118,0.98526536,0.98526536,0.00000000,0.00000000,0.00000000,0.82553768,0.82105447,0.82321148,0.98110134
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.89210368,0.98492118,0.85688780,0.98526536,0.81132075,0.21500000,0.33992095,0.88909930,0.85688780,0.84192127,0.87384761
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98560658,0.98560658,0.98687500,0.98687500,0.00000000,0.00000000,0.00000000,0.82346972,0.82239583,0.82285081,0.98191841
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.88667872,0.98560658,0.84989583,0.98687500,0.86842105,0.16500000,0.27731092,0.87893272,0.84989583,0.82105725,0.86819639
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99040439,0.99040439,0.99075768,0.99075768,0.00000000,0.00000000,0.00000000,0.82876604,0.82563140,0.82717826,0.98793193
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87703436,0.99040439,0.83396473,0.99075768,0.62500000,0.05000000,0.09259259,0.83294399,0.83396473,0.78852826,0.85812631
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98834818,0.98834818,0.98937500,0.98937500,0.00000000,0.00000000,0.00000000,0.82637352,0.82447917,0.82531489,0.98540575
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.87703436,0.98834818,0.83531250,0.98937500,0.61904762,0.06500000,0.11764706,0.83159084,0.83531250,0.79128846,0.85796068
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98766278,0.98903358,0.98875000,0.99000000,0.00000000,0.00000000,0.00000000,0.82646608,0.82395833,0.82512593,0.98452866
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.87040386,0.98903358,0.82645833,0.99000000,0.30000000,0.01500000,0.02857143,0.78100458,0.82645833,0.77836126,0.85066693
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97998460,0.97998460,0.97964036,0.97964036,0.00000000,0.00000000,0.00000000,0.82510148,0.81636697,0.82067168,0.97458665
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.75279576,0.97998460,0.81886697,0.97964036,0.35294118,0.01500000,0.02877698,0.69660373,0.81886697,0.71370129,0.73529733
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97228637,0.97228637,0.97575768,0.97575768,0.00000000,0.00000000,0.00000000,0.81914308,0.81313140,0.81584534,0.96509961
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74337846,0.97228637,0.81313140,0.97575768,0.00000000,0.00000000,0.00000000,0.67861100,0.81313140,0.71792524,0.73851617
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98383372,0.98383372,0.98437500,0.98437500,0.00000000,0.00000000,0.00000000,0.82161834,0.82031250,0.82093657,0.97943806
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75220718,0.98383372,0.82031250,0.98437500,0.00000000,0.00000000,0.00000000,0.64100277,0.82031250,0.70924246,0.73807013
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.98306390,0.98306390,0.98187500,0.98187500,0.00000000,0.00000000,0.00000000,0.82151535,0.81822917,0.81979596,0.97841269
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.75161860,0.98306390,0.81822917,0.98187500,0.00000000,0.00000000,0.00000000,0.67897869,0.81822917,0.73212941,0.74211379
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.98229407,0.98691301,0.98250000,0.98687500,0.00000000,0.00000000,0.00000000,0.82544658,0.81875000,0.82207349,0.97755041
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.75103002,0.98691301,0.81875000,0.98687500,0.00000000,0.00000000,0.00000000,0.64924947,0.81875000,0.71317731,0.73551892
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.98460354,0.98460354,0.98464036,0.98464036,0.00000000,0.00000000,0.00000000,0.82454835,0.82053364,0.82253160,0.98041450
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.85756327,0.98460354,0.89470030,0.98464036,0.96216216,0.44500000,0.60854701,0.86888482,0.89470030,0.85911863,0.83934839
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.97998460,0.99307159,0.98312500,0.99375000,0.00000000,0.00000000,0.00000000,0.82618340,0.81927083,0.82258572,0.97481932
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.92878164,0.99307159,0.94635417,0.99375000,0.94427245,0.76250000,0.84370678,0.92934385,0.94635417,0.93448139,0.91505592
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.98999230,0.99153195,0.99000000,0.99125000,0.00000000,0.00000000,0.00000000,0.82835686,0.82500000,0.82665283,0.98729311
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.75868158,0.99153195,0.82625000,0.99125000,0.30000000,0.00750000,0.01463415,0.69962776,0.82625000,0.71886248,0.74543006
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.98691301,0.98691301,0.98562500,0.98562500,0.00000000,0.00000000,0.00000000,0.82409819,0.82135417,0.82267227,0.98331942
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.83402001,0.98691301,0.87760417,0.98562500,0.99264706,0.33750000,0.50373134,0.87601867,0.87760417,0.84196311,0.81650273
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.98614319,0.98614319,0.98388268,0.98388268,0.00000000,0.00000000,0.00000000,0.82649040,0.81990223,0.82315381,0.98236664
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.82107122,0.98614319,0.86740223,0.98388268,0.94214876,0.28500000,0.43761996,0.84392428,0.86740223,0.81302588,0.80297457
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.98229407,0.98229407,0.98089036,0.98089036,0.00000000,0.00000000,0.00000000,0.82301779,0.81740864,0.82014633,0.97746244
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.75397293,0.98229407,0.81949197,0.98089036,0.50000000,0.01250000,0.02439024,0.75763210,0.81949197,0.72279142,0.74620969
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.97536567,0.97536567,0.97875000,0.97875000,0.00000000,0.00000000,0.00000000,0.82006136,0.81562500,0.81763175,0.96891115
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.75044144,0.97536567,0.81895833,0.97875000,0.40000000,0.02000000,0.03809524,0.77080172,0.81895833,0.73397660,0.75236536
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.98691301,0.98691301,0.98750000,0.98750000,0.00000000,0.00000000,0.00000000,0.82370989,0.82291667,0.82327074,0.98335753
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.75691583,0.98691301,0.82458333,0.98750000,0.57142857,0.01000000,0.01965602,0.80025860,0.82458333,0.73531875,0.76223423
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.98537336,0.98614319,0.98437500,0.98500000,0.00000000,0.00000000,0.00000000,0.82307131,0.82031250,0.82161975,0.98137158
