dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.93145990,0.98834818,0.92814595,0.98839036,0.00000000,0.00000000,0.00000000,0.83333333,0.77345496,0.80207126,0.91837188
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93972272,0.98834818,0.94012162,0.98839036,0.66666667,1.00000000,0.80000000,0.94444444,0.94012162,0.93540459,0.92974645
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.89170665,0.99177519,0.88746508,0.99200768,0.00000000,0.00000000,0.00000000,0.83333333,0.73955424,0.78340268,0.87480470
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.90476190,0.99177519,0.90622090,0.99200768,0.55865922,1.00000000,0.71684588,0.92644320,0.90622090,0.90287699,0.89121286
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.91912269,0.99177519,0.91788059,0.99250000,0.00000000,0.00000000,0.00000000,0.83333333,0.76490049,0.79747680,0.90465097
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.92887281,0.99177519,0.93156716,0.99250000,0.62893082,1.00000000,0.77220077,0.93815514,0.93156716,0.92617693,0.91767204
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.93145990,0.99040439,0.93306913,0.99125000,0.00000000,0.00000000,0.00000000,0.83235867,0.77755761,0.80393970,0.91837570
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93972272,0.99040439,0.94422428,0.99125000,0.66889632,1.00000000,0.80160321,0.94384139,0.94422428,0.93754024,0.92974229
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.91226868,0.99040439,0.91113827,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.75928189,0.79454766,0.89703655
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.92284509,0.99040439,0.92594856,0.99075768,0.60975610,1.00000000,0.75757576,0.93495935,0.92594856,0.92081028,0.91095418
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.91916859,0.98383372,0.92291899,0.98625000,0.00000000,0.00000000,0.00000000,0.83229167,0.76909916,0.79901857,0.90386883
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.92525015,0.98383372,0.92659916,0.98625000,0.78423237,0.94500000,0.85714286,0.94297646,0.92659916,0.93122147,0.91035251
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.92686682,0.97536567,0.92962291,0.97789804,0.00000000,0.00000000,0.00000000,0.83016878,0.77468575,0.80120701,0.91230121
