dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.87868403,0.98286498,0.87805168,0.98240573,0.00000000,0.00000000,0.00000000,0.83333333,0.73170973,0.77908105,0.86120996
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.89330922,0.98286498,0.89837640,0.98240573,0.53050398,1.00000000,0.69324090,0.92175066,0.89837640,0.89462120,0.87900580
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.85332419,0.98903358,0.85098813,0.98950768,0.00000000,0.00000000,0.00000000,0.83333333,0.70915677,0.76600419,0.83512759
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.87100663,0.98903358,0.87582344,0.98950768,0.48309179,1.00000000,0.65146580,0.91384863,0.87582344,0.87458182,0.85546645
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.85949280,0.98560658,0.85612081,0.98490573,0.00000000,0.00000000,0.00000000,0.83333333,0.71343401,0.76835196,0.84138744
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87643159,0.98560658,0.88010068,0.98490573,0.49382716,1.00000000,0.66115702,0.91563786,0.88010068,0.87854480,0.86114793
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.88142563,0.98560658,0.88596718,0.98589036,0.00000000,0.00000000,0.00000000,0.83333333,0.73830598,0.78258790,0.86436362
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.89572031,0.98560658,0.90497265,0.98589036,0.53619303,1.00000000,0.69808028,0.92269884,0.90497265,0.89893461,0.88177908
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.87045922,0.98834818,0.87202863,0.98839036,0.00000000,0.00000000,0.00000000,0.83333333,0.72669053,0.77590087,0.85291828
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.88607595,0.98834818,0.89335719,0.98839036,0.51413882,1.00000000,0.67911715,0.91902314,0.89335719,0.88908706,0.87150582
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.84680523,0.97459584,0.84576117,0.97602304,0.00000000,0.00000000,0.00000000,0.82981221,0.70480098,0.76193113,0.82669409
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.88169511,0.97459584,0.87063431,0.97602304,0.67003367,0.99500000,0.80080483,0.93920205,0.87063431,0.89443325,0.86267341
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.87682833,0.96997691,0.88273045,0.97339036,0.00000000,0.00000000,0.00000000,0.82424242,0.73560871,0.77619466,0.85738814
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.87992937,0.96997691,0.88394204,0.97339036,0.70216963,0.89000000,0.78500551,0.90809685,0.88394204,0.88795033,0.85663884
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.86605081,0.98229407,0.87009777,0.98276536,0.00000000,0.00000000,0.00000000,0.83333333,0.72508147,0.77511133,0.84706428
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.89523249,0.98229407,0.89008147,0.98276536,0.69473684,0.99000000,0.81649485,0.94476551,0.89008147,0.90913970,0.87776389
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.86989992,0.97459584,0.87127095,0.97151536,0.00000000,0.00000000,0.00000000,0.83213429,0.72605912,0.77525397,0.85083296
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.89994114,0.97459584,0.89230912,0.97151536,0.70370370,0.99750000,0.82523268,0.94823633,0.89230912,0.91227993,0.88331609
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.84295612,0.98152425,0.85259777,0.98066341,0.00000000,0.00000000,0.00000000,0.82696391,0.71049814,0.76316102,0.82323853
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.86403767,0.98152425,0.86591480,0.98066341,0.65323993,0.93250000,0.76828012,0.91231535,0.86591480,0.87874531,0.84014681
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.84141647,0.97536567,0.84674581,0.97490573,0.00000000,0.00000000,0.00000000,0.83219955,0.70562151,0.76313597,0.82207949
