dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98382454,0.98821110,0.98337919,0.98826536,0.00000000,0.00000000,0.00000000,0.83115422,0.81948266,0.82524695,0.97981996
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.94273659,0.98821110,0.92664932,0.98826536,0.86754746,0.64300000,0.73791558,0.93995793,0.92664932,0.92985989,0.93129420
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.96982294,0.97767513,0.96867109,0.97810265,0.00000000,0.00000000,0.00000000,0.82538480,0.80722591,0.81613660,0.96219173
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.89841083,0.97767513,0.91830924,0.97810265,0.90120163,0.66650000,0.76453359,0.89825091,0.91830924,0.89899267,0.88106534
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.97136259,0.97983064,0.96929609,0.97955726,0.00000000,0.00000000,0.00000000,0.82493711,0.80774674,0.81619186,0.96409316
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92572101,0.97983064,0.93733007,0.97955726,0.91582985,0.77750000,0.83465609,0.92447868,0.93733007,0.92538749,0.91213748
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.97321016,0.98075443,0.97176187,0.98110265,0.00000000,0.00000000,0.00000000,0.82490892,0.80980156,0.81719229,0.96632823
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.88075338,0.98075443,0.90655156,0.98110265,0.89688571,0.58050000,0.69519385,0.88437776,0.90655156,0.87931769,0.86326976
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98121632,0.98706697,0.97896648,0.98645112,0.00000000,0.00000000,0.00000000,0.82672097,0.81580540,0.82118191,0.97630300
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.93290171,0.98706697,0.94513873,0.98645112,0.94496611,0.77600000,0.82950755,0.93722025,0.94513873,0.93035633,0.92427113
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.97500000,0.97902778,0.97362500,0.97862500,0.00000000,0.00000000,0.00000000,0.82343614,0.81135417,0.81727570,0.96876025
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.92808178,0.97902778,0.91553952,0.97862500,0.83452269,0.62511211,0.68993193,0.91365279,0.91553952,0.90305014,0.91585547
