dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98286498,0.98903358,0.98240573,0.98901536,0.00000000,0.00000000,0.00000000,0.82873118,0.81867144,0.82363151,0.97857456
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93851718,0.98903358,0.92117144,0.98901536,0.87857143,0.61500000,0.72352941,0.93750763,0.92117144,0.92486826,0.92631951
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98286498,0.98834818,0.98240573,0.98789804,0.00000000,0.00000000,0.00000000,0.83280757,0.81867144,0.82565652,0.97869219
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.93911995,0.98834818,0.92200477,0.98789804,0.83783784,0.62000000,0.71264368,0.93350244,0.92200477,0.92451855,0.92687765
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98423578,0.98766278,0.98365573,0.98776536,0.00000000,0.00000000,0.00000000,0.83071917,0.81971311,0.82516316,0.98029535
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.93731163,0.98766278,0.91887977,0.98776536,0.86861314,0.59500000,0.70623145,0.93394413,0.91887977,0.92144452,0.92501459
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98423578,0.98834818,0.98414804,0.98888268,0.00000000,0.00000000,0.00000000,0.83229814,0.82012337,0.82611526,0.98037775
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.94635322,0.98834818,0.93179004,0.98888268,0.86451613,0.67000000,0.75492958,0.94402929,0.93179004,0.93521837,0.93562453
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98492118,0.98766278,0.98428073,0.98776536,0.00000000,0.00000000,0.00000000,0.83121506,0.82023394,0.82566830,0.98115995
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.95238095,0.98766278,0.93940061,0.98776536,0.88819876,0.71500000,0.79224377,0.95080615,0.93940061,0.94324973,0.94263472
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97074673,0.97767513,0.97017109,0.97740573,0.00000000,0.00000000,0.00000000,0.82644978,0.80847591,0.81735073,0.96325986
