dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.96874572,0.98766278,0.97081075,0.98845461,0.00000000,0.00000000,0.00000000,0.82980145,0.80900896,0.81909435,0.96161348
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.95744424,0.98766278,0.95484230,0.98845461,0.80901247,0.87500000,0.83939885,0.94996922,0.95484230,0.95160004,0.94875884
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.95981524,0.98029253,0.96009916,0.98007961,0.00000000,0.00000000,0.00000000,0.82914251,0.80008264,0.81427253,0.95032337
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.85744556,0.98029253,0.88758264,0.98007961,0.73726273,0.52500000,0.58332369,0.85978928,0.88758264,0.85353970,0.84089985
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.96581986,0.98799076,0.96721648,0.98777654,0.00000000,0.00000000,0.00000000,0.82844354,0.80601373,0.81689104,0.95760706
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.91948205,0.98799076,0.93418040,0.98777654,0.88541466,0.76900000,0.82022872,0.91998055,0.93418040,0.92238367,0.90397470
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.97043880,0.98183218,0.97181844,0.98188268,0.00000000,0.00000000,0.00000000,0.82811685,0.80984870,0.81878832,0.96307929
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.79199529,0.98183218,0.84526536,0.98188268,0.59974316,0.21250000,0.30443985,0.81821172,0.84526536,0.78864179,0.78287858
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.97428791,0.98983834,0.97414455,0.98913268,0.00000000,0.00000000,0.00000000,0.82868022,0.81178713,0.82002726,0.96793632
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.90500294,0.98983834,0.92512046,0.98913268,0.90162652,0.68000000,0.75964653,0.90934100,0.92512046,0.90379043,0.89177852
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.95861111,0.97972222,0.95862500,0.97775000,0.00000000,0.00000000,0.00000000,0.82671500,0.79885417,0.81242729,0.94917840
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.92351173,0.97972222,0.91499766,0.97775000,0.73161030,0.69686099,0.69985543,0.92012745,0.91499766,0.91341707,0.90909564
