dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97532557,0.98492118,0.97651536,0.98526536,0.00000000,0.00000000,0.00000000,0.82965009,0.81376280,0.82150646,0.96950243
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.95298373,0.98492118,0.94542947,0.98526536,0.83157895,0.79000000,0.81025641,0.94642693,0.94542947,0.94567491,0.94310000
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96367375,0.98560658,0.96638268,0.98687500,0.00000000,0.00000000,0.00000000,0.83057090,0.80531890,0.81762283,0.95555316
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.96081977,0.98560658,0.96198557,0.98687500,0.78991597,0.94000000,0.85844749,0.95339565,0.96198557,0.95625983,0.95307772
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.97395476,0.98971899,0.97526536,0.99013268,0.00000000,0.00000000,0.00000000,0.83186958,0.81272114,0.82209281,0.96788179
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.96684750,0.98971899,0.96522114,0.99013268,0.83561644,0.91500000,0.87350835,0.95933107,0.96522114,0.96173320,0.96005279
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96298835,0.98903358,0.96575768,0.99000000,0.00000000,0.00000000,0.00000000,0.82789855,0.80479807,0.81594412,0.95467669
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.94213382,0.98903358,0.93646473,0.99000000,0.76699029,0.79000000,0.77832512,0.93138805,0.93646473,0.93323490,0.93020428
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96778615,0.98903358,0.97013268,0.99000000,0.00000000,0.00000000,0.00000000,0.82901811,0.80844390,0.81830552,0.96045335
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.96443641,0.98903358,0.96511057,0.99000000,0.82096070,0.94000000,0.87645688,0.95930438,0.96511057,0.96109736,0.95735942
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95458045,0.97921478,0.95714036,0.97839036,0.00000000,0.00000000,0.00000000,0.83279570,0.79761697,0.81475029,0.94434410
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.80753384,0.97921478,0.85261697,0.97839036,0.69473684,0.33000000,0.44745763,0.79805694,0.85261697,0.79550965,0.78262612
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96689761,0.97074673,0.96914804,0.97325768,0.00000000,0.00000000,0.00000000,0.82504564,0.80762337,0.81610133,0.95871001
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.75397293,0.97074673,0.81804004,0.97325768,0.43103448,0.06250000,0.10917031,0.76851874,0.81804004,0.74309272,0.74583469
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.96458814,0.98537336,0.96579609,0.98625000,0.00000000,0.00000000,0.00000000,0.83088920,0.80483007,0.81764224,0.95609995
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.93407887,0.98537336,0.94399674,0.98625000,0.88594164,0.83500000,0.85971686,0.93407899,0.94399674,0.93797609,0.91998429
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.95688992,0.98152425,0.95655377,0.98000000,0.00000000,0.00000000,0.00000000,0.82903915,0.79712814,0.81274082,0.94678813
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.94408476,0.98152425,0.94754481,0.98000000,0.87621359,0.90250000,0.88916256,0.94221808,0.94754481,0.94321419,0.93213842
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.95612009,0.98460354,0.95185754,0.98250000,0.00000000,0.00000000,0.00000000,0.82794289,0.79321462,0.81012798,0.94567467
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.84755739,0.98460354,0.87571462,0.98250000,0.79838710,0.49500000,0.61111111,0.85607366,0.87571462,0.84790582,0.82391573
