dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.86566141,0.98793694,0.86430587,0.98811383,0.00000000,0.00000000,0.00000000,0.83333333,0.72025489,0.77245097,0.84775564
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.88185654,0.98793694,0.88692155,0.98811383,0.50544827,1.00000000,0.67137429,0.91757471,0.88692155,0.88434669,0.86688134
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.86235566,0.97721324,0.86733659,0.97785265,0.00000000,0.00000000,0.00000000,0.83011029,0.72278049,0.77203756,0.84305722
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.88534432,0.97721324,0.88278049,0.97785265,0.68636674,0.96000000,0.80022206,0.92963837,0.88278049,0.89785699,0.86522489
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.85758276,0.97859892,0.86001466,0.97845880,0.00000000,0.00000000,0.00000000,0.82954773,0.71667889,0.76820601,0.83797900
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.87545615,0.97859892,0.87226222,0.97845880,0.67275528,0.93350000,0.78179765,0.91825934,0.87226222,0.88670595,0.85288608
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.85958430,0.98075443,0.86020810,0.98137919,0.00000000,0.00000000,0.00000000,0.82995466,0.71684008,0.76868027,0.83983579
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.86980577,0.98075443,0.86734008,0.98137919,0.66838687,0.90300000,0.76753680,0.90947401,0.86734008,0.87960228,0.84550056
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.85696690,0.98552733,0.86057891,0.98537919,0.00000000,0.00000000,0.00000000,0.83008314,0.71714909,0.76886998,0.83744590
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.88216598,0.98552733,0.87781576,0.98537919,0.67871901,0.96400000,0.79636364,0.92993609,0.87781576,0.89479893,0.86184144
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.86097222,0.97875000,0.86537500,0.97825000,0.00000000,0.00000000,0.00000000,0.82925609,0.72114583,0.77076289,0.84263865
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.85676488,0.97875000,0.85941190,0.97825000,0.48158902,0.82959641,0.60811485,0.88205651,0.85941190,0.85696537,0.83473625
