dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.87594243,0.98903358,0.87259777,0.98901536,0.00000000,0.00000000,0.00000000,0.83333333,0.72716480,0.77649554,0.85821149
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.89089813,0.98903358,0.89383147,0.98901536,0.52493438,1.00000000,0.68846816,0.92082240,0.89383147,0.89124023,0.87634069
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.85538040,0.98766278,0.85089385,0.98727304,0.00000000,0.00000000,0.00000000,0.83333333,0.70907821,0.76579094,0.83714791
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.87281495,0.98766278,0.87574488,0.98727304,0.48661800,1.00000000,0.65466448,0.91443633,0.87574488,0.87490169,0.85731955
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.86703221,0.98834818,0.86594972,0.98888268,0.00000000,0.00000000,0.00000000,0.83333333,0.72162477,0.77345138,0.84905614
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.88306209,0.98834818,0.88829143,0.98888268,0.50761421,1.00000000,0.67340067,0.91793570,0.88829143,0.88568483,0.86807282
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.87114462,0.98697738,0.87265363,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.72721136,0.77629520,0.85358301
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.88667872,0.98697738,0.89387803,0.98763268,0.51546392,1.00000000,0.68027211,0.91924399,0.89387803,0.88967388,0.87210999
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.85880740,0.98766278,0.85943436,0.98776536,0.00000000,0.00000000,0.00000000,0.83333333,0.71619530,0.77022180,0.84077964
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.87582881,0.98766278,0.88286196,0.98776536,0.49261084,1.00000000,0.66006601,0.91543514,0.88286196,0.88023280,0.86056366
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.84295612,0.97690531,0.84839385,0.97740573,0.00000000,0.00000000,0.00000000,0.83333333,0.70699488,0.76439857,0.82372374
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.86815774,0.97690531,0.86532821,0.97740573,0.65068493,0.95000000,0.77235772,0.92205696,0.86532821,0.88335382,0.84561294
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.87990762,0.97151655,0.88585545,0.97464036,0.00000000,0.00000000,0.00000000,0.83123690,0.73821287,0.78118986,0.86140060
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.90464979,0.97151655,0.90237954,0.97464036,0.71897810,0.98500000,0.83122363,0.94508221,0.90237954,0.91669843,0.88807030
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.86759045,0.98460354,0.87246508,0.98464036,0.00000000,0.00000000,0.00000000,0.82795699,0.72705424,0.77365751,0.84806213
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.89699823,0.98460354,0.89247090,0.98464036,0.70390071,0.99250000,0.82365145,0.94221130,0.89247090,0.90943529,0.87961718
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.86759045,0.97459584,0.87019204,0.97477304,0.00000000,0.00000000,0.00000000,0.82993197,0.72516003,0.77377101,0.84817864
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.87580930,0.97459584,0.87557670,0.97477304,0.68113208,0.90250000,0.77634409,0.90922094,0.87557670,0.88553822,0.85199445
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.85373364,0.97844496,0.85977654,0.97780377,0.00000000,0.00000000,0.00000000,0.82809224,0.71648045,0.76717088,0.83392101
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.88110653,0.97844496,0.87814711,0.97780377,0.67713787,0.97000000,0.79753340,0.92962044,0.87814711,0.89425917,0.86082959
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.83833718,0.97690531,0.84049581,0.97678073,0.00000000,0.00000000,0.00000000,0.83333333,0.70041318,0.76087431,0.81888711
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.85344320,0.97690531,0.85082984,0.97678073,0.63222417,0.90250000,0.74356334,0.90239118,0.85082984,0.86690576,0.82672148
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.85373364,0.97305620,0.86174581,0.97539804,0.00000000,0.00000000,0.00000000,0.82510288,0.71812151,0.76657483,0.83372410
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.87757504,0.97305620,0.87728818,0.97539804,0.67730496,0.95500000,0.79253112,0.92214342,0.87728818,0.89022345,0.85615939
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.87220939,0.98229407,0.87710545,0.98178073,0.00000000,0.00000000,0.00000000,0.83118280,0.73092121,0.77726174,0.85324438
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.89758682,0.98229407,0.89425454,0.98178073,0.70503597,0.98000000,0.82008368,0.94061438,0.89425454,0.90993233,0.87983748
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.85373364,0.98229407,0.85502095,0.98178073,0.00000000,0.00000000,0.00000000,0.83333333,0.71251746,0.76795764,0.83435105
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.84873455,0.98229407,0.85126746,0.98178073,0.63671128,0.83250000,0.72156013,0.88361855,0.85126746,0.86005751,0.81888222
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.86989992,0.97844496,0.86570531,0.97655377,0.00000000,0.00000000,0.00000000,0.82478632,0.72142109,0.76836154,0.84968838
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.89994114,0.97844496,0.88767109,0.97655377,0.71250000,0.99750000,0.83125000,0.94252919,0.88767109,0.90641072,0.88282982
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.84834488,0.98075443,0.84612081,0.98178073,0.00000000,0.00000000,0.00000000,0.83333333,0.70510068,0.76369951,0.82863292
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.87404356,0.98075443,0.86468401,0.98178073,0.66034483,0.95750000,0.78163265,0.92487229,0.86468401,0.88565340,0.85220560
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.86682063,0.97921478,0.87286313,0.98214036,0.00000000,0.00000000,0.00000000,0.82809224,0.72738594,0.77361818,0.84735538
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.85108888,0.97921478,0.86071927,0.98214036,0.65573770,0.80000000,0.72072072,0.88320840,0.86071927,0.86153809,0.82173389
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.86528099,0.98383372,0.86615922,0.98464036,0.00000000,0.00000000,0.00000000,0.83222958,0.72179935,0.77249599,0.84595038
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.87404356,0.98383372,0.87221601,0.98464036,0.67476636,0.90250000,0.77219251,0.91070667,0.87221601,0.88328018,0.85006323
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.85296382,0.98460354,0.84816690,0.98365573,0.00000000,0.00000000,0.00000000,0.83333333,0.70680575,0.76461943,0.83310912
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.87227781,0.98460354,0.86263908,0.98365573,0.66194690,0.93500000,0.77512953,0.91723505,0.86263908,0.88142058,0.84903089
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.86451116,0.97536567,0.86773045,0.97467877,0.00000000,0.00000000,0.00000000,0.82278481,0.72310871,0.76896826,0.84413114
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.87757504,0.97536567,0.87644204,0.97467877,0.68913858,0.92000000,0.78800857,0.91134766,0.87644204,0.88611914,0.85446918
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.84988453,0.99076212,0.85070531,0.98928073,0.00000000,0.00000000,0.00000000,0.83333333,0.70892109,0.76525645,0.83039107
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.86344909,0.99076212,0.86017109,0.98928073,0.65053763,0.90750000,0.75782881,0.90877945,0.86017109,0.87436314,0.83828149
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.85296382,0.98306390,0.85822277,0.98464036,0.00000000,0.00000000,0.00000000,0.83000000,0.71518564,0.76776331,0.83339945
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.88581519,0.98306390,0.88060230,0.98464036,0.67863248,0.99250000,0.80609137,0.93990280,0.88060230,0.90059687,0.86733326
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.85758276,0.98537336,0.86594972,0.98477304,0.00000000,0.00000000,0.00000000,0.82799145,0.72162477,0.77026386,0.83808859
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.87934079,0.98537336,0.87995810,0.98477304,0.67857143,0.95000000,0.79166667,0.92275433,0.87995810,0.89272720,0.85803895
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.84834488,0.97998460,0.85104399,0.98017109,0.00000000,0.00000000,0.00000000,0.83333333,0.70920333,0.76621058,0.82889461
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,45,0.88346086,0.97998460,0.87545333,0.98017109,0.66946309,0.99750000,0.80120482,0.94369397,0.87545333,0.89922905,0.86506593
BoT_IoT,RFF_LIM_NFST,scan,known_only,46,0.87605851,0.98845266,0.87697277,0.98803073,0.00000000,0.00000000,0.00000000,0.82575758,0.73081064,0.77485571,0.85645579
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,46,0.89876398,0.98845266,0.89289397,0.98803073,0.71639042,0.97250000,0.82502651,0.93454992,0.89289397,0.90707841,0.88048756
BoT_IoT,RFF_LIM_NFST,theft,known_only,42,0.83472222,0.97777778,0.83687500,0.97625000,0.00000000,0.00000000,0.00000000,0.82976190,0.69739583,0.75769153,0.81589184
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,42,0.84906795,0.97777778,0.85434651,0.97625000,0.47191011,0.94170404,0.62874251,0.89455582,0.85434651,0.85615962,0.82960902
BoT_IoT,RFF_LIM_NFST,theft,known_only,43,0.86041667,0.97986111,0.87062500,0.98125000,0.00000000,0.00000000,0.00000000,0.82413088,0.72552083,0.77016473,0.84168496
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,43,0.83403488,0.97986111,0.83613369,0.98125000,0.43529412,0.66367713,0.52575488,0.84705882,0.83613369,0.82784204,0.80610646
BoT_IoT,RFF_LIM_NFST,theft,known_only,44,0.88819444,0.98333333,0.89187500,0.98312500,0.00000000,0.00000000,0.00000000,0.83002208,0.74322917,0.78378493,0.87084534
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,44,0.90258569,0.98333333,0.90914845,0.98312500,0.58421053,0.99551570,0.73631841,0.92631579,0.90914845,0.90599624,0.88857273
BoT_IoT,RFF_LIM_NFST,theft,known_only,45,0.87291667,0.97847222,0.88000000,0.97875000,0.00000000,0.00000000,0.00000000,0.82903226,0.73333333,0.77768741,0.85479031
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,45,0.88755262,0.97847222,0.89701046,0.97875000,0.55025126,0.98206278,0.70531401,0.91795784,0.89701046,0.89395946,0.87188240
