dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.84098698,0.98286498,0.83875349,0.98240573,0.00000000,0.00000000,0.00000000,0.83333333,0.69896124,0.75991794,0.82280777
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.86015672,0.98286498,0.86562791,0.98240573,0.46296296,1.00000000,0.63291139,0.91049383,0.86562791,0.86540317,0.84424825
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.83276217,0.98903358,0.83371508,0.98950768,0.00000000,0.00000000,0.00000000,0.83333333,0.69476257,0.75720675,0.81494927
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.85292345,0.98903358,0.86142924,0.98950768,0.45045045,1.00000000,0.62111801,0.90840841,0.86142924,0.86072642,0.83701378
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.83481837,0.98560658,0.83509777,0.98490573,0.00000000,0.00000000,0.00000000,0.83333333,0.69591480,0.75808384,0.81685897
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.85473177,0.98560658,0.86258147,0.98490573,0.45351474,1.00000000,0.62402496,0.90891912,0.86258147,0.86208800,0.83877882
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.81014393,0.98560658,0.81407472,0.98589036,0.00000000,0.00000000,0.00000000,0.83333333,0.67839560,0.74737972,0.79314232
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.83303195,0.98560658,0.84506227,0.98589036,0.41928721,1.00000000,0.59084195,0.90321454,0.84506227,0.84585338,0.81692366
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.81562714,0.98834818,0.81562849,0.98839036,0.00000000,0.00000000,0.00000000,0.83333333,0.67969041,0.74830872,0.79814056
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.83785413,0.98834818,0.84635708,0.98839036,0.42643923,1.00000000,0.59790732,0.90440654,0.84635708,0.84795995,0.82159501
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.77213241,0.97459584,0.73977654,0.97602304,0.00000000,0.00000000,0.00000000,0.83333333,0.61648045,0.69931765,0.75384489
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.82519129,0.97459584,0.78273045,0.97602304,0.57410072,0.99750000,0.72876712,0.92785938,0.78273045,0.82032053,0.80147058
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.81986143,0.96997691,0.79648045,0.97339036,0.00000000,0.00000000,0.00000000,0.83333333,0.66373371,0.73498275,0.79948097
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.86227192,0.96997691,0.83040037,0.97339036,0.63091483,1.00000000,0.77369439,0.93848580,0.83040037,0.86393182,0.84159002
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.79984604,0.98229407,0.77447277,0.98276536,0.00000000,0.00000000,0.00000000,0.83333333,0.64539397,0.72144231,0.78023459
