dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97258396,0.98971899,0.97401536,0.98964036,0.00000000,0.00000000,0.00000000,0.82965009,0.81167947,0.82046240,0.96617160
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.96986136,0.98971899,0.97001280,0.98964036,0.84070796,0.95000000,0.89201878,0.96379631,0.97001280,0.96615997,0.96376118
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.95681974,0.98834818,0.95816341,0.98937500,0.00000000,0.00000000,0.00000000,0.83333333,0.79846951,0.81549353,0.94754226
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.94575045,0.98834818,0.94263617,0.98937500,0.73305085,0.86500000,0.79357798,0.93838818,0.94263617,0.93927574,0.93480714
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.96778615,0.99040439,0.96865573,0.99075768,0.00000000,0.00000000,0.00000000,0.83228181,0.80721311,0.81947573,0.96045512
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.97046414,0.99040439,0.97221311,0.99075768,0.81481481,0.99000000,0.89390519,0.96704594,0.97221311,0.96794402,0.96479318
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96984236,0.98971899,0.97151536,0.99062500,0.00000000,0.00000000,0.00000000,0.82786885,0.80959614,0.81844761,0.96284822
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.96323086,0.98971899,0.96209614,0.99062500,0.82805430,0.91500000,0.86935867,0.95444426,0.96209614,0.95748984,0.95576438
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96915696,0.98971899,0.97039804,0.99062500,0.00000000,0.00000000,0.00000000,0.83146067,0.80866504,0.81978480,0.96212983
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.94876432,0.98971899,0.94199837,0.99062500,0.78817734,0.80000000,0.79404467,0.94213964,0.94199837,0.94171673,0.93809181
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95150115,0.98460354,0.95714036,0.98450768,0.00000000,0.00000000,0.00000000,0.83018868,0.79761697,0.81338710,0.94074443
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.88522660,0.98460354,0.90928364,0.98450768,0.81707317,0.67000000,0.73626374,0.87480955,0.90928364,0.88313826,0.86397712
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96766744,0.97459584,0.97200768,0.97763268,0.00000000,0.00000000,0.00000000,0.82659621,0.81000640,0.81801294,0.95977726
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.77928193,0.97459584,0.83792307,0.97763268,0.66336634,0.16750000,0.26746507,0.81159636,0.83792307,0.77686410,0.76518533
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.97613549,0.98845266,0.97776536,0.98875000,0.00000000,0.00000000,0.00000000,0.83080967,0.81480447,0.82271231,0.97012859
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.89287816,0.98845266,0.91855447,0.98875000,0.89891697,0.62250000,0.73559823,0.87750262,0.91855447,0.88616353,0.87516022
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.95765974,0.98845266,0.95964036,0.98638268,0.00000000,0.00000000,0.00000000,0.83115997,0.79970030,0.81507705,0.94784744
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.95585639,0.98845266,0.95803364,0.98638268,0.87962963,0.95000000,0.91346154,0.95972945,0.95803364,0.95814987,0.94639741
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.95688992,0.98460354,0.96053073,0.98450768,0.00000000,0.00000000,0.00000000,0.83122363,0.80044227,0.81544251,0.94707060
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.84402590,0.98460354,0.88002561,0.98450768,0.77959184,0.47750000,0.59224806,0.84510159,0.88002561,0.84067540,0.82212630
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.96766744,0.98614319,0.97026536,0.98526536,0.00000000,0.00000000,0.00000000,0.82466213,0.80855447,0.81637318,0.95969005
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.89346675,0.98614319,0.91730447,0.98526536,0.88775510,0.65250000,0.75216138,0.89812752,0.91730447,0.89308431,0.87717127
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.96612779,0.97613549,0.97075768,0.97937500,0.00000000,0.00000000,0.00000000,0.82626263,0.80896473,0.81730431,0.95795574
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.88699235,0.97613549,0.91396473,0.97937500,0.87197232,0.63000000,0.73149492,0.89609124,0.91396473,0.89746247,0.86684172
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.97151655,0.98922248,0.97450768,0.98937500,0.00000000,0.00000000,0.00000000,0.82938505,0.81208973,0.82055091,0.96452663
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.96056504,0.98922248,0.96625640,0.98937500,0.91811414,0.92500000,0.92154421,0.95741952,0.96625640,0.96092406,0.95207717
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.96150885,0.98537336,0.96253841,0.98500000,0.00000000,0.00000000,0.00000000,0.83225806,0.80211534,0.81687795,0.95252814
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.95232490,0.98537336,0.95586534,0.98500000,0.88277512,0.92250000,0.90220049,0.95220283,0.95586534,0.95298767,0.94205758
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.95688992,0.98383372,0.95199022,0.98200768,0.00000000,0.00000000,0.00000000,0.82689025,0.79332519,0.80964071,0.94655226
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.95055915,0.98383372,0.94832519,0.98200768,0.88571429,0.93000000,0.90731707,0.95113338,0.94832519,0.94888191,0.93976347
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.96612779,0.98306390,0.96937500,0.98312500,0.00000000,0.00000000,0.00000000,0.82951770,0.80781250,0.81839527,0.95800945
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.74278988,0.98306390,0.81072917,0.98312500,0.14893617,0.01750000,0.03131991,0.73498749,0.81072917,0.73263208,0.73896119
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.95842956,0.97382602,0.96339036,0.97687500,0.00000000,0.00000000,0.00000000,0.82701536,0.80282530,0.81454959,0.94864721
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.73925839,0.97382602,0.80740864,0.97687500,0.19298246,0.02750000,0.04814004,0.74147561,0.80740864,0.73234296,0.73269424
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.97844496,0.98999230,0.98013268,0.99000000,0.00000000,0.00000000,0.00000000,0.82833019,0.81677723,0.82247405,0.97290218
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.75161860,0.98999230,0.81927723,0.99000000,0.21428571,0.01500000,0.02803738,0.74679191,0.81927723,0.73649140,0.75303755
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.97228637,0.98614319,0.97289804,0.98625000,0.00000000,0.00000000,0.00000000,0.83121343,0.81074837,0.82080365,0.96543908
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.77280753,0.98614319,0.83158170,0.98625000,0.60240964,0.12500000,0.20703934,0.81707077,0.83158170,0.76938567,0.76610500
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.96997691,0.98075443,0.97115573,0.98089036,0.00000000,0.00000000,0.00000000,0.82514672,0.80929644,0.81706561,0.96243934
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.77751619,0.98075443,0.83471311,0.98089036,0.67032967,0.15250000,0.24847251,0.82827072,0.83471311,0.77565570,0.77038636
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.97536567,0.98922248,0.97047486,0.98714036,0.00000000,0.00000000,0.00000000,0.82861470,0.80872905,0.81841473,0.96908979
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.96645085,0.98922248,0.96497905,0.98714036,0.93283582,0.93750000,0.93516209,0.96528073,0.96497905,0.96465045,0.95907326
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.98075443,0.98922248,0.98151536,0.98937500,0.00000000,0.00000000,0.00000000,0.83175601,0.81792947,0.82476289,0.97583918
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.85050029,0.98922248,0.88917947,0.98937500,0.88144330,0.42750000,0.57575758,0.87193714,0.88917947,0.85123385,0.83552701
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.95842956,0.98922248,0.96339036,0.98937500,0.00000000,0.00000000,0.00000000,0.83041628,0.80282530,0.81624284,0.94888681
