dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.92734750,0.98217958,0.92439595,0.98128841,0.00000000,0.00000000,0.00000000,0.83227176,0.77032996,0.79986098,0.91361235
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93550332,0.98217958,0.93616329,0.98128841,0.65676568,0.99500000,0.79125249,0.94120698,0.93616329,0.93147806,0.92482712
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.90335846,0.98903358,0.89858240,0.98950768,0.00000000,0.00000000,0.00000000,0.83333333,0.74881867,0.78844111,0.88734969
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.91500904,0.98903358,0.91548534,0.98950768,0.58651026,1.00000000,0.73937153,0.93108504,0.91548534,0.91166970,0.90238177
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.90747087,0.98766278,0.90577863,0.98678073,0.00000000,0.00000000,0.00000000,0.83333333,0.75481553,0.79203417,0.89181201
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.91862568,0.98766278,0.92148219,0.98678073,0.59701493,1.00000000,0.74766355,0.93283582,0.92148219,0.91664476,0.90632828
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.92186429,0.98697738,0.92382682,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.76985568,0.80012766,0.90780008
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93128391,0.98697738,0.93652235,0.98763268,0.63694268,1.00000000,0.77821012,0.93949045,0.93652235,0.92982934,0.92042384
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.91638108,0.98971899,0.91439595,0.98964036,0.00000000,0.00000000,0.00000000,0.83333333,0.76199662,0.79600604,0.90153463
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.92646172,0.98971899,0.92866329,0.98964036,0.62111801,1.00000000,0.76628352,0.93685300,0.92866329,0.92371996,0.91493474
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.89376443,0.97690531,0.89144204,0.97727304,0.00000000,0.00000000,0.00000000,0.83049652,0.74286837,0.78386653,0.87567105
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.91701001,0.97690531,0.90828503,0.97727304,0.74624060,0.99250000,0.85193133,0.95156022,0.90828503,0.92433215,0.90214477
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.92301771,0.97074673,0.92108240,0.97214036,0.00000000,0.00000000,0.00000000,0.82515337,0.76756867,0.79465137,0.90741983
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.90347263,0.97074673,0.90756867,0.97214036,0.78504673,0.84000000,0.81159420,0.91131102,0.90756867,0.90346394,0.88367167
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.92840647,0.98229407,0.93395950,0.98276536,0.00000000,0.00000000,0.00000000,0.83227176,0.77829958,0.80423376,0.91424169
