dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.96943112,0.98917066,0.97074651,0.98973115,0.00000000,0.00000000,0.00000000,0.83146889,0.80895542,0.81994870,0.96246663
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.96636528,0.98917066,0.96628876,0.98973115,0.81690312,0.94400000,0.87479800,0.95905366,0.96628876,0.96124398,0.95975432
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.95765974,0.98229407,0.96086034,0.98246997,0.00000000,0.00000000,0.00000000,0.82622331,0.80071695,0.81307783,0.94781171
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.81671572,0.98229407,0.86055028,0.98246997,0.68301680,0.35900000,0.45182522,0.81766578,0.86055028,0.80809724,0.79732637
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.96073903,0.98367975,0.96267877,0.98433729,0.00000000,0.00000000,0.00000000,0.82757608,0.80223231,0.81451449,0.95152034
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.93466745,0.98367975,0.94389898,0.98433729,0.88221199,0.85000000,0.86142646,0.93379892,0.94389898,0.93405274,0.92223864
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.96535797,0.98475751,0.96778841,0.98516690,0.00000000,0.00000000,0.00000000,0.82704961,0.80649034,0.81651879,0.95697407
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.83460859,0.98475751,0.87482367,0.98516690,0.78915324,0.41000000,0.52748196,0.84490348,0.87482367,0.82788044,0.81673197
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.96043110,0.99214781,0.96214106,0.99206075,0.00000000,0.00000000,0.00000000,0.83084840,0.80178422,0.81590888,0.95134451
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.90641554,0.99214781,0.92361755,0.99206075,0.84582637,0.73100000,0.75280659,0.91409605,0.92361755,0.90414295,0.89385460
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.95347222,0.98625000,0.95487500,0.98537500,0.00000000,0.00000000,0.00000000,0.82937985,0.79572917,0.81205204,0.94339495
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.95045099,0.98625000,0.95088612,0.98537500,0.76798777,0.93094170,0.84033844,0.94378462,0.95088612,0.94487938,0.94096989
