dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97532557,0.98697738,0.97651536,0.98763268,0.00000000,0.00000000,0.00000000,0.83055556,0.81376280,0.82202471,0.96948238
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.96202532,0.98697738,0.95792947,0.98763268,0.83980583,0.86500000,0.85221675,0.94945799,0.95792947,0.95284231,0.95426717
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.97052776,0.98697738,0.97115573,0.98714036,0.00000000,0.00000000,0.00000000,0.83333333,0.80929644,0.82111432,0.96377652
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.97046414,0.98697738,0.97096311,0.98714036,0.81856540,0.97000000,0.88787185,0.96613440,0.97096311,0.96733767,0.96462286
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.96230295,0.99108979,0.96464036,0.99138268,0.00000000,0.00000000,0.00000000,0.83239700,0.80386697,0.81766956,0.95407185
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.96624473,0.99108979,0.96970030,0.99138268,0.78656126,0.99500000,0.87858720,0.96256468,0.96970030,0.96363912,0.96002248
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96847156,0.98903358,0.96829609,0.99000000,0.00000000,0.00000000,0.00000000,0.82956685,0.80691341,0.81796069,0.96123418
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.97046414,0.98903358,0.97108007,0.99000000,0.82426778,0.98500000,0.89749431,0.96539202,0.97108007,0.96676548,0.96473195
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.97052776,0.99177519,0.97312500,0.99250000,0.00000000,0.00000000,0.00000000,0.83149171,0.81093750,0.82097423,0.96376823
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.96262809,0.99177519,0.96177083,0.99250000,0.81531532,0.90500000,0.85781991,0.95171922,0.96177083,0.95563531,0.95512712
