dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97189856,0.98971899,0.97339036,0.98964036,0.00000000,0.00000000,0.00000000,0.82965009,0.81115864,0.82018714,0.96535052
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.97046414,0.98971899,0.97115864,0.98964036,0.83842795,0.96000000,0.89510490,0.96446330,0.97115864,0.96691408,0.96454324
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.95681974,0.98766278,0.95816341,0.98875000,0.00000000,0.00000000,0.00000000,0.83333333,0.79846951,0.81549353,0.94754226
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.94575045,0.98766278,0.94263617,0.98875000,0.73305085,0.86500000,0.79357798,0.93838818,0.94263617,0.93927574,0.93480714
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.96847156,0.99040439,0.96878841,0.99075768,0.00000000,0.00000000,0.00000000,0.83280591,0.80732367,0.81980115,0.96129914
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.97106691,0.99040439,0.97232367,0.99075768,0.81481481,0.99000000,0.89390519,0.96756348,0.97232367,0.96826782,0.96551160
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96915696,0.98971899,0.97039804,0.99062500,0.00000000,0.00000000,0.00000000,0.82783883,0.80866504,0.81797573,0.96201370
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.96262809,0.98971899,0.96116504,0.99062500,0.82432432,0.91500000,0.86729858,0.95375830,0.96116504,0.95667528,0.95503868
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96915696,0.98903358,0.97039804,0.98950768,0.00000000,0.00000000,0.00000000,0.83146067,0.80866504,0.81978480,0.96212983
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.94936709,0.98903358,0.94283170,0.98950768,0.78921569,0.80500000,0.79702970,0.94281908,0.94283170,0.94246940,0.93882607
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.94996151,0.98460354,0.95589036,0.98450768,0.00000000,0.00000000,0.00000000,0.83018868,0.79657530,0.81281565,0.93896330
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.87522072,0.98460354,0.90199197,0.98450768,0.80317460,0.63250000,0.70769231,0.86421155,0.90199197,0.87235090,0.85274563
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96766744,0.97459584,0.97200768,0.97763268,0.00000000,0.00000000,0.00000000,0.82659621,0.81000640,0.81801294,0.95977726
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.78104768,0.97459584,0.83917307,0.97763268,0.67307692,0.17500000,0.27777778,0.81152314,0.83917307,0.77840715,0.76599655
