dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97464016,0.98492118,0.97293645,0.98526536,0.00000000,0.00000000,0.00000000,0.83333333,0.81078038,0.82182051,0.96873184
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.94333936,0.98492118,0.92994704,0.98526536,0.79444444,0.71500000,0.75263158,0.93959726,0.92994704,0.93352477,0.93181491
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.97464016,0.98560658,0.97392109,0.98687500,0.00000000,0.00000000,0.00000000,0.83333333,0.81160091,0.82227165,0.96872776
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.95117541,0.98560658,0.94160091,0.98687500,0.80829016,0.78000000,0.79389313,0.94698780,0.94160091,0.94372495,0.94107448
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98217958,0.99040439,0.98276536,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.81897114,0.82608367,0.97787154
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.97528632,0.99040439,0.97313780,0.99075768,0.87677725,0.92500000,0.90024331,0.96999606,0.97313780,0.97143112,0.97010431
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.97258396,0.98834818,0.97155377,0.98937500,0.00000000,0.00000000,0.00000000,0.82954545,0.80962814,0.81940354,0.96613921
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.94092827,0.98834818,0.92796148,0.98937500,0.79775281,0.71000000,0.75132275,0.93512248,0.92796148,0.93029921,0.92889131
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.97875257,0.98903358,0.97964036,0.99000000,0.00000000,0.00000000,0.00000000,0.83055556,0.81636697,0.82332750,0.97366342
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.95418927,0.98903358,0.94553364,0.99000000,0.84699454,0.77500000,0.80939948,0.94924650,0.94553364,0.94679448,0.94467268
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.96304850,0.97998460,0.95816341,0.97964036,0.00000000,0.00000000,0.00000000,0.83279915,0.79846951,0.81510587,0.95428206
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.96821660,0.97998460,0.96263617,0.97964036,0.89342404,0.98500000,0.93697979,0.97590611,0.96263617,0.96845651,0.96150416
