dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.92268677,0.98848526,0.92211522,0.98910615,0.00000000,0.00000000,0.00000000,0.83333333,0.76842935,0.79937092,0.90879952
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.93140446,0.98848526,0.93426269,0.98910615,0.64193460,0.99500000,0.77928800,0.93977753,0.93426269,0.92899261,0.92048195
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.92147806,0.98121632,0.92375908,0.98175768,0.00000000,0.00000000,0.00000000,0.82975002,0.76979923,0.79844192,0.90615312
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.92925250,0.98121632,0.92888257,0.98175768,0.79486989,0.95450000,0.86716857,0.94632795,0.92888257,0.93457146,0.91519110
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.92378753,0.98321786,0.92563827,0.98406075,0.00000000,0.00000000,0.00000000,0.82914655,0.77136522,0.79888304,0.90869099
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92395527,0.98321786,0.92544856,0.98406075,0.79608687,0.92450000,0.85510496,0.93765453,0.92544856,0.92809939,0.90855018
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.92902232,0.98229407,0.93120601,0.98346229,0.00000000,0.00000000,0.00000000,0.82868416,0.77600500,0.80123349,0.91467915
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.84567393,0.98229407,0.87183834,0.98346229,0.72406579,0.57500000,0.63724251,0.86608447,0.87183834,0.85194341,0.82088306
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.92717475,0.98722094,0.92811173,0.98652304,0.00000000,0.00000000,0.00000000,0.82984150,0.77342644,0.80035007,0.91264982
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.93619776,0.98722094,0.93434311,0.98652304,0.80983282,0.96550000,0.88054927,0.95235023,0.93434311,0.94083122,0.92343853
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.91416667,0.98222222,0.91625000,0.98050000,0.00000000,0.00000000,0.00000000,0.83012799,0.76354167,0.79518959,0.89889245
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.90895971,0.98222222,0.90943105,0.98050000,0.61312355,0.87533632,0.71865891,0.91269587,0.90943105,0.90362535,0.89329552
