dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.91432488,0.98971899,0.91350559,0.98964036,0.00000000,0.00000000,0.00000000,0.83333333,0.76125466,0.79550583,0.89937072
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.92344786,0.98971899,0.92625466,0.98964036,0.61300310,0.99000000,0.75717017,0.93442525,0.92625466,0.92118187,0.91143154
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.90678547,0.98629198,0.90712291,0.98750000,0.00000000,0.00000000,0.00000000,0.83333333,0.75593575,0.79272582,0.89110236
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.91802291,0.98629198,0.92260242,0.98750000,0.59523810,1.00000000,0.74626866,0.93253968,0.92260242,0.91710393,0.90568679
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.93762851,0.98903358,0.93869413,0.98950768,0.00000000,0.00000000,0.00000000,0.83333333,0.78224511,0.80682894,0.92545637
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.94454491,0.98903358,0.94807845,0.98950768,0.68620690,0.99500000,0.81224490,0.94715470,0.94807845,0.94194326,0.93514648
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.94585332,0.98834818,0.94668645,0.98937500,0.00000000,0.00000000,0.00000000,0.83333333,0.78890538,0.81042108,0.93482772
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.95177818,0.98834818,0.95473871,0.98937500,0.71582734,0.99500000,0.83263598,0.95210198,0.95473871,0.94893381,0.94333173
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.90884167,0.98903358,0.90456704,0.98950768,0.00000000,0.00000000,0.00000000,0.83333333,0.75380587,0.79137294,0.89324044
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.91922845,0.98903358,0.91963920,0.98950768,0.59939759,0.99500000,0.74812030,0.93266604,0.91963920,0.91580017,0.90681322
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.92378753,0.97382602,0.92833450,0.97589036,0.00000000,0.00000000,0.00000000,0.82604167,0.77361208,0.79870210,0.90854570
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.92642731,0.97382602,0.92944541,0.97589036,0.80257511,0.93500000,0.86374134,0.93684947,0.92944541,0.93058875,0.91136930
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.91531948,0.97074673,0.91765363,0.97325768,0.00000000,0.00000000,0.00000000,0.82753669,0.76471136,0.79455262,0.89903651
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.93290171,0.97074673,0.92971136,0.97325768,0.79200000,0.99000000,0.88000000,0.95557532,0.92971136,0.93922647,0.92015763
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.92994611,0.98614319,0.93418645,0.98562500,0.00000000,0.00000000,0.00000000,0.83236434,0.77848871,0.80446020,0.91592066
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.94114185,0.98614319,0.94140538,0.98562500,0.81288981,0.97750000,0.88762770,0.95860388,0.94140538,0.94791459,0.92951975
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.92224788,0.98768283,0.91998254,0.98513268,0.00000000,0.00000000,0.00000000,0.83162462,0.76665212,0.79776841,0.90692743
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.93819894,0.98768283,0.93165212,0.98513268,0.80000000,0.99000000,0.88491620,0.96051454,0.93165212,0.94321720,0.92630228
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.91608930,0.98768283,0.91863827,0.98888268,0.00000000,0.00000000,0.00000000,0.83118280,0.76553189,0.79672626,0.90033528
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.90759270,0.98768283,0.91219856,0.98888268,0.76688453,0.88000000,0.81955763,0.92009652,0.91219856,0.91191030,0.88860654
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.92147806,0.98614319,0.92324022,0.98589036,0.00000000,0.00000000,0.00000000,0.83223684,0.76936685,0.79942159,0.90636396
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.92819305,0.98614319,0.92770019,0.98589036,0.79002079,0.95000000,0.86265607,0.94465463,0.92770019,0.93347924,0.91378079
