dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98711446,0.98903358,0.98746229,0.99000000,0.00000000,0.00000000,0.00000000,0.82874101,0.82288524,0.82574997,0.98386548
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.91898734,0.98903358,0.89321858,0.99000000,0.87282576,0.42200000,0.56300226,0.91943920,0.89321858,0.89069813,0.90446535
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97998460,0.98352579,0.98056075,0.98390922,0.00000000,0.00000000,0.00000000,0.82677517,0.81713396,0.82185700,0.97473048
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.77033549,0.98352579,0.83205063,0.98390922,0.63774338,0.08950000,0.15446303,0.78911042,0.83205063,0.76084425,0.75491559
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.98013857,0.98768283,0.98065922,0.98842807,0.00000000,0.00000000,0.00000000,0.82780581,0.81721601,0.82241420,0.97497948
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.91006474,0.98768283,0.93096601,0.98842807,0.93509549,0.68250000,0.78471285,0.91166960,0.93096601,0.91311349,0.89477390
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98183218,0.98444958,0.98215922,0.98545461,0.00000000,0.00000000,0.00000000,0.82493995,0.81846601,0.82161409,0.97702498
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.80482637,0.98444958,0.85679935,0.98545461,0.85907706,0.23000000,0.35194357,0.85686955,0.85679935,0.79952087,0.79774486
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.99030023,0.99199384,0.98993575,0.99207961,0.00000000,0.00000000,0.00000000,0.83025877,0.82494646,0.82757225,0.98769891
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.86921719,0.99199384,0.90427980,0.99207961,0.95624824,0.47600000,0.63112512,0.88353820,0.90427980,0.86549816,0.85659530
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.98111111,0.98416667,0.98037500,0.98387500,0.00000000,0.00000000,0.00000000,0.82628876,0.81697917,0.82152365,0.97632422
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.92254961,0.98416667,0.90771160,0.98387500,0.83014062,0.54439462,0.63640037,0.91829561,0.90771160,0.90231870,0.90914882
