dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.96984236,0.98971899,0.97151536,0.98964036,0.00000000,0.00000000,0.00000000,0.82965009,0.80959614,0.81935601,0.96289573
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.96925859,0.98971899,0.97042947,0.98964036,0.82832618,0.96500000,0.89145497,0.96369368,0.97042947,0.96593007,0.96317063
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.95544894,0.98697738,0.95691341,0.98812500,0.00000000,0.00000000,0.00000000,0.83333333,0.79742784,0.81495603,0.94593500
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.94575045,0.98697738,0.94326117,0.98812500,0.72916667,0.87500000,0.79545455,0.93845926,0.94326117,0.93938476,0.93490456
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.96710075,0.99108979,0.96704609,0.99138268,0.00000000,0.00000000,0.00000000,0.83280591,0.80587174,0.81903288,0.95966885
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.96865582,0.99108979,0.96920507,0.99138268,0.80658436,0.98000000,0.88487585,0.96514843,0.96920507,0.96547710,0.96260480
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96915696,0.99040439,0.97039804,0.99125000,0.00000000,0.00000000,0.00000000,0.82872928,0.80866504,0.81842715,0.96203922
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.96081977,0.99040439,0.95866504,0.99125000,0.81818182,0.90000000,0.85714286,0.95202558,0.95866504,0.95464680,0.95282285
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96915696,0.98903358,0.97039804,0.98950768,0.00000000,0.00000000,0.00000000,0.83146067,0.80866504,0.81979191,0.96212533
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.95780591,0.98903358,0.95449837,0.98950768,0.80275229,0.87500000,0.83732057,0.95156156,0.95449837,0.95257369,0.94907329
