dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98313914,0.98313914,0.98265573,0.98265573,0.00000000,0.00000000,0.00000000,0.98352909,0.98265573,0.98299452,0.97877638
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.86473779,0.98313914,0.81904644,0.98265573,0.20000000,0.00100000,0.00199005,0.75757425,0.81904644,0.76826026,0.84411837
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97290223,0.97290223,0.97117458,0.97117458,0.00000000,0.00000000,0.00000000,0.96780371,0.97117458,0.96924790,0.96554868
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.74396704,0.97290223,0.80939548,0.97117458,0.20000000,0.00050000,0.00099751,0.66257689,0.80939548,0.69709413,0.72874695
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.97413395,0.97413395,0.97275419,0.97275419,0.00000000,0.00000000,0.00000000,0.96812581,0.97275419,0.97018258,0.96712222
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.74490877,0.97413395,0.81071182,0.97275419,0.20000000,0.00050000,0.00099751,0.66215941,0.81071182,0.69756729,0.72979715
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.97351809,0.97351809,0.97232612,0.97232612,0.00000000,0.00000000,0.00000000,0.96918612,0.97232612,0.97055449,0.96631312
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.74432019,0.97351809,0.81027176,0.97232612,0.00000000,0.00000000,0.00000000,0.63576133,0.81027176,0.69929267,0.73050103
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.97736721,0.97736721,0.97351955,0.97351955,0.00000000,0.00000000,0.00000000,0.97484633,0.97351955,0.97408924,0.97115829
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.74726310,0.97736721,0.81126629,0.97351955,0.00000000,0.00000000,0.00000000,0.64778290,0.81126629,0.71026264,0.73284176
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.96708333,0.96708333,0.96350000,0.96350000,0.00000000,0.00000000,0.00000000,0.95884930,0.96350000,0.96078614,0.95850342
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.83740229,0.96708333,0.80291667,0.96350000,0.00000000,0.00000000,0.00000000,0.70307620,0.80291667,0.74453839,0.81564849
