dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.86497601,0.98355038,0.86702863,0.98253841,0.00000000,0.00000000,0.00000000,0.83333333,0.72252386,0.77369546,0.84721663
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.88125377,0.98355038,0.88919053,0.98253841,0.50377834,1.00000000,0.67001675,0.91729639,0.88919053,0.88536491,0.86636389
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.86429061,0.98834818,0.86098813,0.98888268,0.00000000,0.00000000,0.00000000,0.83333333,0.71749011,0.77071661,0.84628807
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.88065099,0.98834818,0.88415677,0.98888268,0.50251256,1.00000000,0.66889632,0.91708543,0.88415677,0.88219933,0.86558050
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.87114462,0.98629198,0.87019204,0.98602304,0.00000000,0.00000000,0.00000000,0.83333333,0.72516003,0.77531223,0.85338192
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.88667872,0.98629198,0.89182670,0.98602304,0.51546392,1.00000000,0.68027211,0.91924399,0.89182670,0.88869092,0.87196428
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.86566141,0.98560658,0.86568436,0.98638268,0.00000000,0.00000000,0.00000000,0.83333333,0.72140363,0.77312521,0.84779798
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.88185654,0.98560658,0.88807030,0.98638268,0.50505051,1.00000000,0.67114094,0.91750842,0.88807030,0.88498203,0.86691405
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.86771761,0.98834818,0.86805168,0.98839036,0.00000000,0.00000000,0.00000000,0.83333333,0.72337640,0.77413042,0.84998284
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.88366486,0.98834818,0.89004306,0.98839036,0.50890585,1.00000000,0.67453626,0.91815098,0.89004306,0.88655313,0.86887706
