dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.93214531,0.98629198,0.93172486,0.98700768,0.00000000,0.00000000,0.00000000,0.83233533,0.77643738,0.80308677,0.91924399
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.94032550,0.98629198,0.94310405,0.98700768,0.67114094,1.00000000,0.80321285,0.94419215,0.94310405,0.93695558,0.93049937
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.91501028,0.98766278,0.91806913,0.98825768,0.00000000,0.00000000,0.00000000,0.83333333,0.76505761,0.79757231,0.90023061
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.92525618,0.98766278,0.93172428,0.98825768,0.61728395,1.00000000,0.76335878,0.93621399,0.93172428,0.92479877,0.91374206
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.91363948,0.98971899,0.91435754,0.99013268,0.00000000,0.00000000,0.00000000,0.83333333,0.76196462,0.79575031,0.89874285
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.92405063,0.98971899,0.92863128,0.99013268,0.61349693,1.00000000,0.76045627,0.93558282,0.92863128,0.92249302,0.91243423
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.92734750,0.99040439,0.92981145,0.99125000,0.00000000,0.00000000,0.00000000,0.82952381,0.77484288,0.80100908,0.91362757
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93550332,0.99040439,0.94067621,0.99125000,0.66112957,0.99500000,0.79441118,0.93878675,0.94067621,0.93295738,0.92484248
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.92597670,0.98903358,0.92314595,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.76928829,0.79980746,0.91224378
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.93369500,0.98903358,0.93428829,0.99000000,0.64705882,0.99000000,0.78260870,0.93961049,0.93428829,0.92951955,0.92280465
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.91993841,0.98229407,0.92422486,0.98375000,0.00000000,0.00000000,0.00000000,0.83333333,0.77018738,0.80041532,0.90478164
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.93407887,0.98229407,0.93352072,0.98375000,0.79032258,0.98000000,0.87500000,0.95676409,0.93352072,0.94222081,0.92143633
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.93302540,0.97228637,0.93672486,0.97575768,0.00000000,0.00000000,0.00000000,0.83018868,0.78060405,0.80438917,0.91932200
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.94349617,0.97228637,0.94352072,0.97575768,0.82315789,0.97750000,0.89371429,0.95855027,0.94352072,0.94889001,0.93226931
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.91839877,0.98845266,0.92359986,0.98825768,0.00000000,0.00000000,0.00000000,0.83333333,0.76966655,0.80006839,0.90313265
