dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.96298835,0.98629198,0.96280377,0.98651536,0.00000000,0.00000000,0.00000000,0.83333333,0.80233648,0.81751816,0.95478121
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.96684750,0.98629198,0.96816981,0.98651536,0.78656126,0.99500000,0.87858720,0.96387682,0.96816981,0.96368958,0.96063483
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.95887594,0.99108979,0.95609986,0.99138268,0.00000000,0.00000000,0.00000000,0.83333333,0.79674988,0.81452174,0.94992105
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.96142254,0.99108979,0.96008322,0.99138268,0.76562500,0.98000000,0.85964912,0.95882780,0.96008322,0.95676164,0.95416981
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.96710075,0.99246059,0.96556913,0.99312500,0.00000000,0.00000000,0.00000000,0.83333333,0.80464095,0.81866704,0.95967494
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.97106691,0.99246059,0.97130761,0.99312500,0.80645161,1.00000000,0.89285714,0.96774194,0.97130761,0.96747656,0.96561394
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96024674,0.99040439,0.95931913,0.99125000,0.00000000,0.00000000,0.00000000,0.83333333,0.79943261,0.81596475,0.95155528
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.96503918,0.99040439,0.96609928,0.99125000,0.77519380,1.00000000,0.87336245,0.96253230,0.96609928,0.96152516,0.95861195
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96435915,0.99040439,0.96306913,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.80255761,0.81757676,0.95642314
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.96805304,0.99040439,0.96839095,0.99075768,0.79282869,0.99500000,0.88248337,0.96494402,0.96839095,0.96439733,0.96205682
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.92147806,0.98383372,0.90600559,0.98625000,0.00000000,0.00000000,0.00000000,0.83333333,0.75500466,0.79116527,0.90603791
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.93878752,0.98383372,0.92083799,0.98625000,0.79600000,0.99500000,0.88444444,0.96411984,0.92083799,0.93780182,0.92714816
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.92994611,0.97074673,0.92257682,0.97339036,0.00000000,0.00000000,0.00000000,0.83333333,0.76881401,0.79928523,0.91578712
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.94643908,0.97074673,0.93548068,0.97339036,0.81466395,1.00000000,0.89786756,0.96911066,0.93548068,0.94892982,0.93626338
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.93456505,0.98768283,0.92524791,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.77103992,0.80064953,0.92092802
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.94997057,0.98768283,0.93770659,0.98763268,0.82474227,1.00000000,0.90395480,0.97079038,0.93770659,0.95130866,0.94030762
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.91608930,0.97151655,0.90395950,0.96878841,0.00000000,0.00000000,0.00000000,0.83275862,0.75329958,0.78990126,0.90002789
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.93525603,0.97151655,0.91954958,0.96878841,0.78698225,0.99750000,0.87982359,0.96258900,0.91954958,0.93602786,0.92317366
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.91301001,0.98768283,0.89288059,0.98789804,0.00000000,0.00000000,0.00000000,0.83333333,0.74406716,0.78403789,0.89663584
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.93349029,0.98768283,0.91073382,0.98789804,0.77972710,1.00000000,0.87623220,0.96328785,0.91073382,0.93007659,0.92129035
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.91377983,0.98614319,0.89752095,0.98625000,0.00000000,0.00000000,0.00000000,0.83333333,0.74793412,0.78714075,0.89743187
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.93349029,0.98614319,0.91418412,0.98625000,0.78082192,0.99750000,0.87596048,0.96212623,0.91418412,0.93262404,0.92113046
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.92147806,0.97305620,0.91038059,0.97651536,0.00000000,0.00000000,0.00000000,0.83208020,0.75865049,0.79314141,0.90601428
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.93996469,0.97305620,0.92531716,0.97651536,0.79840319,1.00000000,0.88790233,0.96514740,0.92531716,0.94112513,0.92867165
