dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.86127485,0.98917066,0.86138897,0.98973115,0.00000000,0.00000000,0.00000000,0.83333333,0.71782414,0.77078581,0.84354663
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.87799879,0.98917066,0.88449081,0.98973115,0.49839165,1.00000000,0.66482369,0.91639861,0.88449081,0.88158976,0.86301896
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.86050808,0.98229407,0.86359427,0.98246997,0.00000000,0.00000000,0.00000000,0.83226524,0.71966189,0.77137587,0.84129448
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.88122425,0.98229407,0.87774523,0.98246997,0.67854329,0.94850000,0.79068029,0.92668800,0.87774523,0.89350871,0.86021559
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.86974596,0.98367975,0.87148045,0.98433729,0.00000000,0.00000000,0.00000000,0.83201390,0.72623371,0.77510931,0.85069792
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.89570335,0.98367975,0.88956704,0.98433729,0.70043225,0.98000000,0.81646398,0.94189954,0.88956704,0.90754445,0.87789131
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.87544265,0.98475751,0.87696159,0.98516690,0.00000000,0.00000000,0.00000000,0.83138669,0.73080133,0.77738543,0.85650089
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.88263685,0.98475751,0.88180133,0.98516690,0.69333394,0.90600000,0.78435899,0.91789704,0.88180133,0.89194170,0.86060078
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.85881447,0.99214781,0.86067807,0.99206075,0.00000000,0.00000000,0.00000000,0.83245717,0.71723173,0.76991696,0.83951668
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.89005297,0.99214781,0.88248173,0.99206075,0.68532409,0.99150000,0.81023159,0.94316707,0.88248173,0.90323614,0.87205624
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.86875000,0.98625000,0.87350000,0.98537500,0.00000000,0.00000000,0.00000000,0.83223207,0.72791667,0.77624278,0.85074653
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.88622971,0.98625000,0.89443386,0.98537500,0.54295598,0.99910314,0.70337487,0.92249798,0.89443386,0.89336832,0.87128883
