dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.96984236,0.98958191,0.97220461,0.99050000,0.00000000,0.00000000,0.00000000,0.83059976,0.81017051,0.82009459,0.96294737
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.96311031,0.98958191,0.96250384,0.99050000,0.81671233,0.91400000,0.86115415,0.95694947,0.96250384,0.95863587,0.95572019
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.95750577,0.98645112,0.96125419,0.98698115,0.00000000,0.00000000,0.00000000,0.82861763,0.80104516,0.81436929,0.94773591
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.81695115,0.98645112,0.86112849,0.98698115,0.73291103,0.36050000,0.48097440,0.83656260,0.86112849,0.82065120,0.79567740
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.96320246,0.98799076,0.96518994,0.98817807,0.00000000,0.00000000,0.00000000,0.82874813,0.80432495,0.81620257,0.95445711
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.90794585,0.98799076,0.92574162,0.98817807,0.86882739,0.72850000,0.78601873,0.91114666,0.92574162,0.91135662,0.89127170
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.97151655,0.98521940,0.97393575,0.98607961,0.00000000,0.00000000,0.00000000,0.82989470,0.81161313,0.82055464,0.96455795
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.77775162,0.98521940,0.83636313,0.98607961,0.46536473,0.14850000,0.20565683,0.79706323,0.83636313,0.77166007,0.77196920
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.96920708,0.99353349,0.97097416,0.99392807,0.00000000,0.00000000,0.00000000,0.83150969,0.80914514,0.82005717,0.96181960
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.91230135,0.99353349,0.93039514,0.99392807,0.87905096,0.72750000,0.77899449,0.91315201,0.93039514,0.91011012,0.89907740
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.95569444,0.98666667,0.95737500,0.98625000,0.00000000,0.00000000,0.00000000,0.82899588,0.79781250,0.81293409,0.94593478
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.94419723,0.98666667,0.94280503,0.98625000,0.76252429,0.86995516,0.80863253,0.93903957,0.94280503,0.93845126,0.93335350
