dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98917066,0.98930775,0.98973115,0.98985615,0.00000000,0.00000000,0.00000000,0.82615716,0.82477595,0.82541824,0.98638627
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.89535865,0.98930775,0.85994262,0.98985615,0.81969058,0.21100000,0.33075691,0.88503631,0.85994262,0.83888137,0.87839870
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.98075443,0.98137028,0.98153422,0.98203422,0.00000000,0.00000000,0.00000000,0.81930439,0.81794518,0.81848460,0.97559765
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.75032372,0.98137028,0.81827851,0.98203422,0.11904762,0.00200000,0.00393362,0.66013820,0.81827851,0.70523822,0.73711881
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.98121632,0.98260200,0.98243575,0.98365922,0.00000000,0.00000000,0.00000000,0.85318188,0.85149255,0.85218115,0.97622437
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.82613302,0.98260200,0.87244646,0.98365922,0.85497395,0.32250000,0.44524260,0.83213298,0.87244646,0.81624674,0.80796723
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98229407,0.98244804,0.98345461,0.98357961,0.00000000,0.00000000,0.00000000,0.85264418,0.85240410,0.85237961,0.97754054
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.75515009,0.98244804,0.82246217,0.98357961,0.72883484,0.01750000,0.03383484,0.82623857,0.82246217,0.73570217,0.75980263
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98737490,0.98752887,0.98706075,0.98728422,0.00000000,0.00000000,0.00000000,0.82392209,0.82255063,0.82318929,0.98394167
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.76974691,0.98752887,0.83305063,0.98728422,0.69612943,0.06300000,0.11240054,0.78770858,0.83305063,0.74207996,0.76153771
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.98083333,0.98152778,0.97875000,0.97950000,0.00000000,0.00000000,0.00000000,0.81779546,0.81562500,0.81656773,0.97583881
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.85183403,0.98152778,0.81876401,0.97950000,0.33783550,0.01883408,0.03486414,0.78001344,0.81876401,0.76851365,0.83188751
