dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.87416038,0.98958191,0.87156355,0.99050000,0.00000000,0.00000000,0.00000000,0.83333333,0.72630296,0.77576360,0.85649599
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.88921037,0.98958191,0.89280296,0.99050000,0.52156532,0.99900000,0.68519039,0.92004992,0.89280296,0.88986957,0.87461143
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.86851424,0.98645112,0.87031774,0.98700768,0.00000000,0.00000000,0.00000000,0.83224467,0.72526478,0.77424526,0.84979170
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.86992348,0.98645112,0.87101478,0.98700768,0.66061982,0.87450000,0.74298705,0.92088721,0.87101478,0.88316156,0.84944633
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.86913010,0.98706697,0.87285126,0.98718575,0.00000000,0.00000000,0.00000000,0.83116830,0.72737605,0.77537853,0.85008329
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.88840494,0.98706697,0.88587605,0.98718575,0.69395109,0.95100000,0.80217183,0.92867897,0.88587605,0.89984439,0.86829317
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.87421093,0.98398768,0.87393506,0.98468575,0.00000000,0.00000000,0.00000000,0.83160374,0.72827921,0.77595510,0.85526744
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.87310182,0.98398768,0.87319588,0.98468575,0.68320020,0.86950000,0.76402120,0.90458850,0.87319588,0.88091648,0.84852165
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.87759815,0.99368745,0.88088128,0.99417807,0.00000000,0.00000000,0.00000000,0.83267334,0.73406774,0.77985544,0.85911665
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.90453208,0.99368745,0.89940107,0.99417807,0.71547645,0.99200000,0.83112192,0.94844365,0.89940107,0.91674460,0.88828170
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.86513889,0.98652778,0.86675000,0.98612500,0.00000000,0.00000000,0.00000000,0.83197720,0.72229167,0.77285688,0.84712122
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.88298256,0.98652778,0.88865938,0.98612500,0.53836727,0.99820628,0.69870037,0.92122886,0.88865938,0.88910122,0.86784974
