dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98629198,0.98629198,0.98621997,0.98621997,0.00000000,0.00000000,0.00000000,0.95274098,0.95347311,0.95302422,0.98275182
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.86811332,0.98629198,0.82284998,0.98621997,0.36666667,0.00600000,0.01169879,0.78266844,0.82284998,0.76894546,0.84850478
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97644342,0.97659738,0.97664804,0.97687151,0.00000000,0.00000000,0.00000000,0.90704396,0.91154260,0.90903111,0.97009278
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.74738081,0.97659738,0.81445670,0.97687151,0.55000000,0.00350000,0.00694547,0.71876319,0.81445670,0.69832189,0.73236779
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.97813703,0.97813703,0.97814804,0.97814804,0.00000000,0.00000000,0.00000000,0.87679548,0.88013792,0.87811060,0.97226525
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.76103590,0.97813703,0.82445670,0.97814804,0.39387755,0.05600000,0.09261218,0.71476513,0.82445670,0.72994681,0.74401314
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.97844496,0.97844496,0.97827304,0.97827304,0.00000000,0.00000000,0.00000000,0.97390559,0.97827304,0.97589482,0.97260580
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.74832254,0.97844496,0.81539420,0.97827304,0.20000000,0.00100000,0.00199005,0.67483702,0.81539420,0.70643668,0.73512591
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98229407,0.98229407,0.98133380,0.98133380,0.00000000,0.00000000,0.00000000,0.97762281,0.98133380,0.97930099,0.97748050
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.75208946,0.98229407,0.81852817,0.98133380,0.20000000,0.00450000,0.00880196,0.70025199,0.81852817,0.72345116,0.74118762
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.97805556,0.97805556,0.97762500,0.97762500,0.00000000,0.00000000,0.00000000,0.97156935,0.97762500,0.97423858,0.97235329
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.85015033,0.97805556,0.81872337,0.97762500,0.40000000,0.02421525,0.04444683,0.77708066,0.81872337,0.75611405,0.83268710
