dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98286498,0.98286498,0.98240573,0.98240573,0.00000000,0.00000000,0.00000000,0.82017534,0.81867144,0.81934309,0.97843720
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.86738999,0.98286498,0.82283811,0.98240573,0.83333333,0.02500000,0.04854369,0.86761339,0.82283811,0.77806030,0.84726011
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98903358,0.98903358,0.98950768,0.98950768,0.00000000,0.00000000,0.00000000,0.98903645,0.98950768,0.98924683,0.98617852
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.86980108,0.98903358,0.82458973,0.98950768,0.00000000,0.00000000,0.00000000,0.71818237,0.82458973,0.76617551,0.85061313
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98560658,0.98560658,0.98490573,0.98490573,0.00000000,0.00000000,0.00000000,0.98454065,0.98490573,0.98467149,0.98187097
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.86678722,0.98560658,0.82075477,0.98490573,0.00000000,0.00000000,0.00000000,0.72312672,0.82075477,0.76835352,0.84665166
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98560658,0.98560658,0.98589036,0.98589036,0.00000000,0.00000000,0.00000000,0.98419696,0.98589036,0.98490411,0.98191860
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.86738999,0.98560658,0.82240864,0.98589036,1.00000000,0.00500000,0.00995025,0.88654145,0.82240864,0.76766442,0.84764451
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98834818,0.98834818,0.98839036,0.98839036,0.00000000,0.00000000,0.00000000,0.98575548,0.98839036,0.98695561,0.98535384
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.86919831,0.98834818,0.82365864,0.98839036,0.00000000,0.00000000,0.00000000,0.71787827,0.82365864,0.76447354,0.85035448
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97459584,0.97459584,0.97602304,0.97602304,0.00000000,0.00000000,0.00000000,0.96975953,0.97602304,0.97260869,0.96771466
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.74690995,0.97459584,0.81460254,0.97602304,1.00000000,0.00750000,0.01488834,0.79491205,0.81460254,0.69401197,0.73527185
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96997691,0.96997691,0.97339036,0.97339036,0.00000000,0.00000000,0.00000000,0.96757797,0.97339036,0.96997057,0.96205953
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74161271,0.96997691,0.81115864,0.97339036,0.00000000,0.00000000,0.00000000,0.61750228,0.81115864,0.68972907,0.72537922
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98229407,0.98229407,0.98276536,0.98276536,0.00000000,0.00000000,0.00000000,0.81490351,0.81897114,0.81681993,0.97749886
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75279576,0.98229407,0.82022114,0.98276536,0.75000000,0.00750000,0.01485149,0.76089826,0.82022114,0.70964407,0.73761123
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.97382602,0.97459584,0.97039804,0.97151536,0.00000000,0.00000000,0.00000000,0.80745949,0.80866504,0.80804252,0.96663842
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.74455562,0.97459584,0.80866504,0.97151536,0.00000000,0.00000000,0.00000000,0.62871384,0.80866504,0.69994356,0.72704514
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.98152425,0.98152425,0.98066341,0.98066341,0.00000000,0.00000000,0.00000000,0.97551929,0.98066341,0.97771384,0.97655243
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.75103002,0.98152425,0.81763617,0.98066341,1.00000000,0.00250000,0.00498753,0.79178951,0.81763617,0.69828079,0.73653149
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.97536567,0.97536567,0.97490573,0.97490573,0.00000000,0.00000000,0.00000000,0.81121329,0.81242144,0.81174222,0.96865241
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.80164803,0.97536567,0.85200477,0.97490573,0.96938776,0.23750000,0.38152610,0.83586652,0.85200477,0.79923388,0.77952157
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.96997691,0.96997691,0.97214036,0.97214036,0.00000000,0.00000000,0.00000000,0.96093763,0.97214036,0.96556223,0.96211504
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.74161271,0.96997691,0.81011697,0.97214036,0.00000000,0.00000000,0.00000000,0.64831183,0.81011697,0.70428361,0.72874988
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.98691301,0.98691301,0.98763268,0.98763268,0.00000000,0.00000000,0.00000000,0.82218749,0.82302723,0.82253790,0.98336807
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.75456151,0.98691301,0.82302723,0.98763268,0.00000000,0.00000000,0.00000000,0.63756621,0.82302723,0.71053181,0.73908064
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.97998460,0.97998460,0.97776536,0.97776536,0.00000000,0.00000000,0.00000000,0.81717419,0.81480447,0.81594353,0.97449826
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.74926427,0.97998460,0.81480447,0.97776536,0.00000000,0.00000000,0.00000000,0.64198368,0.81480447,0.70932823,0.73297423
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.97844496,0.97844496,0.97829609,0.97829609,0.00000000,0.00000000,0.00000000,0.97246479,0.97829609,0.97476713,0.97269249
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.75809300,0.97844496,0.82233007,0.97829609,1.00000000,0.04250000,0.08153477,0.81009740,0.82233007,0.72635651,0.73973938
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.98383372,0.98383372,0.98388268,0.98388268,0.00000000,0.00000000,0.00000000,0.98115094,0.98388268,0.98245487,0.97940745
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.75220718,0.98383372,0.81990223,0.98388268,0.00000000,0.00000000,0.00000000,0.63809166,0.81990223,0.71062857,0.73577247
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.96997691,0.96997691,0.97178073,0.97178073,0.00000000,0.00000000,0.00000000,0.96383904,0.97178073,0.96725463,0.96200130
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.74161271,0.96997691,0.80981727,0.97178073,0.00000000,0.00000000,0.00000000,0.60986949,0.80981727,0.69045506,0.72227581
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.98614319,0.98614319,0.98638268,0.98638268,0.00000000,0.00000000,0.00000000,0.98166505,0.98638268,0.98390517,0.98238635
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.75397293,0.98614319,0.82198557,0.98638268,0.00000000,0.00000000,0.00000000,0.67387957,0.82198557,0.71942074,0.74894875
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.97613549,0.97613549,0.97365573,0.97365573,0.00000000,0.00000000,0.00000000,0.97203066,0.97365573,0.97277353,0.96959968
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.74749853,0.97613549,0.81221311,0.97365573,1.00000000,0.00500000,0.00995025,0.82835621,0.81221311,0.71174387,0.74034572
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.97613549,0.97613549,0.97566341,0.97566341,0.00000000,0.00000000,0.00000000,0.97084227,0.97566341,0.97308588,0.96963420
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.74632137,0.97613549,0.81305284,0.97566341,0.00000000,0.00000000,0.00000000,0.62398816,0.81305284,0.69993516,0.72828682
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.98306390,0.98306390,0.98092877,0.98092877,0.00000000,0.00000000,0.00000000,0.97860998,0.98092877,0.97947675,0.97847120
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.75161860,0.98306390,0.81744064,0.98092877,0.00000000,0.00000000,0.00000000,0.67807702,0.81744064,0.73182238,0.74090596
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.98152425,0.98152425,0.98164804,0.98164804,0.00000000,0.00000000,0.00000000,0.97587319,0.98164804,0.97852180,0.97652600
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.75044144,0.98152425,0.81804004,0.98164804,0.00000000,0.00000000,0.00000000,0.66228223,0.81804004,0.71526852,0.73975252
